,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,117559774.0,117356000.0,117168000.0,117015000.0
Share Issued,117559774.0,117356000.0,117168000.0,117015000.0
Net Debt,2323935000.0,3276863000.0,1717958000.0,1954967000.0
Total Debt,3615679000.0,4280444000.0,3316369000.0,2521236000.0
Tangible Book Value,5912945000.0,7520593000.0,6077130000.0,3718692000.0
Invested Capital,11242577000.0,13578943000.0,11199727000.0,8019505000.0
Working Capital,1875798000.0,1656457000.0,2445902000.0,119346000.0
Net Tangible Assets,8148050000.0,7520593000.0,6077130000.0,3718692000.0
Capital Lease Obligations,99514000.0,113681000.0,99269000.0,126997000.0
Common Stock Equity,7726412000.0,9412180000.0,7982627000.0,5625266000.0
Preferred Stock Equity,2235105000.0,,,
Total Capitalization,13079659000.0,12953182000.0,11197599000.0,7629585000.0
Total Equity Gross Minority Interest,10199688000.0,9665099000.0,8190847000.0,5805607000.0
Minority Interest,238171000.0,252919000.0,208220000.0,180341000.0
Stockholders Equity,9961517000.0,9412180000.0,7982627000.0,5625266000.0
Gains Losses Not Affecting Retained Earnings,-742062000.0,-528526000.0,-560662000.0,-392450000.0
Other Equity Adjustments,-742062000.0,-528526000.0,-560662000.0,-392450000.0
Retained Earnings,5481692000.0,6987015000.0,5601277000.0,3096539000.0
Additional Paid In Capital,2985606000.0,2952517000.0,2940840000.0,2920007000.0
Capital Stock,2236281000.0,1174000.0,1172000.0,1170000.0
Common Stock,1176000.0,1174000.0,1172000.0,1170000.0
Preferred Stock,2235105000.0,0.0,,
Total Liabilities Net Minority Interest,6409961000.0,8605553000.0,7265675000.0,5168511000.0
Total Non Current Liabilities Net Minority Interest,4443497000.0,5045091000.0,4524660000.0,3294176000.0
Other Non Current Liabilities,101477000.0,55262000.0,57748000.0,61776000.0
Employee Benefits,186365000.0,210123000.0,219592000.0,305371000.0
Non Current Pension And Other Postretirement Benefit Plans,186365000.0,210123000.0,219592000.0,305371000.0
Tradeand Other Payables Non Current,391306000.0,376639000.0,341515000.0,328698000.0
Non Current Deferred Liabilities,436056000.0,636457000.0,480770000.0,353279000.0
Non Current Deferred Revenue,78027000.0,78027000.0,0.0,
Non Current Deferred Taxes Liabilities,358029000.0,558430000.0,480770000.0,353279000.0
Long Term Debt And Capital Lease Obligation,3217656000.0,3654683000.0,3314241000.0,2131316000.0
Long Term Capital Lease Obligation,99514000.0,113681000.0,99269000.0,126997000.0
Long Term Debt,3118142000.0,3541002000.0,3214972000.0,2004319000.0
Long Term Provisions,110637000.0,111927000.0,110794000.0,113736000.0
Current Liabilities,1966464000.0,3560462000.0,2741015000.0,1874335000.0
Current Debt And Capital Lease Obligation,398023000.0,625761000.0,2128000.0,389920000.0
Current Debt,398023000.0,625761000.0,2128000.0,389920000.0
Pensionand Other Post Retirement Benefit Plans Current,157153000.0,168361000.0,145885000.0,100718000.0
Payables And Accrued Expenses,1411288000.0,2766340000.0,2593002000.0,1383697000.0
Current Accrued Expenses,310844000.0,376474000.0,306841000.0,662575000.0
Payables,1100444000.0,2389866000.0,2286161000.0,721122000.0
Dueto Related Parties Current,,550186000.0,518377000.0,47499000.0
Dividends Payable,61282000.0,46666000.0,99284000.0,45469000.0
Total Tax Payable,95275000.0,255155000.0,134876000.0,27667000.0
Income Tax Payable,95275000.0,255155000.0,134876000.0,27667000.0
Accounts Payable,943887000.0,2088045000.0,2052001000.0,647986000.0
Total Assets,16609649000.0,18270652000.0,15456522000.0,10974118000.0
Total Non Current Assets,12767387000.0,13053733000.0,10269605000.0,8980437000.0
Other Non Current Assets,102690000.0,122985000.0,75951000.0,78701000.0
Non Current Deferred Assets,53608000.0,22433000.0,46434000.0,18797000.0
Non Current Deferred Taxes Assets,53608000.0,22433000.0,46434000.0,18797000.0
Non Current Accounts Receivable,229574000.0,14264000.0,,
Investments And Advances,1117739000.0,1369855000.0,1150553000.0,912008000.0
Other Investments,16528000.0,18389000.0,18760000.0,20660000.0
Investmentin Financial Assets,374617000.0,496335000.0,299674000.0,283704000.0
Available For Sale Securities,374617000.0,496335000.0,299674000.0,283704000.0
Long Term Equity Investment,726594000.0,855131000.0,832119000.0,607644000.0
Investmentsin Joint Venturesat Cost,726594000.0,855131000.0,832119000.0,607644000.0
Goodwill And Other Intangible Assets,1813467000.0,1891587000.0,1905497000.0,1906574000.0
Other Intangible Assets,230753000.0,261858000.0,287870000.0,308947000.0
Goodwill,1582714000.0,1629729000.0,1617627000.0,1597627000.0
Net PPE,9450309000.0,9632609000.0,7091170000.0,6064357000.0
Accumulated Depreciation,-3191898000.0,-2738553000.0,-2391333000.0,-2165130000.0
Gross PPE,12642207000.0,12371162000.0,9482503000.0,8229487000.0
Construction In Progress,1009599000.0,3058257000.0,2246090000.0,2057387000.0
Other Properties,118839000.0,137405000.0,128173000.0,154741000.0
Machinery Furniture Equipment,8187422000.0,6173463000.0,4446315000.0,3619712000.0
Buildings And Improvements,933188000.0,699045000.0,492509000.0,383879000.0
Land And Improvements,637389000.0,613979000.0,373748000.0,230077000.0
Properties,1755770000.0,1689013000.0,1795668000.0,1783691000.0
Current Assets,3842262000.0,5216919000.0,5186917000.0,1993681000.0
Other Current Assets,4750000.0,6595000.0,6724000.0,5798000.0
Prepaid Assets,77191000.0,323927000.0,156436000.0,49933000.0
Inventory,1502531000.0,2161287000.0,2076031000.0,798620000.0
Finished Goods,912662000.0,1624893000.0,1679473000.0,459536000.0
Work In Process,,213400000.0,133200000.0,
Raw Materials,589869000.0,536394000.0,263358000.0,339084000.0
Receivables,1065560000.0,1835210000.0,1448584000.0,700058000.0
Other Receivables,25246000.0,34817000.0,43963000.0,30426000.0
Taxes Receivable,298113000.0,587233000.0,213651000.0,112710000.0
Accounts Receivable,742201000.0,1213160000.0,1190970000.0,556922000.0
Allowance For Doubtful Accounts Receivable,-5201000.0,-2808000.0,-2534000.0,-2559000.0
Gross Accounts Receivable,747402000.0,1215968000.0,1193504000.0,559481000.0
Cash Cash Equivalents And Short Term Investments,1192230000.0,889900000.0,1499142000.0,439272000.0
Cash And Cash Equivalents,1192230000.0,889900000.0,1499142000.0,439272000.0
