,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,,0.0,,,
Ordinary Shares Number,86254744.0,87504673.0,87852777.0,88215625.0,
Share Issued,86254744.0,87504673.0,87852777.0,88215625.0,
Net Debt,1495700000.0,1546900000.0,1806500000.0,1044200000.0,
Total Debt,1999500000.0,2015000000.0,2094500000.0,1442100000.0,
Tangible Book Value,-557700000.0,-697600000.0,-1080200000.0,-492200000.0,
Invested Capital,3500200000.0,3333300000.0,3036300000.0,2201200000.0,
Working Capital,725400000.0,281200000.0,511000000.0,516400000.0,
Net Tangible Assets,-557700000.0,-697600000.0,-1080200000.0,-492200000.0,
Common Stock Equity,1500700000.0,1318300000.0,941800000.0,759100000.0,
Total Capitalization,3478300000.0,2920700000.0,3023700000.0,2188600000.0,
Total Equity Gross Minority Interest,1500700000.0,1318300000.0,944500000.0,762400000.0,
Minority Interest,0.0,0.0,2700000.0,3300000.0,
Stockholders Equity,1500700000.0,1318300000.0,941800000.0,759100000.0,
Gains Losses Not Affecting Retained Earnings,-331600000.0,-261500000.0,-285800000.0,-194400000.0,
Other Equity Adjustments,-331600000.0,-261500000.0,-285800000.0,-194400000.0,
Retained Earnings,1831400000.0,1578900000.0,1212800000.0,952600000.0,
Additional Paid In Capital,0.0,0.0,13900000.0,0.0,
Capital Stock,900000.0,900000.0,900000.0,900000.0,
Common Stock,900000.0,900000.0,900000.0,900000.0,
Total Liabilities Net Minority Interest,2987100000.0,2993200000.0,3046700000.0,2288600000.0,
Total Non Current Liabilities Net Minority Interest,2290200000.0,1913500000.0,2343100000.0,1687400000.0,
Other Non Current Liabilities,175600000.0,173400000.0,119500000.0,87900000.0,
Employee Benefits,39100000.0,44100000.0,40100000.0,69200000.0,
Non Current Deferred Liabilities,97900000.0,93600000.0,101600000.0,100800000.0,
Non Current Deferred Taxes Liabilities,97900000.0,93600000.0,101600000.0,100800000.0,
Long Term Debt And Capital Lease Obligation,1977600000.0,1602400000.0,2081900000.0,1429500000.0,
Long Term Debt,1977600000.0,1602400000.0,2081900000.0,1429500000.0,
Current Liabilities,696900000.0,1079700000.0,703600000.0,601200000.0,
Other Current Liabilities,,,,,7200000.0
Current Debt And Capital Lease Obligation,21900000.0,412600000.0,12600000.0,12600000.0,
Current Debt,21900000.0,412600000.0,12600000.0,12600000.0,
Pensionand Other Post Retirement Benefit Plans Current,117600000.0,134800000.0,134700000.0,117700000.0,
Payables And Accrued Expenses,557400000.0,532300000.0,556300000.0,470900000.0,
Current Accrued Expenses,275400000.0,258200000.0,247900000.0,199900000.0,
Payables,282000000.0,274100000.0,308400000.0,271000000.0,
Total Tax Payable,24000000.0,14900000.0,27700000.0,11900000.0,
Accounts Payable,258000000.0,259200000.0,280700000.0,259100000.0,
Total Assets,4487800000.0,4311500000.0,3991200000.0,3051000000.0,
Total Non Current Assets,3065500000.0,2950600000.0,2776600000.0,1933400000.0,
Other Non Current Assets,290400000.0,283700000.0,218300000.0,243900000.0,
Non Current Deferred Assets,331400000.0,292900000.0,227600000.0,154500000.0,
Non Current Deferred Taxes Assets,331400000.0,292900000.0,227600000.0,154500000.0,
Goodwill And Other Intangible Assets,2058400000.0,2015900000.0,2022000000.0,1251300000.0,
Other Intangible Assets,569000000.0,572800000.0,608900000.0,447500000.0,
Goodwill,1489400000.0,1443100000.0,1413100000.0,803800000.0,
Net PPE,385300000.0,358100000.0,308700000.0,283700000.0,
Accumulated Depreciation,-626300000.0,-603300000.0,-566900000.0,-544000000.0,
Gross PPE,1011600000.0,961400000.0,875600000.0,827700000.0,
Construction In Progress,90700000.0,86200000.0,60100000.0,30500000.0,
Machinery Furniture Equipment,716100000.0,673100000.0,624000000.0,603700000.0,
Buildings And Improvements,186300000.0,183000000.0,173200000.0,177000000.0,
Land And Improvements,18500000.0,19100000.0,18300000.0,16500000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,1422300000.0,1360900000.0,1214600000.0,1117600000.0,
Other Current Assets,46800000.0,32600000.0,40200000.0,26900000.0,
Assets Held For Sale Current,,0.0,3500000.0,0.0,5800000.0
Restricted Cash,,,,,0.0
Inventory,423000000.0,438500000.0,479000000.0,380400000.0,
Finished Goods,177900000.0,178500000.0,225100000.0,193800000.0,
Work In Process,48200000.0,41600000.0,41700000.0,42200000.0,
Raw Materials,196900000.0,218400000.0,212200000.0,144400000.0,
Receivables,448700000.0,421700000.0,403900000.0,312400000.0,
Taxes Receivable,29800000.0,8900000.0,8300000.0,29100000.0,
Accounts Receivable,418900000.0,412800000.0,395600000.0,283300000.0,
Cash Cash Equivalents And Short Term Investments,503800000.0,468100000.0,288000000.0,397900000.0,
Cash And Cash Equivalents,503800000.0,468100000.0,288000000.0,397900000.0,
