,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,9091081.0,8859556.0,9090000.0,9236000.0,
Ordinary Shares Number,108646659.0,106800000.0,106500000.0,103300000.0,
Share Issued,117737740.0,115659556.0,115590000.0,112536000.0,
Net Debt,3464546000.0,3455750000.0,3670213000.0,2556976000.0,
Total Debt,3485591000.0,3715436000.0,3680900000.0,3170367000.0,
Tangible Book Value,4675198000.0,4980757000.0,4986620000.0,4197490000.0,
Invested Capital,8160789000.0,8696193000.0,8667520000.0,7367857000.0,
Working Capital,-366057000.0,-149591000.0,-421747000.0,290534000.0,
Net Tangible Assets,4675198000.0,4980757000.0,4986620000.0,4197490000.0,
Common Stock Equity,4675198000.0,4980757000.0,4986620000.0,4197490000.0,
Total Capitalization,8160789000.0,8696193000.0,8625520000.0,7367857000.0,
Total Equity Gross Minority Interest,4747189000.0,5051771000.0,5056921000.0,4266255000.0,
Minority Interest,71991000.0,71014000.0,70301000.0,68765000.0,
Stockholders Equity,4675198000.0,4980757000.0,4986620000.0,4197490000.0,
Gains Losses Not Affecting Retained Earnings,974000.0,-1252000.0,-1774000.0,-3739000.0,
Other Equity Adjustments,974000.0,-1252000.0,-1774000.0,-3739000.0,
Treasury Stock,359732000.0,320364000.0,328684000.0,333974000.0,
Retained Earnings,-897931000.0,-613651000.0,-581532000.0,-829453000.0,
Additional Paid In Capital,5930729000.0,5914868000.0,5897454000.0,5363530000.0,
Capital Stock,1158000.0,1156000.0,1156000.0,1126000.0,
Common Stock,1158000.0,1156000.0,1156000.0,1126000.0,
Total Liabilities Net Minority Interest,4104955000.0,4331966000.0,4271014000.0,3710529000.0,
Total Non Current Liabilities Net Minority Interest,3697698000.0,3902423000.0,3818465000.0,3363419000.0,
Other Non Current Liabilities,212107000.0,186987000.0,179565000.0,193052000.0,
Long Term Debt And Capital Lease Obligation,3485591000.0,3715436000.0,3638900000.0,3170367000.0,
Long Term Debt,3485591000.0,3715436000.0,3638900000.0,3170367000.0,
Current Liabilities,407257000.0,429543000.0,452549000.0,347110000.0,
Current Debt And Capital Lease Obligation,,,42000000.0,,
Current Debt,,,42000000.0,,
Line Of Credit,,0.0,42000000.0,,
Payables And Accrued Expenses,407257000.0,429543000.0,410549000.0,347110000.0,
Payables,407257000.0,429543000.0,410549000.0,347110000.0,
Dividends Payable,113549000.0,110427000.0,103628000.0,88786000.0,
Total Tax Payable,78529000.0,96517000.0,95551000.0,66673000.0,
Accounts Payable,215179000.0,222599000.0,211370000.0,191651000.0,
Total Assets,8852144000.0,9383737000.0,9327935000.0,7976784000.0,
Total Non Current Assets,8810944000.0,9103785000.0,9297133000.0,7339140000.0,
Other Non Current Assets,234838000.0,244182000.0,229371000.0,234370000.0,
Investments And Advances,,,0.0,13730000.0,18994000.0
Long Term Equity Investment,,,0.0,13730000.0,18994000.0
Investmentsin Joint Venturesat Cost,,,0.0,13730000.0,18994000.0
Investment Properties,8576106000.0,8859603000.0,9067762000.0,7091040000.0,
Current Assets,41200000.0,279952000.0,30802000.0,637644000.0,
Restricted Cash,11164000.0,8361000.0,6751000.0,5589000.0,
Receivables,8991000.0,11905000.0,13364000.0,18664000.0,
Accounts Receivable,8991000.0,11905000.0,13364000.0,18664000.0,
Cash Cash Equivalents And Short Term Investments,21045000.0,259686000.0,10687000.0,613391000.0,
Cash And Cash Equivalents,21045000.0,259686000.0,10687000.0,613391000.0,
