,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,409500000.0,408100000.0,406671000.0,394936000.0,
Share Issued,409500000.0,408100000.0,406671000.0,394936000.0,
Total Debt,1150400000.0,1110400000.0,1105600000.0,1121626000.0,
Tangible Book Value,4592700000.0,4638700000.0,4225900000.0,2916221000.0,
Invested Capital,8545400000.0,8329100000.0,7859200000.0,6699616000.0,
Working Capital,4397900000.0,5020300000.0,4813200000.0,3649436000.0,
Net Tangible Assets,4592700000.0,4638700000.0,4225900000.0,2916221000.0,
Capital Lease Obligations,158500000.0,119900000.0,116400000.0,133682000.0,
Common Stock Equity,7553500000.0,7338600000.0,6870000000.0,5711672000.0,
Total Capitalization,8545400000.0,8329100000.0,7859200000.0,6699616000.0,
Total Equity Gross Minority Interest,7553500000.0,7338600000.0,6870000000.0,5711672000.0,
Stockholders Equity,7553500000.0,7338600000.0,6870000000.0,5711672000.0,
Gains Losses Not Affecting Retained Earnings,-25500000.0,-17600000.0,-29100000.0,-5758000.0,
Other Equity Adjustments,,-17600000.0,-29100000.0,,
Retained Earnings,2343000000.0,2204300000.0,1829600000.0,1460166000.0,
Additional Paid In Capital,5231900000.0,5147800000.0,5065400000.0,4253318000.0,
Capital Stock,4100000.0,4100000.0,4100000.0,3946000.0,
Common Stock,4100000.0,4100000.0,4100000.0,3946000.0,
Preferred Stock,0.0,0.0,0.0,0.0,
Total Liabilities Net Minority Interest,1703300000.0,1581100000.0,1532500000.0,1545199000.0,
Total Non Current Liabilities Net Minority Interest,1151000000.0,1125300000.0,1159800000.0,1206510000.0,
Tradeand Other Payables Non Current,25000000.0,18200000.0,14000000.0,12496000.0,
Non Current Deferred Liabilities,7600000.0,36700000.0,76200000.0,98656000.0,
Non Current Deferred Taxes Liabilities,7600000.0,36700000.0,76200000.0,98656000.0,
Long Term Debt And Capital Lease Obligation,1118400000.0,1070400000.0,1069600000.0,1095358000.0,
Long Term Capital Lease Obligation,126500000.0,79900000.0,80400000.0,107414000.0,
Long Term Debt,991900000.0,990500000.0,989200000.0,987944000.0,
Current Liabilities,552300000.0,455800000.0,372700000.0,338689000.0,
Current Deferred Liabilities,137100000.0,104200000.0,103600000.0,95471000.0,
Current Deferred Revenue,137100000.0,104200000.0,103600000.0,95471000.0,
Current Debt And Capital Lease Obligation,32000000.0,40000000.0,36000000.0,26268000.0,
Current Capital Lease Obligation,32000000.0,40000000.0,36000000.0,26268000.0,
Payables And Accrued Expenses,383200000.0,311600000.0,233100000.0,216950000.0,
Current Accrued Expenses,313000000.0,280800000.0,194100000.0,163470000.0,
Payables,70200000.0,30800000.0,39000000.0,53480000.0,
Total Tax Payable,23200000.0,7700000.0,10400000.0,31236000.0,
Income Tax Payable,23200000.0,7700000.0,10400000.0,31236000.0,
Accounts Payable,47000000.0,23100000.0,28600000.0,22244000.0,
Total Assets,9256800000.0,8919700000.0,8402500000.0,7256871000.0,
Total Non Current Assets,4306600000.0,3443600000.0,3216600000.0,3268746000.0,
Other Non Current Assets,27700000.0,19700000.0,16600000.0,21762000.0,
Non Current Prepaid Assets,,,16687000.0,21762000.0,15856000.0
Non Current Deferred Assets,200200000.0,172000000.0,152200000.0,106913000.0,
Non Current Deferred Taxes Assets,30600000.0,4300000.0,9700000.0,5034000.0,
Non Current Accounts Receivable,,2000000.0,2000000.0,11283000.0,14986000.0
Investments And Advances,,,,,0.0
Goodwill And Other Intangible Assets,2960800000.0,2699900000.0,2644100000.0,2795451000.0,
Other Intangible Assets,433200000.0,313700000.0,329300000.0,474436000.0,
Goodwill,2527600000.0,2386200000.0,2314800000.0,2321015000.0,
Net PPE,1117900000.0,552000000.0,401700000.0,333337000.0,
Accumulated Depreciation,-134900000.0,-105500000.0,-85500000.0,-85862000.0,
Gross PPE,1252800000.0,657500000.0,487200000.0,419199000.0,
Leases,81500000.0,82300000.0,108900000.0,75634000.0,
Construction In Progress,431800000.0,163700000.0,,,
Other Properties,103000000.0,79800000.0,80400000.0,100680000.0,
Machinery Furniture Equipment,193300000.0,170900000.0,140600000.0,146389000.0,
Buildings And Improvements,373400000.0,108600000.0,105100000.0,96496000.0,
Land And Improvements,69800000.0,52200000.0,52200000.0,,
Properties,0.0,0.0,0.0,0.0,
Current Assets,4950200000.0,5476100000.0,5185900000.0,3988125000.0,
Other Current Assets,81300000.0,70200000.0,64000000.0,36182000.0,
Restricted Cash,,,,0.0,62099000.0
Prepaid Assets,,,,36182000.0,28651000.0
Receivables,187900000.0,190000000.0,153900000.0,124817000.0,
Accounts Receivable,187900000.0,190000000.0,153900000.0,124817000.0,
Allowance For Doubtful Accounts Receivable,-22800000.0,-23200000.0,-12200000.0,-13374000.0,
Gross Accounts Receivable,210700000.0,213200000.0,166100000.0,138191000.0,
Cash Cash Equivalents And Short Term Investments,4681000000.0,5215900000.0,4968000000.0,3827126000.0,
Cash And Cash Equivalents,4681000000.0,5215900000.0,4968000000.0,3827126000.0,
