,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Ordinary Shares Number,153558000.0,157056000.0,161892000.0,167460000.0
Share Issued,153558000.0,157056000.0,161892000.0,167460000.0
Total Debt,266879000.0,246488000.0,222070000.0,223042000.0
Tangible Book Value,2066395000.0,1714286000.0,1485147000.0,1388290000.0
Invested Capital,2107468000.0,1765733000.0,1538825000.0,1444225000.0
Working Capital,1723490000.0,1412873000.0,1210444000.0,1182431000.0
Net Tangible Assets,2066395000.0,1714286000.0,1485147000.0,1388290000.0
Capital Lease Obligations,266879000.0,246488000.0,222070000.0,223042000.0
Common Stock Equity,2107468000.0,1765733000.0,1538825000.0,1444225000.0
Total Capitalization,2107468000.0,1765733000.0,1538825000.0,1444225000.0
Total Equity Gross Minority Interest,2107468000.0,1765733000.0,1538825000.0,1444225000.0
Stockholders Equity,2107468000.0,1765733000.0,1538825000.0,1444225000.0
Gains Losses Not Affecting Retained Earnings,-50733000.0,-39035000.0,-24955000.0,-16743000.0
Other Equity Adjustments,-50733000.0,-39035000.0,-24955000.0,-16743000.0
Retained Earnings,1912797000.0,1571574000.0,1352685000.0,1257379000.0
Additional Paid In Capital,245149000.0,232932000.0,210825000.0,203310000.0
Capital Stock,255000.0,262000.0,270000.0,279000.0
Common Stock,255000.0,262000.0,270000.0,279000.0
Total Liabilities Net Minority Interest,1028111000.0,790470000.0,793425000.0,723480000.0
Total Non Current Liabilities Net Minority Interest,308118000.0,293090000.0,251741000.0,255112000.0
Other Non Current Liabilities,42350000.0,35335000.0,25510000.0,18744000.0
Tradeand Other Payables Non Current,52470000.0,62032000.0,54259000.0,60094000.0
Long Term Debt And Capital Lease Obligation,213298000.0,195723000.0,171972000.0,176274000.0
Long Term Capital Lease Obligation,213298000.0,195723000.0,171972000.0,176274000.0
Current Liabilities,719993000.0,497380000.0,541684000.0,468368000.0
Current Debt And Capital Lease Obligation,53581000.0,50765000.0,50098000.0,46768000.0
Current Capital Lease Obligation,53581000.0,50765000.0,50098000.0,46768000.0
Payables And Accrued Expenses,666412000.0,446615000.0,491586000.0,421600000.0
Current Accrued Expenses,230438000.0,150534000.0,148953000.0,148147000.0
Payables,435974000.0,296081000.0,342633000.0,273453000.0
Total Tax Payable,57471000.0,30476000.0,15146000.0,41821000.0
Income Tax Payable,52338000.0,17322000.0,12426000.0,36920000.0
Accounts Payable,378503000.0,265605000.0,327487000.0,231632000.0
Total Assets,3135579000.0,2556203000.0,2332250000.0,2167705000.0
Total Non Current Assets,692096000.0,645950000.0,580122000.0,516906000.0
Other Non Current Assets,50648000.0,41930000.0,57319000.0,30576000.0
Non Current Deferred Assets,72584000.0,72592000.0,64217000.0,37194000.0
Non Current Deferred Taxes Assets,72584000.0,72592000.0,64217000.0,37194000.0
Goodwill And Other Intangible Assets,41073000.0,51447000.0,53678000.0,55935000.0
Other Intangible Assets,27083000.0,37457000.0,39688000.0,41945000.0
Goodwill,13990000.0,13990000.0,13990000.0,13990000.0
Net PPE,527791000.0,479981000.0,404908000.0,393201000.0
Accumulated Depreciation,-349138000.0,-317508000.0,-282571000.0,-266905000.0
Gross PPE,876929000.0,797489000.0,687479000.0,660106000.0
Leases,128356000.0,118351000.0,108526000.0,110538000.0
Construction In Progress,14758000.0,54140000.0,10407000.0,14262000.0
Other Properties,225669000.0,213302000.0,182459000.0,186991000.0
Machinery Furniture Equipment,435224000.0,342641000.0,317111000.0,280356000.0
Buildings And Improvements,40058000.0,36191000.0,36112000.0,35094000.0
Land And Improvements,32864000.0,32864000.0,32864000.0,32865000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,2443483000.0,1910253000.0,1752128000.0,1650799000.0
Other Current Assets,92713000.0,55523000.0,55264000.0,44244000.0
Prepaid Assets,34284000.0,33788000.0,25610000.0,16924000.0
Inventory,474311000.0,532852000.0,506796000.0,278242000.0
Inventories Adjustments Allowances,-44274000.0,-33926000.0,-20735000.0,-19632000.0
Other Inventories,518585000.0,566778000.0,527531000.0,297874000.0
Receivables,340124000.0,306295000.0,320931000.0,222028000.0
Taxes Receivable,43559000.0,4784000.0,18243000.0,6310000.0
Accounts Receivable,296565000.0,301511000.0,302688000.0,215718000.0
Allowance For Doubtful Accounts Receivable,-27331000.0,-32504000.0,-30591000.0,-26516000.0
Gross Accounts Receivable,323896000.0,334015000.0,333279000.0,242234000.0
Cash Cash Equivalents And Short Term Investments,1502051000.0,981795000.0,843527000.0,1089361000.0
Cash And Cash Equivalents,1502051000.0,981795000.0,843527000.0,1089361000.0
