,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,122814553.0,119945271.0,119945271.0,115411548.0,
Ordinary Shares Number,137216447.0,139896263.0,139698485.0,144045685.0,
Share Issued,260031000.0,259841534.0,259643756.0,259457233.0,
Net Debt,1084525000.0,3061480000.0,3297417000.0,2738912000.0,
Total Debt,3153953000.0,3678836000.0,3886675000.0,3301950000.0,
Tangible Book Value,467440000.0,-976163000.0,-1716863000.0,-1728816000.0,
Invested Capital,9883398000.0,8566646000.0,7964651000.0,7313944000.0,
Working Capital,2287970000.0,976465000.0,650191000.0,811368000.0,
Net Tangible Assets,467440000.0,-976163000.0,-1716863000.0,-1728816000.0,
Capital Lease Obligations,224551000.0,218795000.0,208390000.0,177534000.0,
Common Stock Equity,6953996000.0,5106605000.0,4286366000.0,4189528000.0,
Total Capitalization,9483342000.0,8098364000.0,7228879000.0,7208242000.0,
Total Equity Gross Minority Interest,6953996000.0,5106605000.0,4286366000.0,4189528000.0,
Stockholders Equity,6953996000.0,5106605000.0,4286366000.0,4189528000.0,
Gains Losses Not Affecting Retained Earnings,-327776000.0,-237866000.0,-266223000.0,-154052000.0,
Other Equity Adjustments,-327776000.0,-237866000.0,-266223000.0,-154052000.0,
Treasury Stock,7280578000.0,6797685000.0,6797685000.0,6218758000.0,
Retained Earnings,13409633000.0,10995624000.0,10223070000.0,9445245000.0,
Additional Paid In Capital,892686000.0,886690000.0,867560000.0,857636000.0,
Capital Stock,260031000.0,259842000.0,259644000.0,259457000.0,
Common Stock,260031000.0,259842000.0,259644000.0,259457000.0,
Preferred Stock,0.0,0.0,0.0,0.0,
Total Liabilities Net Minority Interest,5555164000.0,6241908000.0,6610153000.0,6214099000.0,
Total Non Current Liabilities Net Minority Interest,3358637000.0,3828138000.0,3836879000.0,3963758000.0,
Other Non Current Liabilities,84690000.0,50015000.0,78937000.0,112485000.0,
Liabilities Heldfor Sale Non Current,0.0,35058000.0,,,
Employee Benefits,87019000.0,86066000.0,92630000.0,138992000.0,
Non Current Pension And Other Postretirement Benefit Plans,87019000.0,86066000.0,92630000.0,138992000.0,
Non Current Accrued Expenses,26045000.0,26991000.0,30139000.0,31304000.0,
Tradeand Other Payables Non Current,6158000.0,28024000.0,44313000.0,48385000.0,
Non Current Deferred Liabilities,444922000.0,432286000.0,477508000.0,474311000.0,
Non Current Deferred Revenue,4452000.0,7098000.0,19879000.0,21513000.0,
Non Current Deferred Taxes Liabilities,352006000.0,346383000.0,375150000.0,364117000.0,
Long Term Debt And Capital Lease Obligation,2704251000.0,3162581000.0,3108254000.0,3153162000.0,
Long Term Capital Lease Obligation,174905000.0,170822000.0,165741000.0,134448000.0,
Long Term Debt,2529346000.0,2991759000.0,2942513000.0,3018714000.0,
Long Term Provisions,5552000.0,7117000.0,5098000.0,5119000.0,
Current Liabilities,2196527000.0,2413770000.0,2773274000.0,2250341000.0,
Other Current Liabilities,,217581000.0,,,
Current Deferred Liabilities,198629000.0,194798000.0,256933000.0,227549000.0,
Current Deferred Revenue,198629000.0,194798000.0,256933000.0,227549000.0,
Current Debt And Capital Lease Obligation,449702000.0,516255000.0,778421000.0,148788000.0,
Current Capital Lease Obligation,49646000.0,47973000.0,42649000.0,43086000.0,
Current Debt,400056000.0,468282000.0,735772000.0,105702000.0,
Other Current Borrowings,400056000.0,682000.0,836000.0,702000.0,
Commercial Paper,0.0,467600000.0,734936000.0,105000000.0,
Current Notes Payable,,,,,0.0
Pensionand Other Post Retirement Benefit Plans Current,292371000.0,258786000.0,92630000.0,138992000.0,
Current Provisions,36503000.0,35126000.0,43351000.0,43449000.0,
Payables And Accrued Expenses,1219322000.0,1191224000.0,1694569000.0,1830555000.0,
Current Accrued Expenses,297643000.0,269701000.0,561216000.0,614996000.0,
Interest Payable,20620000.0,20723000.0,20591000.0,20426000.0,
Payables,921679000.0,921523000.0,1133353000.0,1215559000.0,
Total Tax Payable,73673000.0,67058000.0,65209000.0,141991000.0,
Income Tax Payable,34187000.0,36878000.0,31427000.0,91999000.0,
Accounts Payable,848006000.0,854465000.0,1068144000.0,1073568000.0,
Total Assets,12509160000.0,11348513000.0,10896519000.0,10403627000.0,
Total Non Current Assets,8024663000.0,7958278000.0,7473054000.0,7341918000.0,
Other Non Current Assets,550183000.0,897038000.0,465000000.0,466264000.0,
Goodwill And Other Intangible Assets,6486556000.0,6082768000.0,6003229000.0,5918344000.0,
Other Intangible Assets,1580854000.0,1445204000.0,1333735000.0,1359522000.0,
