,2024-08-31,2023-08-31,2022-08-31,2021-08-31
Treasury Shares Number,4646645.0,4071256.0,3608462.0,3547773.0
Ordinary Shares Number,37952270.0,38025372.0,38044756.0,37615419.0
Share Issued,42598915.0,42096628.0,41653218.0,41163192.0
Net Debt,942994000.0,1187256000.0,1479151000.0,
Total Debt,1574567000.0,1839921000.0,2220231000.0,866091000.0
Tangible Book Value,-942810000.0,-1244008000.0,-1530349000.0,127162000.0
Invested Capital,3278433000.0,3232630000.0,3313832000.0,1590888000.0
Working Capital,168782000.0,285884000.0,432060000.0,617873000.0
Net Tangible Assets,-942810000.0,-1244008000.0,-1530349000.0,127162000.0
Capital Lease Obligations,208594000.0,227221000.0,237807000.0,291556000.0
Common Stock Equity,1912460000.0,1619930000.0,1331408000.0,1016353000.0
Total Capitalization,3153591000.0,3232630000.0,3313832000.0,1590888000.0
Total Equity Gross Minority Interest,1912460000.0,1619930000.0,1331408000.0,1016353000.0
Stockholders Equity,1912460000.0,1619930000.0,1331408000.0,1016353000.0
Gains Losses Not Affecting Retained Earnings,-79613000.0,-87141000.0,-108383000.0,-38962000.0
Other Equity Adjustments,-79613000.0,-87141000.0,-108383000.0,-38962000.0
Treasury Stock,1375696000.0,1122077000.0,930715000.0,905917000.0
Retained Earnings,1888504000.0,1505096000.0,1179739000.0,912515000.0
Additional Paid In Capital,1478839000.0,1323631000.0,1190350000.0,1048305000.0
Capital Stock,426000.0,421000.0,417000.0,412000.0
Common Stock,426000.0,421000.0,417000.0,412000.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,2142580000.0,2342992000.0,2682897000.0,1208587000.0
Total Non Current Liabilities Net Minority Interest,1475514000.0,1858741000.0,2244610000.0,892882000.0
Other Non Current Liabilities,6614000.0,6844000.0,3341000.0,4942000.0
Tradeand Other Payables Non Current,40452000.0,30344000.0,34211000.0,30279000.0
Non Current Deferred Liabilities,9796000.0,10471000.0,16012000.0,23146000.0
Non Current Deferred Revenue,1344000.0,3734000.0,7212000.0,8394000.0
Non Current Deferred Taxes Liabilities,8452000.0,6737000.0,8800000.0,14752000.0
Long Term Debt And Capital Lease Obligation,1418652000.0,1811082000.0,2191046000.0,834515000.0
Long Term Capital Lease Obligation,177521000.0,198382000.0,208622000.0,259980000.0
Long Term Debt,1241131000.0,1612700000.0,1982424000.0,574535000.0
Current Liabilities,667066000.0,484251000.0,438287000.0,315705000.0
Current Deferred Liabilities,159761000.0,152430000.0,152039000.0,63104000.0
Current Deferred Revenue,159761000.0,152430000.0,152039000.0,63104000.0
Current Debt And Capital Lease Obligation,155915000.0,28839000.0,29185000.0,31576000.0
Current Capital Lease Obligation,31073000.0,28839000.0,29185000.0,31576000.0
Current Debt,124842000.0,,,
Other Current Borrowings,124842000.0,,,
Pensionand Other Post Retirement Benefit Plans Current,93279000.0,112892000.0,114808000.0,104403000.0
Payables And Accrued Expenses,258111000.0,190090000.0,142255000.0,116622000.0
Payables,258111000.0,190090000.0,142255000.0,116622000.0
Dividends Payable,39470000.0,37265000.0,33860000.0,30845000.0
Total Tax Payable,40391000.0,31009000.0,0.0,
Accounts Payable,178250000.0,121816000.0,108395000.0,85777000.0
Total Assets,4055040000.0,3962922000.0,4014305000.0,2224940000.0
Total Non Current Assets,3219192000.0,3192787000.0,3143958000.0,1291362000.0
Other Non Current Assets,89578000.0,73676000.0,38747000.0,29480000.0
Non Current Deferred Assets,61337000.0,27229000.0,3153000.0,2250000.0
Non Current Deferred Taxes Assets,61337000.0,27229000.0,3153000.0,2250000.0
Goodwill And Other Intangible Assets,2855270000.0,2863938000.0,2861757000.0,889191000.0
Other Intangible Assets,1844141000.0,1859202000.0,1895909000.0,134986000.0
Goodwill,1011129000.0,1004736000.0,965848000.0,754205000.0
Net PPE,213007000.0,227944000.0,240301000.0,370441000.0
Accumulated Depreciation,-126521000.0,-114135000.0,-266239000.0,-260767000.0
Gross PPE,339528000.0,342079000.0,506540000.0,631208000.0
Leases,95840000.0,97000000.0,184425000.0,197719000.0
Other Properties,130494000.0,141837000.0,159458000.0,239064000.0
Machinery Furniture Equipment,113194000.0,103242000.0,162657000.0,194425000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,835848000.0,770135000.0,870347000.0,933578000.0
Other Current Assets,60093000.0,50610000.0,91214000.0,50625000.0
Prepaid Assets,55103000.0,24206000.0,38539000.0,13917000.0
Receivables,228054000.0,237665000.0,204102000.0,151187000.0
Accounts Receivable,228054000.0,237665000.0,204102000.0,151187000.0
Allowance For Doubtful Accounts Receivable,-14581000.0,-7769000.0,-2776000.0,-6431000.0
Gross Accounts Receivable,242635000.0,245434000.0,206878000.0,157618000.0
Cash Cash Equivalents And Short Term Investments,492598000.0,457654000.0,536492000.0,717849000.0
Other Short Term Investments,69619000.0,32210000.0,33219000.0,35984000.0
Cash And Cash Equivalents,422979000.0,425444000.0,503273000.0,681865000.0
