,2024-10-31,2023-10-31,2022-10-31,2021-10-31,2020-10-31
Ordinary Shares Number,938989000.0,988268771.0,980000000.0,1092205000.0,
Share Issued,938989000.0,988268771.0,980000000.0,1092205000.0,
Net Debt,6431000000.0,6377000000.0,7869000000.0,3193000000.0,
Total Debt,10899000000.0,10739000000.0,12294000000.0,8778000000.0,
Tangible Book Value,-11269000000.0,-11253000000.0,-13499000000.0,-9231000000.0,
Invested Capital,8346000000.0,8415000000.0,7989000000.0,5848000000.0,
Working Capital,-7927000000.0,-6511000000.0,-6453000000.0,-6893000000.0,
Net Tangible Assets,-11269000000.0,-11253000000.0,-13499000000.0,-9231000000.0,
Capital Lease Obligations,1230000000.0,1255000000.0,1280000000.0,1286000000.0,
Common Stock Equity,-1323000000.0,-1069000000.0,-3025000000.0,-1644000000.0,
Total Capitalization,6940000000.0,8185000000.0,7771000000.0,4742000000.0,
Total Equity Gross Minority Interest,-1323000000.0,-1069000000.0,-3025000000.0,-1644000000.0,
Stockholders Equity,-1323000000.0,-1069000000.0,-3025000000.0,-1644000000.0,
Gains Losses Not Affecting Retained Earnings,-434000000.0,-223000000.0,285000000.0,-245000000.0,
Other Equity Adjustments,-434000000.0,-223000000.0,285000000.0,-245000000.0,
Retained Earnings,-2676000000.0,-2361000000.0,-4492000000.0,-2470000000.0,
Additional Paid In Capital,1778000000.0,1505000000.0,1172000000.0,1060000000.0,
Capital Stock,9000000.0,10000000.0,10000000.0,11000000.0,
Common Stock,9000000.0,10000000.0,10000000.0,11000000.0,
Preferred Stock,0.0,0.0,0.0,0.0,
Total Liabilities Net Minority Interest,41232000000.0,38073000000.0,41519000000.0,40249000000.0,
Total Non Current Liabilities Net Minority Interest,12545000000.0,13585000000.0,15330000000.0,11188000000.0,
Other Non Current Liabilities,531000000.0,688000000.0,856000000.0,830000000.0,
Employee Benefits,607000000.0,546000000.0,600000000.0,1020000000.0,
Non Current Pension And Other Postretirement Benefit Plans,607000000.0,546000000.0,600000000.0,1020000000.0,
Tradeand Other Payables Non Current,839000000.0,904000000.0,911000000.0,860000000.0,
Non Current Deferred Liabilities,1518000000.0,1368000000.0,1292000000.0,1156000000.0,
Non Current Deferred Revenue,1487000000.0,1324000000.0,1171000000.0,1099000000.0,
Non Current Deferred Taxes Liabilities,31000000.0,44000000.0,121000000.0,57000000.0,
Long Term Debt And Capital Lease Obligation,9050000000.0,10079000000.0,11671000000.0,7322000000.0,
Long Term Capital Lease Obligation,787000000.0,825000000.0,875000000.0,936000000.0,
Long Term Debt,8263000000.0,9254000000.0,10796000000.0,6386000000.0,
Current Liabilities,28687000000.0,24488000000.0,26189000000.0,29061000000.0,
Other Current Liabilities,5995000000.0,6101000000.0,6566000000.0,7103000000.0,
Current Deferred Liabilities,1446000000.0,1424000000.0,1393000000.0,1277000000.0,
Current Deferred Revenue,1446000000.0,1424000000.0,1393000000.0,1277000000.0,
Current Debt And Capital Lease Obligation,1849000000.0,660000000.0,623000000.0,1456000000.0,
Current Capital Lease Obligation,443000000.0,430000000.0,405000000.0,350000000.0,
Current Debt,1406000000.0,230000000.0,218000000.0,1106000000.0,
Other Current Borrowings,1406000000.0,230000000.0,218000000.0,672000000.0,
Commercial Paper,,,0.0,400000000.0,0.0
Current Notes Payable,,,53000000.0,34000000.0,41000000.0
Pensionand Other Post Retirement Benefit Plans Current,970000000.0,1046000000.0,954000000.0,1627000000.0,
Payables And Accrued Expenses,18427000000.0,15257000000.0,16653000000.0,17598000000.0,
Payables,18427000000.0,15257000000.0,16653000000.0,17598000000.0,
Total Tax Payable,1524000000.0,1211000000.0,1350000000.0,1523000000.0,
Accounts Payable,16903000000.0,14046000000.0,15303000000.0,16075000000.0,
Total Assets,39909000000.0,37004000000.0,38494000000.0,38605000000.0,
Total Non Current Assets,19149000000.0,19027000000.0,18758000000.0,16437000000.0,
Other Non Current Assets,1129000000.0,853000000.0,991000000.0,697000000.0,
Non Current Prepaid Assets,684000000.0,820000000.0,1116000000.0,1500000000.0,
Non Current Deferred Assets,3311000000.0,3155000000.0,2167000000.0,2915000000.0,
Non Current Deferred Taxes Assets,3311000000.0,3155000000.0,2167000000.0,2915000000.0,
Investments And Advances,,,,,58000000.0
Investmentin Financial Assets,,,,,58000000.0
