,2024-06-30,2023-06-30,2022-06-30,2021-06-30,2020-06-30
Treasury Shares Number,146224000.0,,,,122065000.0
Ordinary Shares Number,134425000.0,136750000.0,141804000.0,152776000.0,
Share Issued,280649000.0,136750000.0,141804000.0,152776000.0,
Net Debt,4653006000.0,3962871000.0,5075810000.0,2008157000.0,
Total Debt,6819643000.0,6063132000.0,6774305000.0,3545828000.0,
Tangible Book Value,683838000.0,-294370000.0,-2113112000.0,181071000.0,
Invested Capital,9998463000.0,8810489000.0,8062069000.0,6820321000.0,
Working Capital,5370370000.0,4629190000.0,4297828000.0,3593021000.0,
Net Tangible Assets,683838000.0,-294370000.0,-2113112000.0,181071000.0,
Capital Lease Obligations,189508000.0,172396000.0,113587000.0,103061000.0,
Common Stock Equity,3368328000.0,2919753000.0,1401351000.0,3377554000.0,
Total Capitalization,9248527000.0,8810489000.0,8062069000.0,6800321000.0,
Total Equity Gross Minority Interest,3368328000.0,2919753000.0,1399090000.0,3375642000.0,
Minority Interest,0.0,0.0,-2261000.0,-1912000.0,
Stockholders Equity,3368328000.0,2919753000.0,1401351000.0,3377554000.0,
Gains Losses Not Affecting Retained Earnings,-49075000.0,-36341000.0,-27471000.0,-75557000.0,
Other Equity Adjustments,-49075000.0,-36341000.0,-27471000.0,-75557000.0,
Retained Earnings,1137270000.0,848431000.0,366882000.0,1277123000.0,
Additional Paid In Capital,2279999000.0,2107526000.0,1061798000.0,2175835000.0,
Capital Stock,134000.0,137000.0,142000.0,153000.0,
Common Stock,134000.0,137000.0,142000.0,153000.0,
Preferred Stock,0.0,0.0,0.0,0.0,
Total Liabilities Net Minority Interest,12065238000.0,11152604000.0,11197998000.0,6895482000.0,
Total Non Current Liabilities Net Minority Interest,7404464000.0,7409762000.0,8326915000.0,4792255000.0,
Other Non Current Liabilities,147320000.0,132045000.0,150782000.0,139083000.0,
Employee Benefits,51778000.0,63672000.0,78525000.0,87602000.0,
Non Current Pension And Other Postretirement Benefit Plans,51778000.0,63672000.0,78525000.0,87602000.0,
Tradeand Other Payables Non Current,291106000.0,322113000.0,367052000.0,333866000.0,
Non Current Deferred Liabilities,880944000.0,862842000.0,988469000.0,738198000.0,
Non Current Deferred Revenue,394254000.0,333555000.0,329532000.0,87575000.0,
Non Current Deferred Taxes Liabilities,486690000.0,529287000.0,658937000.0,650623000.0,
Long Term Debt And Capital Lease Obligation,6033316000.0,6029090000.0,6742087000.0,3493506000.0,
Long Term Capital Lease Obligation,153117000.0,138354000.0,81369000.0,70739000.0,
Long Term Debt,5880199000.0,5890736000.0,6660718000.0,3422767000.0,
Current Liabilities,4660774000.0,3742842000.0,2871083000.0,2103227000.0,
Other Current Liabilities,431017000.0,383407000.0,374367000.0,,
Current Deferred Liabilities,2436763000.0,2095549000.0,1502589000.0,1098940000.0,
Current Deferred Revenue,2133675000.0,1837326000.0,1276722000.0,830912000.0,
Current Debt And Capital Lease Obligation,786327000.0,34042000.0,32218000.0,52322000.0,
Current Capital Lease Obligation,36391000.0,34042000.0,32218000.0,32322000.0,
Current Debt,749936000.0,,,20000000.0,
Other Current Borrowings,749936000.0,,,20000000.0,
Pensionand Other Post Retirement Benefit Plans Current,371713000.0,370536000.0,351924000.0,305445000.0,
Payables And Accrued Expenses,634954000.0,859308000.0,609985000.0,646520000.0,
Current Accrued Expenses,128727000.0,105270000.0,39683000.0,217117000.0,
Interest Payable,128727000.0,105270000.0,39683000.0,36135000.0,
Payables,506227000.0,754038000.0,570302000.0,429403000.0,
Total Tax Payable,146740000.0,383012000.0,126964000.0,87320000.0,
Income Tax Payable,146740000.0,383012000.0,126964000.0,87320000.0,
Accounts Payable,359487000.0,371026000.0,443338000.0,342083000.0,
Total Assets,15433566000.0,14072357000.0,12597088000.0,10271124000.0,
Total Non Current Assets,5402422000.0,5700325000.0,5428177000.0,4574876000.0,
Other Non Current Assets,157546000.0,171910000.0,133980000.0,75823000.0,
Non Current Deferred Assets,1218606000.0,1073745000.0,803361000.0,536660000.0,
Non Current Deferred Taxes Assets,915241000.0,816899000.0,579173000.0,270461000.0,
Goodwill And Other Intangible Assets,2684490000.0,3214123000.0,3514463000.0,3196483000.0,
Other Intangible Assets,668764000.0,935303000.0,1194414000.0,1185311000.0,
Goodwill,2015726000.0,2278820000.0,2320049000.0,2011172000.0,
Net PPE,1341780000.0,1240547000.0,976373000.0,765910000.0,
Accumulated Depreciation,-1284490000.0,-1109987000.0,-904895000.0,-822326000.0,
Gross PPE,2626270000.0,2350534000.0,1881268000.0,1588236000.0,
Construction In Progress,215006000.0,168817000.0,110079000.0,182320000.0,
Other Properties,231812000.0,208706000.0,126444000.0,102883000.0,
Machinery Furniture Equipment,1181273000.0,1074749000.0,864148000.0,776566000.0,
Buildings And Improvements,919919000.0,825975000.0,712751000.0,458605000.0,
Land And Improvements,78260000.0,72287000.0,67846000.0,67862000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,10031144000.0,8372032000.0,7168911000.0,5696248000.0,
Other Current Assets,82822000.0,62419000.0,64248000.0,24366000.0,
Current Deferred Assets,279879000.0,133067000.0,124487000.0,59953000.0,
Prepaid Assets,124969000.0,121204000.0,108942000.0,76649000.0,
Inventory,3034781000.0,2876784000.0,2146889000.0,1575380000.0,
Other Inventories,589751000.0,524096000.0,402121000.0,349743000.0,
Finished Goods,258735000.0,214622000.0,250070000.0,177054000.0,
Work In Process,700895000.0,578864000.0,451782000.0,453432000.0,
Raw Materials,1485400000.0,1559202000.0,1042916000.0,595151000.0,
Receivables,2004698000.0,1935399000.0,2016337000.0,1465378000.0,
Other Receivables,69259000.0,117137000.0,114747000.0,91052000.0,
Taxes Receivable,102398000.0,64901000.0,89713000.0,68847000.0,
Accounts Receivable,1833041000.0,1753361000.0,1811877000.0,1305479000.0,
Allowance For Doubtful Accounts Receivable,-32782000.0,-33632000.0,-20631000.0,-18036000.0,
Gross Accounts Receivable,1865823000.0,1786993000.0,1832508000.0,1323515000.0,
Cash Cash Equivalents And Short Term Investments,4503995000.0,3243159000.0,2708008000.0,2494522000.0,
Other Short Term Investments,2526866000.0,1315294000.0,1123100000.0,1059912000.0,
Cash And Cash Equivalents,1977129000.0,1927865000.0,1584908000.0,1434610000.0,
Cash Equivalents,,,971434000.0,691375000.0,
Cash Financial,,,613474000.0,743235000.0,
