,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,,0.0,,,
Ordinary Shares Number,212500000.0,220600000.0,225300000.0,241200000.0,
Share Issued,212500000.0,220600000.0,225300000.0,241200000.0,
Net Debt,2314000000.0,2315000000.0,2699000000.0,2033000000.0,
Total Debt,3214000000.0,3251000000.0,3445000000.0,3169000000.0,
Tangible Book Value,-1097000000.0,-1106000000.0,-1367000000.0,-1135000000.0,
Invested Capital,2668000000.0,2823000000.0,2671000000.0,2780000000.0,
Working Capital,1170000000.0,1161000000.0,1057000000.0,1483000000.0,
Net Tangible Assets,-1097000000.0,-1106000000.0,-1367000000.0,-1135000000.0,
Capital Lease Obligations,266000000.0,302000000.0,294000000.0,210000000.0,
Common Stock Equity,-280000000.0,-126000000.0,-480000000.0,-179000000.0,
Total Capitalization,2665000000.0,2820000000.0,2466000000.0,2770000000.0,
Total Equity Gross Minority Interest,-53000000.0,116000000.0,-242000000.0,78000000.0,
Minority Interest,227000000.0,242000000.0,238000000.0,257000000.0,
Stockholders Equity,-280000000.0,-126000000.0,-480000000.0,-179000000.0,
Gains Losses Not Affecting Retained Earnings,201000000.0,249000000.0,226000000.0,232000000.0,
Other Equity Adjustments,201000000.0,249000000.0,226000000.0,-80000000.0,
Foreign Currency Translation Adjustments,,,,312000000.0,
Retained Earnings,-693000000.0,-596000000.0,-947000000.0,-652000000.0,
Additional Paid In Capital,0.0,0.0,16000000.0,0.0,
Capital Stock,212000000.0,221000000.0,225000000.0,241000000.0,
Common Stock,212000000.0,221000000.0,225000000.0,241000000.0,
Preferred Stock,0.0,0.0,0.0,0.0,
Total Liabilities Net Minority Interest,5069000000.0,5247000000.0,5429000000.0,5497000000.0,
Total Non Current Liabilities Net Minority Interest,3509000000.0,3552000000.0,3540000000.0,3558000000.0,
Other Non Current Liabilities,341000000.0,348000000.0,339000000.0,437000000.0,
Liabilities Heldfor Sale Non Current,,,,,0.0
Preferred Securities Outside Stock Equity,,,,22000000.0,0.0
Long Term Debt And Capital Lease Obligation,3168000000.0,3204000000.0,3201000000.0,3121000000.0,
Long Term Capital Lease Obligation,223000000.0,258000000.0,255000000.0,172000000.0,
Long Term Debt,2945000000.0,2946000000.0,2946000000.0,2949000000.0,
Current Liabilities,1560000000.0,1695000000.0,1889000000.0,1939000000.0,
Other Current Liabilities,1000000.0,-3000000.0,,,
Current Deferred Liabilities,45000000.0,45000000.0,61000000.0,67000000.0,
Current Deferred Revenue,45000000.0,45000000.0,61000000.0,67000000.0,
Current Debt And Capital Lease Obligation,46000000.0,47000000.0,244000000.0,48000000.0,
Current Capital Lease Obligation,43000000.0,44000000.0,39000000.0,38000000.0,
Current Debt,3000000.0,3000000.0,205000000.0,10000000.0,
Other Current Borrowings,3000000.0,3000000.0,205000000.0,10000000.0,
Current Notes Payable,,,205000000.0,10000000.0,3000000.0
Pensionand Other Post Retirement Benefit Plans Current,56000000.0,66000000.0,41000000.0,49000000.0,
Current Provisions,22000000.0,20000000.0,20000000.0,27000000.0,
Payables And Accrued Expenses,1390000000.0,1520000000.0,1523000000.0,1748000000.0,
Current Accrued Expenses,573000000.0,648000000.0,598000000.0,669000000.0,
Interest Payable,29000000.0,29000000.0,30000000.0,29000000.0,
Payables,817000000.0,872000000.0,925000000.0,1079000000.0,
Dividends Payable,,,,0.0,36000000.0
Total Tax Payable,28000000.0,32000000.0,48000000.0,34000000.0,
Income Tax Payable,28000000.0,32000000.0,48000000.0,34000000.0,
Accounts Payable,789000000.0,840000000.0,877000000.0,1045000000.0,
Total Assets,5016000000.0,5363000000.0,5187000000.0,5575000000.0,
Total Non Current Assets,2287000000.0,2509000000.0,2241000000.0,2153000000.0,
Other Non Current Assets,123000000.0,139000000.0,113000000.0,32000000.0,
Non Current Deferred Assets,,,60000000.0,57000000.0,109000000.0
Non Current Deferred Taxes Assets,,,60000000.0,57000000.0,109000000.0
Investments And Advances,,,22000000.0,25000000.0,157000000.0
Other Investments,,,12000000.0,7000000.0,0.0
Investmentin Financial Assets,,,,0.0,146000000.0
Available For Sale Securities,,,,,146000000.0
Long Term Equity Investment,,,10000000.0,18000000.0,11000000.0
Goodwill And Other Intangible Assets,817000000.0,980000000.0,887000000.0,956000000.0,
Other Intangible Assets,220000000.0,377000000.0,350000000.0,388000000.0,
Goodwill,597000000.0,603000000.0,537000000.0,568000000.0,
Net PPE,1347000000.0,1390000000.0,1241000000.0,1083000000.0,
Accumulated Depreciation,-1310000000.0,-1272000000.0,-1191000000.0,-1143000000.0,
Gross PPE,2657000000.0,2662000000.0,2432000000.0,2226000000.0,
Other Properties,231000000.0,268000000.0,266000000.0,187000000.0,
Machinery Furniture Equipment,1706000000.0,1666000000.0,1520000000.0,1458000000.0,
Buildings And Improvements,626000000.0,632000000.0,579000000.0,514000000.0,
Land And Improvements,94000000.0,96000000.0,67000000.0,67000000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,2730000000.0,2856000000.0,2946000000.0,3422000000.0,
Other Current Assets,123000000.0,110000000.0,109000000.0,109000000.0,
Assets Held For Sale Current,,,,,0.0
Prepaid Assets,,,,109000000.0,149000000.0
Inventory,938000000.0,1022000000.0,1236000000.0,1216000000.0,
Finished Goods,541000000.0,630000000.0,715000000.0,702000000.0,
Work In Process,97000000.0,94000000.0,113000000.0,131000000.0,
Raw Materials,300000000.0,298000000.0,408000000.0,383000000.0,
Receivables,1035000000.0,1090000000.0,1149000000.0,1171000000.0,
Accounts Receivable,1035000000.0,1090000000.0,1149000000.0,1171000000.0,
Allowance For Doubtful Accounts Receivable,-51000000.0,-59000000.0,,,
Gross Accounts Receivable,1086000000.0,1149000000.0,,,
Cash Cash Equivalents And Short Term Investments,634000000.0,634000000.0,452000000.0,926000000.0,
Cash And Cash Equivalents,634000000.0,634000000.0,452000000.0,926000000.0,
