,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,678708640.0,648055073.0,630646687.0,604907239.0,
Ordinary Shares Number,1317829138.0,1348482705.0,1365891091.0,1391630539.0,
Share Issued,1996537778.0,1996537778.0,1996537778.0,1996537778.0,
Net Debt,16398000000.0,17598000000.0,21010000000.0,15727000000.0,
Total Debt,18372000000.0,19945000000.0,23447000000.0,19971000000.0,
Tangible Book Value,-14933000000.0,-15400000000.0,-16277000000.0,-12000000000.0,
Invested Capital,44681000000.0,47740000000.0,49816000000.0,47542000000.0,
Working Capital,-6307000000.0,-7310000000.0,-6640000000.0,-3666000000.0,
Net Tangible Assets,-14933000000.0,-15400000000.0,-16277000000.0,-12000000000.0,
Capital Lease Obligations,623000000.0,537000000.0,514000000.0,698000000.0,
Common Stock Equity,26932000000.0,28332000000.0,26883000000.0,28269000000.0,
Total Capitalization,42596000000.0,45219000000.0,47134000000.0,45662000000.0,
Total Equity Gross Minority Interest,26958000000.0,28366000000.0,26920000000.0,28323000000.0,
Minority Interest,26000000.0,34000000.0,37000000.0,54000000.0,
Stockholders Equity,26932000000.0,28332000000.0,26883000000.0,28269000000.0,
Gains Losses Not Affecting Retained Earnings,-12471000000.0,-10946000000.0,-10947000000.0,-10624000000.0,
Other Equity Adjustments,-12471000000.0,-10946000000.0,-10947000000.0,-10624000000.0,
Treasury Stock,29349000000.0,27174000000.0,25794000000.0,24010000000.0,
Retained Earnings,36476000000.0,34236000000.0,31481000000.0,30806000000.0,
Additional Paid In Capital,32276000000.0,32216000000.0,32143000000.0,32097000000.0,
Capital Stock,0.0,0.0,0.0,0.0,
Common Stock,0.0,0.0,0.0,0.0,
Total Liabilities Net Minority Interest,41539000000.0,43025000000.0,44241000000.0,38769000000.0,
Total Non Current Liabilities Net Minority Interest,21990000000.0,24012000000.0,27510000000.0,24761000000.0,
Other Non Current Liabilities,1789000000.0,2735000000.0,2688000000.0,2326000000.0,
Employee Benefits,489000000.0,561000000.0,620000000.0,982000000.0,
Non Current Pension And Other Postretirement Benefit Plans,489000000.0,561000000.0,620000000.0,982000000.0,
Non Current Deferred Liabilities,3425000000.0,3292000000.0,3437000000.0,3444000000.0,
Non Current Deferred Taxes Liabilities,3425000000.0,3292000000.0,3437000000.0,3444000000.0,
Long Term Debt And Capital Lease Obligation,16287000000.0,17424000000.0,20765000000.0,18009000000.0,
Long Term Capital Lease Obligation,623000000.0,537000000.0,514000000.0,616000000.0,
Long Term Debt,15664000000.0,16887000000.0,20251000000.0,17393000000.0,
Current Liabilities,19549000000.0,19013000000.0,16731000000.0,14008000000.0,
Other Current Liabilities,4545000000.0,4330000000.0,3168000000.0,2397000000.0,
Current Debt And Capital Lease Obligation,2085000000.0,2521000000.0,2682000000.0,1962000000.0,
Current Capital Lease Obligation,,,95000000.0,82000000.0,74000000.0
Current Debt,2085000000.0,2521000000.0,2682000000.0,1880000000.0,
Other Current Borrowings,2014000000.0,2101000000.0,383000000.0,1664000000.0,
Line Of Credit,71000000.0,74000000.0,90000000.0,24000000.0,
Commercial Paper,0.0,346000000.0,2209000000.0,192000000.0,
Pensionand Other Post Retirement Benefit Plans Current,928000000.0,1158000000.0,949000000.0,822000000.0,
Payables And Accrued Expenses,11991000000.0,11004000000.0,9932000000.0,8827000000.0,
Current Accrued Expenses,2558000000.0,2683000000.0,2370000000.0,2097000000.0,
Payables,9433000000.0,8321000000.0,7562000000.0,6730000000.0,
Accounts Payable,9433000000.0,8321000000.0,7562000000.0,6730000000.0,
Total Assets,68497000000.0,71391000000.0,71161000000.0,67092000000.0,
Total Non Current Assets,55255000000.0,59688000000.0,61070000000.0,56750000000.0,
Other Non Current Assets,1187000000.0,886000000.0,1862000000.0,371000000.0,
Defined Pension Benefit,987000000.0,1043000000.0,1016000000.0,1009000000.0,
Non Current Prepaid Assets,,1043000000.0,1016000000.0,1009000000.0,672000000.0
Non Current Deferred Assets,333000000.0,408000000.0,473000000.0,541000000.0,
Non Current Deferred Taxes Assets,333000000.0,408000000.0,473000000.0,541000000.0,
Investments And Advances,635000000.0,3242000000.0,4879000000.0,5289000000.0,
Long Term Equity Investment,635000000.0,3242000000.0,4879000000.0,5289000000.0,
Goodwill And Other Intangible Assets,41865000000.0,43732000000.0,43160000000.0,40269000000.0,
Other Intangible Assets,18848000000.0,19836000000.0,19710000000.0,18291000000.0,
Goodwill,23017000000.0,23896000000.0,23450000000.0,21978000000.0,
Net PPE,10248000000.0,10377000000.0,9680000000.0,9271000000.0,
Accumulated Depreciation,-8135000000.0,-7996000000.0,-7211000000.0,-7434000000.0,
Gross PPE,18383000000.0,18373000000.0,16891000000.0,16705000000.0,
Construction In Progress,1058000000.0,1118000000.0,879000000.0,732000000.0,
Other Properties,767000000.0,683000000.0,660000000.0,613000000.0,
Machinery Furniture Equipment,12732000000.0,12736000000.0,11724000000.0,11842000000.0,
Buildings And Improvements,3453000000.0,3452000000.0,3250000000.0,3139000000.0,
Land And Improvements,373000000.0,384000000.0,378000000.0,379000000.0,
Properties,0.0,0.0,0.0,0.0,
