,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,61126646.0,61821421.0,62100000.0,62400000.0,
Share Issued,61126646.0,61821421.0,62100000.0,62400000.0,
Net Debt,4743000000.0,3074000000.0,4682000000.0,4842400000.0,
Total Debt,5804000000.0,4726000000.0,5428000000.0,5534100000.0,
Tangible Book Value,4956000000.0,3947000000.0,2673200000.0,1975900000.0,
Invested Capital,14866000000.0,12380000000.0,12210500000.0,11636100000.0,
Working Capital,1526000000.0,2749000000.0,1431300000.0,1273000000.0,
Net Tangible Assets,4956000000.0,3947000000.0,2673200000.0,1975900000.0,
Capital Lease Obligations,391000000.0,380000000.0,388000000.0,433300000.0,
Common Stock Equity,9453000000.0,8034000000.0,7170500000.0,6535300000.0,
Total Capitalization,14741000000.0,11980000000.0,11511400000.0,11636100000.0,
Total Equity Gross Minority Interest,9456000000.0,8036000000.0,7172800000.0,6537600000.0,
Minority Interest,3000000.0,2000000.0,2300000.0,2300000.0,
Stockholders Equity,9453000000.0,8034000000.0,7170500000.0,6535300000.0,
Gains Losses Not Affecting Retained Earnings,-13000000.0,-49000000.0,-38500000.0,-97600000.0,
Other Equity Adjustments,-13000000.0,-49000000.0,-38500000.0,-97600000.0,
Retained Earnings,5915000000.0,4563000000.0,3719400000.0,3161900000.0,
Additional Paid In Capital,3550000000.0,3519000000.0,3489000000.0,3470400000.0,
Capital Stock,1000000.0,1000000.0,600000.0,600000.0,
Common Stock,1000000.0,1000000.0,600000.0,600000.0,
Preferred Stock,0.0,0.0,0.0,0.0,
Total Liabilities Net Minority Interest,8714000000.0,7089000000.0,7820800000.0,7855400000.0,
Total Non Current Liabilities Net Minority Interest,7698000000.0,5919000000.0,6375200000.0,7102800000.0,
Other Non Current Liabilities,483000000.0,389000000.0,384600000.0,673800000.0,
Liabilities Heldfor Sale Non Current,,0.0,21800000.0,53500000.0,0.0
Non Current Deferred Liabilities,1169000000.0,874000000.0,914300000.0,895300000.0,
Non Current Deferred Taxes Liabilities,1169000000.0,874000000.0,914300000.0,895300000.0,
Long Term Debt And Capital Lease Obligation,5623000000.0,4273000000.0,4676800000.0,5480200000.0,
Long Term Capital Lease Obligation,335000000.0,327000000.0,335900000.0,379400000.0,
Long Term Debt,5288000000.0,3946000000.0,4340900000.0,5100800000.0,
Long Term Provisions,423000000.0,383000000.0,377700000.0,,
Current Liabilities,1016000000.0,1170000000.0,1445600000.0,752600000.0,
Other Current Liabilities,190000000.0,178000000.0,139600000.0,149500000.0,
Current Debt And Capital Lease Obligation,181000000.0,453000000.0,751200000.0,53900000.0,
Current Capital Lease Obligation,56000000.0,53000000.0,52100000.0,53900000.0,
Current Debt,125000000.0,400000000.0,699100000.0,,
Other Current Borrowings,125000000.0,400000000.0,699100000.0,,
Payables And Accrued Expenses,645000000.0,539000000.0,554800000.0,549200000.0,
Current Accrued Expenses,118000000.0,143000000.0,114400000.0,134600000.0,
Interest Payable,45000000.0,41000000.0,42800000.0,48000000.0,
Payables,527000000.0,396000000.0,440400000.0,414600000.0,
Total Tax Payable,152000000.0,53000000.0,55400000.0,58400000.0,
Income Tax Payable,102000000.0,6000000.0,,,
Accounts Payable,375000000.0,343000000.0,385000000.0,356200000.0,
Total Assets,18170000000.0,15125000000.0,14993600000.0,14393000000.0,
Total Non Current Assets,15628000000.0,11206000000.0,12116700000.0,12367400000.0,
Other Non Current Assets,646000000.0,561000000.0,919200000.0,1043300000.0,
Goodwill And Other Intangible Assets,4497000000.0,4087000000.0,4497300000.0,4559400000.0,
Other Intangible Assets,730000000.0,698000000.0,847800000.0,1065000000.0,
Goodwill,3767000000.0,3389000000.0,3649500000.0,3494400000.0,
Net PPE,10485000000.0,6558000000.0,6700200000.0,6764700000.0,
Accumulated Depreciation,-4977000000.0,-4522000000.0,-4344300000.0,-4032000000.0,
Gross PPE,15462000000.0,11080000000.0,11044500000.0,10796700000.0,
Construction In Progress,313000000.0,333000000.0,338500000.0,162200000.0,
Other Properties,671000000.0,626000000.0,3538200000.0,3577100000.0,
Machinery Furniture Equipment,6117000000.0,5380000000.0,5484500000.0,5357700000.0,
Buildings And Improvements,175000000.0,160000000.0,164100000.0,169600000.0,
Land And Improvements,1858000000.0,1599000000.0,1519200000.0,1530100000.0,
Current Assets,2542000000.0,3919000000.0,2876900000.0,2025600000.0,
Other Current Assets,71000000.0,88000000.0,80700000.0,137900000.0,
Assets Held For Sale Current,8000000.0,807000000.0,73200000.0,102200000.0,
Restricted Cash,0.0,10000000.0,705400000.0,500000.0,
Inventory,1115000000.0,989000000.0,873700000.0,752600000.0,
Inventories Adjustments Allowances,-463000000.0,-403000000.0,-308300000.0,-214300000.0,
Finished Goods,1327000000.0,1152000000.0,932400000.0,713300000.0,
Work In Process,24000000.0,25000000.0,24800000.0,30100000.0,
Raw Materials,227000000.0,215000000.0,224800000.0,223500000.0,
Receivables,678000000.0,753000000.0,785900000.0,774000000.0,
Receivables Adjustments Allowances,-8000000.0,-12000000.0,-11000000.0,-5800000.0,
Other Receivables,8000000.0,18000000.0,15900000.0,12300000.0,
Accounts Receivable,678000000.0,747000000.0,781000000.0,767500000.0,
Allowance For Doubtful Accounts Receivable,,,-11000000.0,-5800000.0,-5900000.0
Gross Accounts Receivable,,,796900000.0,779800000.0,581000000.0
Cash Cash Equivalents And Short Term Investments,670000000.0,1272000000.0,358000000.0,258400000.0,
Cash And Cash Equivalents,670000000.0,1272000000.0,358000000.0,258400000.0,
