,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,495000000.0,493000000.0,490000000.0,484000000.0,
Ordinary Shares Number,1371989025.0,1374000000.0,1377000000.0,1383000000.0,
Share Issued,1866989025.0,1867000000.0,1867000000.0,1867000000.0,
Net Debt,35801000000.0,34394000000.0,34117000000.0,34738000000.0,
Total Debt,44948000000.0,44661000000.0,39554000000.0,40780000000.0,
Tangible Book Value,-14294000000.0,-14154000000.0,-16639000000.0,-21003000000.0,
Invested Capital,62347000000.0,62608000000.0,56220000000.0,56377000000.0,
Working Capital,-5710000000.0,-4697000000.0,-5246000000.0,-4437000000.0,
Net Tangible Assets,-14294000000.0,-14154000000.0,-16639000000.0,-21003000000.0,
Capital Lease Obligations,642000000.0,556000000.0,483000000.0,446000000.0,
Common Stock Equity,18041000000.0,18503000000.0,17149000000.0,16043000000.0,
Total Capitalization,55265000000.0,56098000000.0,52806000000.0,52069000000.0,
Total Equity Gross Minority Interest,18171000000.0,18637000000.0,17273000000.0,16151000000.0,
Minority Interest,130000000.0,134000000.0,124000000.0,108000000.0,
Stockholders Equity,18041000000.0,18503000000.0,17149000000.0,16043000000.0,
Gains Losses Not Affecting Retained Earnings,-17612000000.0,-15534000000.0,-15302000000.0,-14898000000.0,
Other Equity Adjustments,-17612000000.0,-15534000000.0,-15302000000.0,-14898000000.0,
Treasury Stock,41021000000.0,40282000000.0,39506000000.0,38248000000.0,
Retained Earnings,72266000000.0,70035000000.0,67800000000.0,65165000000.0,
Additional Paid In Capital,4385000000.0,4261000000.0,4134000000.0,4001000000.0,
Capital Stock,23000000.0,23000000.0,23000000.0,23000000.0,
Common Stock,23000000.0,23000000.0,23000000.0,23000000.0,
Total Liabilities Net Minority Interest,81296000000.0,81858000000.0,74914000000.0,76226000000.0,
Total Non Current Liabilities Net Minority Interest,49760000000.0,50211000000.0,48129000000.0,50006000000.0,
Other Non Current Liabilities,9052000000.0,8721000000.0,8339000000.0,9154000000.0,
Non Current Deferred Liabilities,3484000000.0,3895000000.0,4133000000.0,4826000000.0,
Non Current Deferred Taxes Liabilities,3484000000.0,3895000000.0,4133000000.0,4826000000.0,
Long Term Debt And Capital Lease Obligation,37224000000.0,37595000000.0,35657000000.0,36026000000.0,
Long Term Debt,37224000000.0,37595000000.0,35657000000.0,36026000000.0,
Current Liabilities,31536000000.0,31647000000.0,26785000000.0,26220000000.0,
Other Current Liabilities,5216000000.0,4969000000.0,4390000000.0,4713000000.0,
Current Debt And Capital Lease Obligation,7724000000.0,7066000000.0,3897000000.0,4754000000.0,
Current Capital Lease Obligation,642000000.0,556000000.0,483000000.0,446000000.0,
Current Debt,7082000000.0,6510000000.0,3414000000.0,4308000000.0,
Other Current Borrowings,4264000000.0,4224000000.0,3414000000.0,3908000000.0,
Commercial Paper,2818000000.0,2286000000.0,0.0,400000000.0,
Pensionand Other Post Retirement Benefit Plans Current,2256000000.0,2687000000.0,2519000000.0,2324000000.0,
Payables And Accrued Expenses,16340000000.0,16925000000.0,15979000000.0,14429000000.0,
Current Accrued Expenses,3458000000.0,3523000000.0,3637000000.0,3087000000.0,
Payables,12882000000.0,13402000000.0,12342000000.0,11342000000.0,
Dividends Payable,1885000000.0,1767000000.0,1610000000.0,1508000000.0,
Accounts Payable,10997000000.0,11635000000.0,10732000000.0,9834000000.0,
Total Assets,99467000000.0,100495000000.0,92187000000.0,92377000000.0,
Total Non Current Assets,73641000000.0,73545000000.0,70648000000.0,70594000000.0,
Other Non Current Assets,821000000.0,780000000.0,833000000.0,694000000.0,
Defined Pension Benefit,1190000000.0,1057000000.0,948000000.0,1260000000.0,
Non Current Deferred Assets,4462000000.0,4577000000.0,4327000000.0,4429000000.0,
Non Current Deferred Taxes Assets,4362000000.0,4474000000.0,4204000000.0,4310000000.0,
Non Current Note Receivables,111000000.0,200000000.0,202000000.0,111000000.0,
Non Current Accounts Receivable,,,,111000000.0,109000000.0
Investments And Advances,3331000000.0,4330000000.0,3886000000.0,2627000000.0,
Other Investments,1346000000.0,1616000000.0,813000000.0,277000000.0,
Long Term Equity Investment,1985000000.0,2714000000.0,3073000000.0,2350000000.0,
Investmentsin Associatesat Cost,,,,2627000000.0,2792000000.0
Goodwill And Other Intangible Assets,32335000000.0,32657000000.0,33788000000.0,37046000000.0,
Other Intangible Assets,14801000000.0,14929000000.0,15586000000.0,18665000000.0,
Goodwill,17534000000.0,17728000000.0,18202000000.0,18381000000.0,
Net PPE,31391000000.0,29944000000.0,26664000000.0,24427000000.0,
Accumulated Depreciation,-27997000000.0,-27400000000.0,-25493000000.0,-24421000000.0,
Gross PPE,59388000000.0,57344000000.0,52157000000.0,48848000000.0,
Construction In Progress,5941000000.0,5695000000.0,4491000000.0,3940000000.0,
Other Properties,3383000000.0,2905000000.0,2373000000.0,2020000000.0,
Machinery Furniture Equipment,36990000000.0,36006000000.0,33335000000.0,31486000000.0,
Buildings And Improvements,11938000000.0,11579000000.0,10816000000.0,10279000000.0,
Land And Improvements,1136000000.0,1159000000.0,1142000000.0,1123000000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,25826000000.0,26950000000.0,21539000000.0,21783000000.0,
Other Current Assets,921000000.0,798000000.0,806000000.0,980000000.0,
Assets Held For Sale Current,,,0.0,1788000000.0,0.0
Prepaid Assets,,,806000000.0,980000000.0,874000000.0
Inventory,5306000000.0,5334000000.0,5222000000.0,4347000000.0,
Finished Goods,2762000000.0,2842000000.0,2742000000.0,2298000000.0,
Work In Process,104000000.0,104000000.0,114000000.0,151000000.0,
Raw Materials,2440000000.0,2388000000.0,2366000000.0,1898000000.0,
Receivables,10333000000.0,10815000000.0,10163000000.0,8680000000.0,
Receivables Adjustments Allowances,-356000000.0,-175000000.0,-150000000.0,-147000000.0,
Other Receivables,2202000000.0,2315000000.0,2121000000.0,1655000000.0,
Accounts Receivable,8487000000.0,8675000000.0,8192000000.0,7172000000.0,
Cash Cash Equivalents And Short Term Investments,9266000000.0,10003000000.0,5348000000.0,5988000000.0,
Other Short Term Investments,761000000.0,292000000.0,394000000.0,392000000.0,
Cash And Cash Equivalents,8505000000.0,9711000000.0,4954000000.0,5596000000.0,
