,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,351218253.0,345935282.0,346072210.0,345239110.0,
Ordinary Shares Number,229927883.0,235210854.0,235073926.0,235907026.0,
Share Issued,581146136.0,581146136.0,581146136.0,581146136.0,
Net Debt,4545000000.0,4561000000.0,5717000000.0,5576000000.0,
Total Debt,6395000000.0,6599000000.0,7635000000.0,7466000000.0,
Tangible Book Value,-827000000.0,-544000000.0,-1900000000.0,-2745000000.0,
Invested Capital,12600000000.0,13886000000.0,13408000000.0,12867000000.0,
Working Capital,1543000000.0,2377000000.0,2452000000.0,2008000000.0,
Net Tangible Assets,-827000000.0,-544000000.0,-1900000000.0,-2745000000.0,
Capital Lease Obligations,580000000.0,545000000.0,819000000.0,885000000.0,
Common Stock Equity,6785000000.0,7832000000.0,6592000000.0,6286000000.0,
Total Capitalization,11661000000.0,13580000000.0,13095000000.0,12858000000.0,
Total Equity Gross Minority Interest,6962000000.0,8023000000.0,6709000000.0,6411000000.0,
Minority Interest,177000000.0,191000000.0,117000000.0,125000000.0,
Stockholders Equity,6785000000.0,7832000000.0,6592000000.0,6286000000.0,
Gains Losses Not Affecting Retained Earnings,-3108000000.0,-2239000000.0,-2810000000.0,-2750000000.0,
Other Equity Adjustments,-3108000000.0,-2239000000.0,-2810000000.0,-2750000000.0,
Treasury Stock,14342000000.0,13600000000.0,13525000000.0,13386000000.0,
Retained Earnings,21994000000.0,21500000000.0,20828000000.0,20372000000.0,
Additional Paid In Capital,1272000000.0,1202000000.0,1130000000.0,1081000000.0,
Capital Stock,969000000.0,969000000.0,969000000.0,969000000.0,
Common Stock,969000000.0,969000000.0,969000000.0,969000000.0,
Total Liabilities Net Minority Interest,12471000000.0,13624000000.0,14035000000.0,14940000000.0,
Total Non Current Liabilities Net Minority Interest,7457000000.0,8570000000.0,9314000000.0,10174000000.0,
Other Non Current Liabilities,754000000.0,867000000.0,632000000.0,757000000.0,
Employee Benefits,968000000.0,1038000000.0,1042000000.0,1506000000.0,
Non Current Pension And Other Postretirement Benefit Plans,968000000.0,1038000000.0,1042000000.0,1506000000.0,
Non Current Deferred Liabilities,405000000.0,500000000.0,501000000.0,646000000.0,
Non Current Deferred Taxes Liabilities,405000000.0,500000000.0,501000000.0,646000000.0,
Long Term Debt And Capital Lease Obligation,5330000000.0,6165000000.0,7139000000.0,7265000000.0,
Long Term Capital Lease Obligation,454000000.0,417000000.0,636000000.0,693000000.0,
Long Term Debt,4876000000.0,5748000000.0,6503000000.0,6572000000.0,
Current Liabilities,5014000000.0,5054000000.0,4721000000.0,4766000000.0,
Other Current Liabilities,90000000.0,375000000.0,,,281000000.0
Current Debt And Capital Lease Obligation,1065000000.0,434000000.0,496000000.0,201000000.0,
Current Capital Lease Obligation,126000000.0,128000000.0,183000000.0,192000000.0,
Current Debt,939000000.0,306000000.0,313000000.0,9000000.0,
Other Current Borrowings,939000000.0,306000000.0,313000000.0,9000000.0,
Pensionand Other Post Retirement Benefit Plans Current,76000000.0,96000000.0,77000000.0,87000000.0,
Current Provisions,128000000.0,84000000.0,138000000.0,173000000.0,
Payables And Accrued Expenses,3655000000.0,4065000000.0,4010000000.0,4305000000.0,
Current Accrued Expenses,490000000.0,630000000.0,501000000.0,534000000.0,
Payables,3165000000.0,3435000000.0,3509000000.0,3771000000.0,
Total Tax Payable,130000000.0,128000000.0,37000000.0,36000000.0,
Income Tax Payable,130000000.0,128000000.0,37000000.0,36000000.0,
Accounts Payable,3035000000.0,3307000000.0,3472000000.0,3735000000.0,
Total Assets,19433000000.0,21647000000.0,20744000000.0,21351000000.0,
Total Non Current Assets,12876000000.0,14216000000.0,13571000000.0,14577000000.0,
Other Non Current Assets,569000000.0,1293000000.0,583000000.0,742000000.0,
Non Current Deferred Assets,303000000.0,272000000.0,95000000.0,197000000.0,
Non Current Deferred Taxes Assets,303000000.0,272000000.0,95000000.0,197000000.0,
Investments And Advances,331000000.0,254000000.0,244000000.0,274000000.0,
Other Investments,105000000.0,39000000.0,49000000.0,50000000.0,
Investmentin Financial Assets,85000000.0,74000000.0,61000000.0,98000000.0,
Available For Sale Securities,85000000.0,74000000.0,61000000.0,98000000.0,
Long Term Equity Investment,141000000.0,141000000.0,134000000.0,126000000.0,
Investmentsin Associatesat Cost,141000000.0,141000000.0,134000000.0,126000000.0,
Goodwill And Other Intangible Assets,7612000000.0,8376000000.0,8492000000.0,9031000000.0,
Other Intangible Assets,1922000000.0,2261000000.0,2414000000.0,2783000000.0,
Goodwill,5690000000.0,6115000000.0,6078000000.0,6248000000.0,
Net PPE,4061000000.0,4021000000.0,4157000000.0,4333000000.0,
Accumulated Depreciation,-4217000000.0,-4505000000.0,-4649000000.0,-4532000000.0,
Gross PPE,8278000000.0,8526000000.0,8806000000.0,8865000000.0,
Construction In Progress,735000000.0,669000000.0,492000000.0,509000000.0,
Other Properties,1704000000.0,1693000000.0,2032000000.0,2068000000.0,
Machinery Furniture Equipment,3545000000.0,3862000000.0,3960000000.0,3949000000.0,
Buildings And Improvements,1769000000.0,1761000000.0,1774000000.0,1769000000.0,
Land And Improvements,525000000.0,541000000.0,548000000.0,570000000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,6557000000.0,7431000000.0,7173000000.0,6774000000.0,
Other Current Assets,368000000.0,922000000.0,444000000.0,379000000.0,
Inventory,1846000000.0,1934000000.0,2272000000.0,2171000000.0,
Finished Goods,993000000.0,1032000000.0,1209000000.0,1175000000.0,
Work In Process,213000000.0,233000000.0,238000000.0,234000000.0,
Raw Materials,640000000.0,669000000.0,825000000.0,762000000.0,
Receivables,2985000000.0,3007000000.0,3303000000.0,3152000000.0,
Other Receivables,508000000.0,385000000.0,479000000.0,465000000.0,
Duefrom Related Parties Current,,,,,2000000.0
Accounts Receivable,2477000000.0,2622000000.0,2824000000.0,2687000000.0,
Allowance For Doubtful Accounts Receivable,,-25000000.0,-31000000.0,,-44000000.0
Gross Accounts Receivable,,2906000000.0,2855000000.0,,2456000000.0
Cash Cash Equivalents And Short Term Investments,1358000000.0,1568000000.0,1154000000.0,1072000000.0,
Other Short Term Investments,88000000.0,75000000.0,55000000.0,67000000.0,
Cash And Cash Equivalents,1270000000.0,1493000000.0,1099000000.0,1005000000.0,
