,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Preferred Shares Number,,,,,5750000.0
Ordinary Shares Number,650629876.0,631431732.0,628000000.0,634000000.0,
Share Issued,650629876.0,631431732.0,628000000.0,634000000.0,
Net Debt,34283000000.0,30840000000.0,28549000000.0,24086000000.0,
Total Debt,35848000000.0,31076000000.0,28919000000.0,24645000000.0,
Tangible Book Value,28439000000.0,25866000000.0,24280000000.0,23120000000.0,
Invested Capital,66181000000.0,58862000000.0,55145000000.0,49737000000.0,
Working Capital,-4391000000.0,-4620000000.0,-3987000000.0,-5660000000.0,
Net Tangible Assets,29348000000.0,26775000000.0,25189000000.0,24029000000.0,
Common Stock Equity,30333000000.0,27786000000.0,26226000000.0,25092000000.0,
Preferred Stock Equity,909000000.0,909000000.0,909000000.0,909000000.0,
Total Capitalization,62800000000.0,56454000000.0,51683000000.0,47069000000.0,
Total Equity Gross Minority Interest,37788000000.0,33654000000.0,29256000000.0,27419000000.0,
Minority Interest,6546000000.0,4959000000.0,2121000000.0,1418000000.0,
Stockholders Equity,31242000000.0,28695000000.0,27135000000.0,26001000000.0,
Other Equity Interest,,,,20000000.0,20000000.0
Gains Losses Not Affecting Retained Earnings,-166000000.0,-150000000.0,-135000000.0,-318000000.0,
Other Equity Adjustments,-166000000.0,-150000000.0,-135000000.0,-318000000.0,
Retained Earnings,16979000000.0,15732000000.0,14201000000.0,13548000000.0,
Capital Stock,14429000000.0,13113000000.0,13069000000.0,12771000000.0,
Common Stock,13520000000.0,12204000000.0,12160000000.0,11862000000.0,
Preferred Stock,909000000.0,909000000.0,909000000.0,909000000.0,
Total Liabilities Net Minority Interest,58367000000.0,53527000000.0,49318000000.0,44626000000.0,
Total Non Current Liabilities Net Minority Interest,48691000000.0,43437000000.0,39419000000.0,34591000000.0,
Other Non Current Liabilities,3214000000.0,2329000000.0,2682000000.0,2295000000.0,
Liabilities Heldfor Sale Non Current,,,,0.0,0.0
Employee Benefits,168000000.0,407000000.0,410000000.0,687000000.0,
Non Current Pension And Other Postretirement Benefit Plans,168000000.0,407000000.0,410000000.0,687000000.0,
Dueto Related Parties Non Current,352000000.0,307000000.0,301000000.0,287000000.0,
Tradeand Other Payables Non Current,0.0,0.0,0.0,0.0,
Non Current Deferred Liabilities,5845000000.0,5254000000.0,4591000000.0,3477000000.0,
Non Current Deferred Taxes Liabilities,5845000000.0,5254000000.0,4591000000.0,3477000000.0,
Long Term Debt And Capital Lease Obligation,31558000000.0,27759000000.0,24548000000.0,21068000000.0,
Long Term Debt,31558000000.0,27759000000.0,24548000000.0,21068000000.0,
Long Term Provisions,3737000000.0,3642000000.0,3546000000.0,3375000000.0,
Current Liabilities,9676000000.0,10090000000.0,9899000000.0,10035000000.0,
Other Current Liabilities,1609000000.0,3116000000.0,2025000000.0,1587000000.0,
Current Debt And Capital Lease Obligation,4290000000.0,3317000000.0,4371000000.0,3577000000.0,
Current Debt,4290000000.0,3317000000.0,4371000000.0,3577000000.0,
Pensionand Other Post Retirement Benefit Plans Current,558000000.0,526000000.0,484000000.0,479000000.0,
Current Provisions,,31000000.0,129000000.0,1980000000.0,150000000.0
Payables And Accrued Expenses,3219000000.0,3131000000.0,2890000000.0,2412000000.0,
Payables,3219000000.0,3131000000.0,2890000000.0,2412000000.0,
Other Payable,208000000.0,224000000.0,275000000.0,178000000.0,
Dueto Related Parties Current,0.0,5000000.0,0.0,0.0,
Dividends Payable,773000000.0,691000000.0,621000000.0,563000000.0,
Accounts Payable,2238000000.0,2211000000.0,1994000000.0,1671000000.0,
Total Assets,96155000000.0,87181000000.0,78574000000.0,72045000000.0,
Total Non Current Assets,90870000000.0,81711000000.0,72662000000.0,67670000000.0,
Other Non Current Assets,2597000000.0,2008000000.0,2230000000.0,1669000000.0,
Defined Pension Benefit,585000000.0,549000000.0,505000000.0,567000000.0,
Non Current Deferred Assets,172000000.0,129000000.0,135000000.0,151000000.0,
Non Current Deferred Taxes Assets,172000000.0,129000000.0,135000000.0,151000000.0,
Duefrom Related Parties Non Current,,,0.0,637000000.0,780000000.0
Non Current Accounts Receivable,,,,997000000.0,1225000000.0
Investments And Advances,19071000000.0,17651000000.0,16821000000.0,15815000000.0,
Other Investments,2534000000.0,2244000000.0,2012000000.0,1525000000.0,
Investmentin Financial Assets,1137000000.0,1141000000.0,1144000000.0,1343000000.0,
Available For Sale Securities,1137000000.0,1141000000.0,1144000000.0,1343000000.0,
Long Term Equity Investment,15400000000.0,14266000000.0,13665000000.0,12947000000.0,
Goodwill And Other Intangible Assets,1894000000.0,1920000000.0,1946000000.0,1972000000.0,
Other Intangible Assets,292000000.0,318000000.0,344000000.0,370000000.0,
Goodwill,1602000000.0,1602000000.0,1602000000.0,1602000000.0,
Net PPE,62614000000.0,55683000000.0,48437000000.0,44488000000.0,
Accumulated Depreciation,-18960000000.0,-17535000000.0,-16111000000.0,-15046000000.0,
Gross PPE,81574000000.0,73218000000.0,64548000000.0,59534000000.0,
Construction In Progress,12604000000.0,9019000000.0,4982000000.0,4316000000.0,
Other Properties,2024000000.0,1556000000.0,1468000000.0,1245000000.0,
Current Assets,5285000000.0,5470000000.0,5912000000.0,4375000000.0,
Other Current Assets,311000000.0,1471000000.0,541000000.0,398000000.0,
Hedging Assets Current,91000000.0,122000000.0,803000000.0,179000000.0,
Assets Held For Sale Current,,,,0.0,0.0
Restricted Cash,21000000.0,49000000.0,40000000.0,19000000.0,
Prepaid Assets,255000000.0,273000000.0,268000000.0,260000000.0,
Inventory,559000000.0,482000000.0,403000000.0,389000000.0,
Other Inventories,190000000.0,183000000.0,168000000.0,191000000.0,
Receivables,2483000000.0,2837000000.0,3487000000.0,2571000000.0,
Other Receivables,397000000.0,561000000.0,685000000.0,398000000.0,
Duefrom Related Parties Current,13000000.0,31000000.0,54000000.0,23000000.0,
Taxes Receivable,90000000.0,94000000.0,113000000.0,79000000.0,
Accounts Receivable,1983000000.0,2151000000.0,2635000000.0,2071000000.0,
Allowance For Doubtful Accounts Receivable,-447000000.0,-480000000.0,-140000000.0,,
Gross Accounts Receivable,2430000000.0,2631000000.0,2775000000.0,,
Cash Cash Equivalents And Short Term Investments,1565000000.0,236000000.0,370000000.0,559000000.0,
Cash And Cash Equivalents,1565000000.0,236000000.0,370000000.0,559000000.0,
