,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,126494683.0,67096823.0,22916449.0,1537468.0,
Ordinary Shares Number,1144579681.0,1195807331.0,1233960078.0,1249213681.0,
Share Issued,1271074364.0,1262904154.0,1256876527.0,1250751149.0,
Net Debt,73316000000.0,70623000000.0,67453000000.0,67562000000.0,
Total Debt,114404000000.0,113826000000.0,111792000000.0,108817000000.0,
Tangible Book Value,-54334000000.0,-46844000000.0,-41884000000.0,-40425000000.0,
Invested Capital,140466000000.0,140473000000.0,141616000000.0,143295000000.0,
Working Capital,-1770000000.0,-1913000000.0,-5675000000.0,-2608000000.0,
Net Tangible Assets,-54334000000.0,-46844000000.0,-41884000000.0,-40425000000.0,
Capital Lease Obligations,35679000000.0,38068000000.0,39832000000.0,34624000000.0,
Common Stock Equity,61741000000.0,64715000000.0,69656000000.0,69102000000.0,
Total Capitalization,135938000000.0,136114000000.0,136452000000.0,137672000000.0,
Total Equity Gross Minority Interest,61741000000.0,64715000000.0,69656000000.0,69102000000.0,
Stockholders Equity,61741000000.0,64715000000.0,69656000000.0,69102000000.0,
Gains Losses Not Affecting Retained Earnings,-857000000.0,-964000000.0,-1046000000.0,-1365000000.0,
Other Equity Adjustments,-857000000.0,-964000000.0,-1046000000.0,-1365000000.0,
Treasury Stock,20584000000.0,9373000000.0,3016000000.0,13000000.0,
Retained Earnings,14384000000.0,7347000000.0,-223000000.0,-2812000000.0,
Additional Paid In Capital,68798000000.0,67705000000.0,73941000000.0,73292000000.0,
Capital Stock,0.0,0.0,0.0,0.0,
Common Stock,0.0,0.0,0.0,0.0,
Total Liabilities Net Minority Interest,146294000000.0,142967000000.0,141682000000.0,137461000000.0,
Total Non Current Liabilities Net Minority Interest,126120000000.0,122039000000.0,116940000000.0,113962000000.0,
Other Non Current Liabilities,4000000000.0,3929000000.0,4101000000.0,5097000000.0,
Non Current Deferred Liabilities,16700000000.0,13458000000.0,10884000000.0,10216000000.0,
Non Current Deferred Taxes Liabilities,16700000000.0,13458000000.0,10884000000.0,10216000000.0,
Long Term Debt And Capital Lease Obligation,105420000000.0,104652000000.0,101955000000.0,98649000000.0,
Long Term Capital Lease Obligation,31223000000.0,33253000000.0,35159000000.0,30079000000.0,
Long Term Debt,74197000000.0,71399000000.0,66796000000.0,68570000000.0,
Current Liabilities,20174000000.0,20928000000.0,24742000000.0,23499000000.0,
Other Current Liabilities,1965000000.0,1296000000.0,1850000000.0,1070000000.0,
Current Deferred Liabilities,1222000000.0,825000000.0,780000000.0,856000000.0,
Current Deferred Revenue,1222000000.0,825000000.0,780000000.0,856000000.0,
Current Debt And Capital Lease Obligation,8984000000.0,9174000000.0,9837000000.0,10168000000.0,
Current Capital Lease Obligation,4456000000.0,4815000000.0,4673000000.0,4545000000.0,
Current Debt,4528000000.0,4359000000.0,5164000000.0,5623000000.0,
Other Current Borrowings,4068000000.0,3619000000.0,5164000000.0,5623000000.0,
Line Of Credit,460000000.0,740000000.0,,,
Pensionand Other Post Retirement Benefit Plans Current,,,,,1163000000.0
Payables And Accrued Expenses,8003000000.0,9633000000.0,12275000000.0,11405000000.0,
Current Accrued Expenses,2697000000.0,3096000000.0,3405000000.0,2649000000.0,
Interest Payable,905000000.0,818000000.0,731000000.0,710000000.0,
Payables,5306000000.0,6537000000.0,8870000000.0,8756000000.0,
Other Payable,,,688000000.0,427000000.0,407000000.0
Dueto Related Parties Current,,,,103000000.0,157000000.0
Total Tax Payable,1524000000.0,1704000000.0,1657000000.0,1830000000.0,
Accounts Payable,3782000000.0,4833000000.0,7213000000.0,6499000000.0,
Total Assets,208035000000.0,207682000000.0,211338000000.0,206563000000.0,
Total Non Current Assets,189631000000.0,188667000000.0,192271000000.0,185672000000.0,
Other Non Current Assets,4325000000.0,4229000000.0,4127000000.0,3232000000.0,
Non Current Accounts Receivable,2209000000.0,2042000000.0,2546000000.0,2829000000.0,
Goodwill And Other Intangible Assets,116075000000.0,111559000000.0,111540000000.0,109527000000.0,
Other Intangible Assets,103070000000.0,99325000000.0,99306000000.0,97339000000.0,
Goodwill,13005000000.0,12234000000.0,12234000000.0,12188000000.0,
Net PPE,67022000000.0,70837000000.0,74058000000.0,70084000000.0,
Accumulated Depreciation,-56367000000.0,-58481000000.0,-53102000000.0,-49818000000.0,
Gross PPE,123389000000.0,129318000000.0,127160000000.0,119902000000.0,
Leases,2588000000.0,2489000000.0,2326000000.0,2160000000.0,
Construction In Progress,3377000000.0,3286000000.0,4599000000.0,3703000000.0,
Other Properties,28634000000.0,30805000000.0,33387000000.0,34113000000.0,
Machinery Furniture Equipment,84344000000.0,88201000000.0,82080000000.0,75357000000.0,
Buildings And Improvements,4377000000.0,4465000000.0,4659000000.0,4344000000.0,
Land And Improvements,69000000.0,72000000.0,109000000.0,225000000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,18404000000.0,19015000000.0,19067000000.0,20891000000.0,
Other Current Assets,1853000000.0,2352000000.0,2435000000.0,2005000000.0,
Prepaid Assets,880000000.0,702000000.0,673000000.0,746000000.0,
Inventory,1607000000.0,1678000000.0,1884000000.0,2567000000.0,
Receivables,8655000000.0,9148000000.0,9568000000.0,8942000000.0,
Other Receivables,4379000000.0,4456000000.0,5123000000.0,4748000000.0,
Duefrom Related Parties Current,,,,27000000.0,22000000.0
Accounts Receivable,4276000000.0,4692000000.0,4445000000.0,4194000000.0,
Allowance For Doubtful Accounts Receivable,-176000000.0,-161000000.0,-167000000.0,-146000000.0,
Gross Accounts Receivable,4452000000.0,4853000000.0,4612000000.0,4340000000.0,
Cash Cash Equivalents And Short Term Investments,5409000000.0,5135000000.0,4507000000.0,6631000000.0,
Cash And Cash Equivalents,5409000000.0,5135000000.0,4507000000.0,6631000000.0,
