,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Treasury Shares Number,1036000.0,2102000.0,,2300000.0
Ordinary Shares Number,182964000.0,192898000.0,206200000.0,216900000.0
Share Issued,184000000.0,195000000.0,206200000.0,219200000.0
Net Debt,2147000000.0,1693000000.0,1522000000.0,1650000000.0
Total Debt,3588000000.0,3874000000.0,3557000000.0,3767000000.0
Tangible Book Value,4916000000.0,4692000000.0,4830000000.0,4666000000.0
Invested Capital,10792000000.0,10861000000.0,10670000000.0,10582000000.0
Working Capital,3357000000.0,4027000000.0,4366000000.0,4910000000.0
Net Tangible Assets,4916000000.0,4692000000.0,4830000000.0,4666000000.0
Common Stock Equity,7204000000.0,6987000000.0,7113000000.0,6815000000.0
Total Capitalization,10435000000.0,10504000000.0,10663000000.0,10576000000.0
Total Equity Gross Minority Interest,7204000000.0,6987000000.0,7113000000.0,6815000000.0
Stockholders Equity,7204000000.0,6987000000.0,7113000000.0,6815000000.0
Gains Losses Not Affecting Retained Earnings,-304000000.0,-644000000.0,-612000000.0,-789000000.0
Other Equity Adjustments,-304000000.0,-644000000.0,-612000000.0,-789000000.0
Treasury Stock,82000000.0,165000000.0,84000000.0,157000000.0
Retained Earnings,5607000000.0,5862000000.0,5903000000.0,5870000000.0
Additional Paid In Capital,1960000000.0,1910000000.0,1880000000.0,1863000000.0
Capital Stock,23000000.0,24000000.0,26000000.0,28000000.0
Common Stock,23000000.0,24000000.0,26000000.0,28000000.0
Total Liabilities Net Minority Interest,9634000000.0,9869000000.0,9180000000.0,9012000000.0
Total Non Current Liabilities Net Minority Interest,5240000000.0,5491000000.0,5510000000.0,5876000000.0
Other Non Current Liabilities,2009000000.0,1974000000.0,1960000000.0,2115000000.0
Long Term Debt And Capital Lease Obligation,3231000000.0,3517000000.0,3550000000.0,3761000000.0
Long Term Debt,3231000000.0,3517000000.0,3550000000.0,3761000000.0
Current Liabilities,4394000000.0,4378000000.0,3670000000.0,3136000000.0
Other Current Liabilities,904000000.0,937000000.0,815000000.0,762000000.0
Current Deferred Liabilities,1734000000.0,1595000000.0,1416000000.0,1105000000.0
Current Deferred Revenue,1734000000.0,1595000000.0,1416000000.0,1105000000.0
Current Debt And Capital Lease Obligation,357000000.0,357000000.0,7000000.0,6000000.0
Current Debt,357000000.0,357000000.0,7000000.0,6000000.0
Payables And Accrued Expenses,1399000000.0,1489000000.0,1432000000.0,1263000000.0
Current Accrued Expenses,456000000.0,466000000.0,414000000.0,477000000.0
Payables,943000000.0,1023000000.0,1018000000.0,786000000.0
Accounts Payable,943000000.0,1023000000.0,1018000000.0,786000000.0
Total Assets,16838000000.0,16856000000.0,16293000000.0,15827000000.0
Total Non Current Assets,9087000000.0,8451000000.0,8257000000.0,7781000000.0
Other Non Current Assets,4270000000.0,3679000000.0,3451000000.0,3094000000.0
Goodwill And Other Intangible Assets,2288000000.0,2295000000.0,2283000000.0,2149000000.0
Goodwill,2288000000.0,2295000000.0,2283000000.0,2149000000.0
Net PPE,2529000000.0,2477000000.0,2523000000.0,2538000000.0
Accumulated Depreciation,-5471000000.0,-5247000000.0,-5084000000.0,-4888000000.0
Gross PPE,8000000000.0,7724000000.0,7607000000.0,7426000000.0
Machinery Furniture Equipment,5636000000.0,5495000000.0,5467000000.0,5329000000.0
Properties,2364000000.0,2229000000.0,2140000000.0,2097000000.0
Current Assets,7751000000.0,8405000000.0,8036000000.0,8046000000.0
Other Current Assets,687000000.0,857000000.0,1033000000.0,1018000000.0
Inventory,4071000000.0,3914000000.0,3550000000.0,3468000000.0
Finished Goods,1138000000.0,1072000000.0,991000000.0,1071000000.0
Work In Process,1769000000.0,1736000000.0,1540000000.0,1548000000.0
Raw Materials,1164000000.0,1106000000.0,1019000000.0,849000000.0
Receivables,1552000000.0,1453000000.0,1418000000.0,1443000000.0
Accounts Receivable,1552000000.0,1453000000.0,1418000000.0,1443000000.0
Allowance For Doubtful Accounts Receivable,-38000000.0,-50000000.0,-48000000.0,-49000000.0
Gross Accounts Receivable,1590000000.0,1503000000.0,1466000000.0,1492000000.0
Cash Cash Equivalents And Short Term Investments,1441000000.0,2181000000.0,2035000000.0,2117000000.0
Cash And Cash Equivalents,1441000000.0,2181000000.0,2035000000.0,2117000000.0
