,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,915000000.0,924000000.0,934000000.0,941000000.0,
Share Issued,915000000.0,924000000.0,934000000.0,941000000.0,
Net Debt,51592000000.0,37110000000.0,34258000000.0,24628000000.0,
Total Debt,76904000000.0,62537000000.0,57623000000.0,46003000000.0,
Tangible Book Value,-37344000000.0,-30170000000.0,-29981000000.0,-14079000000.0,
Invested Capital,169562000000.0,151293000000.0,135395000000.0,117763000000.0,
Working Capital,-17990000000.0,-20617000000.0,-20168000000.0,-16534000000.0,
Net Tangible Assets,-37344000000.0,-30170000000.0,-29981000000.0,-14079000000.0,
Common Stock Equity,92658000000.0,88756000000.0,77772000000.0,71760000000.0,
Total Capitalization,165017000000.0,147019000000.0,132285000000.0,114143000000.0,
Total Equity Gross Minority Interest,102591000000.0,98919000000.0,86347000000.0,76479000000.0,
Minority Interest,9933000000.0,10163000000.0,8575000000.0,4719000000.0,
Stockholders Equity,92658000000.0,88756000000.0,77772000000.0,71760000000.0,
Gains Losses Not Affecting Retained Earnings,-3387000000.0,-7027000000.0,-8393000000.0,-5384000000.0,
Other Equity Adjustments,-3387000000.0,-7027000000.0,-8393000000.0,-5384000000.0,
Retained Earnings,96036000000.0,95774000000.0,86156000000.0,77134000000.0,
Additional Paid In Capital,,,,0.0,0.0
Capital Stock,9000000.0,9000000.0,9000000.0,10000000.0,
Common Stock,9000000.0,9000000.0,9000000.0,10000000.0,
Preferred Stock,0.0,0.0,0.0,0.0,
Total Liabilities Net Minority Interest,195687000000.0,174801000000.0,159358000000.0,135727000000.0,
Total Non Current Liabilities Net Minority Interest,91918000000.0,75747000000.0,70121000000.0,57435000000.0,
Other Non Current Liabilities,15939000000.0,14463000000.0,12839000000.0,11787000000.0,
Preferred Securities Outside Stock Equity,,,,,2211000000.0
Non Current Deferred Liabilities,3620000000.0,3021000000.0,2769000000.0,3265000000.0,
Non Current Deferred Taxes Liabilities,3620000000.0,3021000000.0,2769000000.0,3265000000.0,
Long Term Debt And Capital Lease Obligation,72359000000.0,58263000000.0,54513000000.0,42383000000.0,
Long Term Debt,72359000000.0,58263000000.0,54513000000.0,42383000000.0,
Current Liabilities,103769000000.0,99054000000.0,89237000000.0,78292000000.0,
Other Current Liabilities,27346000000.0,27072000000.0,26281000000.0,22975000000.0,
Current Deferred Liabilities,3317000000.0,3355000000.0,3075000000.0,2571000000.0,
Current Deferred Revenue,3317000000.0,3355000000.0,3075000000.0,2571000000.0,
Current Debt And Capital Lease Obligation,4545000000.0,4274000000.0,3110000000.0,3620000000.0,
Current Debt,4545000000.0,4274000000.0,3110000000.0,3620000000.0,
Payables And Accrued Expenses,68561000000.0,64353000000.0,56771000000.0,49126000000.0,
Payables,68561000000.0,64353000000.0,56771000000.0,49126000000.0,
Accounts Payable,68561000000.0,64353000000.0,56771000000.0,49126000000.0,
Total Assets,298278000000.0,273720000000.0,245705000000.0,212206000000.0,
Total Non Current Assets,212499000000.0,195283000000.0,176636000000.0,150448000000.0,
Other Non Current Assets,19590000000.0,17298000000.0,15027000000.0,12526000000.0,
Investments And Advances,52354000000.0,47609000000.0,43728000000.0,43114000000.0,
Goodwill And Other Intangible Assets,130002000000.0,118926000000.0,107753000000.0,85839000000.0,
Other Intangible Assets,23268000000.0,15194000000.0,14401000000.0,10044000000.0,
Goodwill,106734000000.0,103732000000.0,93352000000.0,75795000000.0,
Net PPE,10553000000.0,11450000000.0,10128000000.0,8969000000.0,
Accumulated Depreciation,-6971000000.0,-7039000000.0,-6930000000.0,-5992000000.0,
Gross PPE,17524000000.0,18489000000.0,17058000000.0,14961000000.0,
Machinery Furniture Equipment,12945000000.0,12204000000.0,10842000000.0,9577000000.0,
Buildings And Improvements,4215000000.0,5573000000.0,5519000000.0,4882000000.0,
Land And Improvements,364000000.0,712000000.0,697000000.0,502000000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,85779000000.0,78437000000.0,69069000000.0,61758000000.0,
Other Current Assets,8212000000.0,9839000000.0,10708000000.0,9769000000.0,
Prepaid Assets,,,,5320000000.0,4457000000.0
Receivables,48454000000.0,38970000000.0,30450000000.0,28082000000.0,
Other Receivables,26089000000.0,17694000000.0,12769000000.0,13866000000.0,
Accounts Receivable,22365000000.0,21276000000.0,17681000000.0,14216000000.0,
Allowance For Doubtful Accounts Receivable,-985000000.0,-1000000000.0,-877000000.0,-954000000.0,
Gross Accounts Receivable,23350000000.0,22276000000.0,18558000000.0,15170000000.0,
Cash Cash Equivalents And Short Term Investments,29113000000.0,29628000000.0,27911000000.0,23907000000.0,
Other Short Term Investments,3801000000.0,4201000000.0,4546000000.0,2532000000.0,
Cash And Cash Equivalents,25312000000.0,25427000000.0,23365000000.0,21375000000.0,
