,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,358637890.0,340199677.0,301372958.0,264305955.0,
Ordinary Shares Number,314863703.0,333301916.0,372128635.0,409195638.0,
Share Issued,673501593.0,673501593.0,673501593.0,673501593.0,
Net Debt,5806000000.0,6100000000.0,6773000000.0,9748000000.0,
Total Debt,11540000000.0,12637000000.0,12722000000.0,15125000000.0,
Tangible Book Value,24101000000.0,25903000000.0,23099000000.0,17952000000.0,
Invested Capital,34975000000.0,37870000000.0,35196000000.0,32300000000.0,
Working Capital,8242000000.0,9419000000.0,6672000000.0,4314000000.0,
Net Tangible Assets,24101000000.0,25903000000.0,23099000000.0,17952000000.0,
Capital Lease Obligations,1077000000.0,1113000000.0,1087000000.0,1255000000.0,
Common Stock Equity,24512000000.0,26346000000.0,23561000000.0,18430000000.0,
Total Capitalization,34232000000.0,36464000000.0,34087000000.0,31036000000.0,
Total Equity Gross Minority Interest,27521000000.0,28524000000.0,25468000000.0,19817000000.0,
Minority Interest,3009000000.0,2178000000.0,1907000000.0,1387000000.0,
Stockholders Equity,24512000000.0,26346000000.0,23561000000.0,18430000000.0,
Gains Losses Not Affecting Retained Earnings,-1272000000.0,-870000000.0,-1359000000.0,-1008000000.0,
Other Equity Adjustments,-1272000000.0,-870000000.0,-1359000000.0,-1008000000.0,
Treasury Stock,28178000000.0,25322000000.0,20197000000.0,15677000000.0,
Retained Earnings,47016000000.0,45630000000.0,38247000000.0,28281000000.0,
Additional Paid In Capital,6939000000.0,6901000000.0,6863000000.0,6827000000.0,
Capital Stock,7000000.0,7000000.0,7000000.0,7000000.0,
Common Stock,7000000.0,7000000.0,7000000.0,7000000.0,
Total Liabilities Net Minority Interest,32622000000.0,34532000000.0,35514000000.0,38071000000.0,
Total Non Current Liabilities Net Minority Interest,17127000000.0,17730000000.0,18053000000.0,21220000000.0,
Other Non Current Liabilities,429000000.0,238000000.0,239000000.0,863000000.0,
Employee Benefits,423000000.0,476000000.0,448000000.0,601000000.0,
Non Current Pension And Other Postretirement Benefit Plans,423000000.0,476000000.0,448000000.0,601000000.0,
Non Current Accrued Expenses,328000000.0,335000000.0,250000000.0,364000000.0,
Tradeand Other Payables Non Current,0.0,167000000.0,301000000.0,367000000.0,
Non Current Deferred Liabilities,5267000000.0,5349000000.0,5217000000.0,5210000000.0,
Non Current Deferred Revenue,0.0,0.0,0.0,0.0,
Non Current Deferred Taxes Liabilities,5267000000.0,5349000000.0,5217000000.0,5210000000.0,
Long Term Debt And Capital Lease Obligation,10419000000.0,10871000000.0,11302000000.0,13546000000.0,
Long Term Capital Lease Obligation,699000000.0,753000000.0,776000000.0,940000000.0,
Long Term Debt,9720000000.0,10118000000.0,10526000000.0,12606000000.0,
Long Term Provisions,261000000.0,294000000.0,296000000.0,269000000.0,
Current Liabilities,15495000000.0,16802000000.0,17461000000.0,16851000000.0,
Current Deferred Liabilities,82000000.0,40000000.0,129000000.0,78000000.0,
Current Deferred Revenue,82000000.0,40000000.0,129000000.0,78000000.0,
Current Debt And Capital Lease Obligation,1121000000.0,1766000000.0,1420000000.0,1579000000.0,
Current Capital Lease Obligation,378000000.0,360000000.0,311000000.0,315000000.0,
Current Debt,743000000.0,1406000000.0,1109000000.0,1264000000.0,
Other Current Borrowings,743000000.0,1406000000.0,1109000000.0,1264000000.0,
Pensionand Other Post Retirement Benefit Plans Current,73000000.0,55000000.0,35000000.0,41000000.0,
Current Provisions,45000000.0,23000000.0,21000000.0,35000000.0,
Payables And Accrued Expenses,14174000000.0,14918000000.0,15856000000.0,15118000000.0,
Current Accrued Expenses,552000000.0,762000000.0,719000000.0,784000000.0,
Interest Payable,78000000.0,83000000.0,67000000.0,88000000.0,
Payables,13622000000.0,14156000000.0,15137000000.0,14334000000.0,
Total Tax Payable,1530000000.0,1589000000.0,2409000000.0,1839000000.0,
Income Tax Payable,170000000.0,137000000.0,841000000.0,378000000.0,
Accounts Payable,12092000000.0,12567000000.0,12728000000.0,12495000000.0,
