,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,53418170.0,43523885.0,38083184.0,29317153.0,
Ordinary Shares Number,448473073.0,458367358.0,463808059.0,472574090.0,
Share Issued,501891243.0,501891243.0,501891243.0,501891243.0,
Net Debt,4585000000.0,4528000000.0,4327000000.0,3110000000.0,
Total Debt,6744000000.0,6755000000.0,8090000000.0,6743000000.0,
Tangible Book Value,919000000.0,900000000.0,279000000.0,387000000.0,
Invested Capital,11340000000.0,11564000000.0,12309000000.0,11135000000.0,
Working Capital,2574000000.0,4454000000.0,4339000000.0,5133000000.0,
Net Tangible Assets,919000000.0,900000000.0,279000000.0,387000000.0,
Capital Lease Obligations,174000000.0,188000000.0,186000000.0,151000000.0,
Common Stock Equity,4770000000.0,4997000000.0,4405000000.0,4543000000.0,
Total Capitalization,9990000000.0,11561000000.0,10957000000.0,11135000000.0,
Total Equity Gross Minority Interest,4770000000.0,4991000000.0,4403000000.0,4544000000.0,
Minority Interest,0.0,-6000000.0,-2000000.0,1000000.0,
Stockholders Equity,4770000000.0,4997000000.0,4405000000.0,4543000000.0,
Gains Losses Not Affecting Retained Earnings,-940000000.0,-839000000.0,-817000000.0,-764000000.0,
Other Equity Adjustments,-940000000.0,-839000000.0,-817000000.0,-764000000.0,
Treasury Stock,7445000000.0,5597000000.0,4539000000.0,2952000000.0,
Retained Earnings,11968000000.0,10295000000.0,8668000000.0,7186000000.0,
Additional Paid In Capital,1182000000.0,1133000000.0,1088000000.0,1068000000.0,
Capital Stock,5000000.0,5000000.0,5000000.0,5000000.0,
Common Stock,5000000.0,5000000.0,5000000.0,5000000.0,
Total Liabilities Net Minority Interest,9467000000.0,9295000000.0,10522000000.0,9356000000.0,
Total Non Current Liabilities Net Minority Interest,6055000000.0,7406000000.0,7355000000.0,7559000000.0,
Other Non Current Liabilities,222000000.0,237000000.0,217000000.0,239000000.0,
Tradeand Other Payables Non Current,272000000.0,271000000.0,258000000.0,257000000.0,
Non Current Deferred Liabilities,167000000.0,146000000.0,142000000.0,320000000.0,
Non Current Deferred Taxes Liabilities,167000000.0,146000000.0,142000000.0,320000000.0,
Long Term Debt And Capital Lease Obligation,5394000000.0,6752000000.0,6738000000.0,6743000000.0,
Long Term Capital Lease Obligation,174000000.0,188000000.0,186000000.0,151000000.0,
Long Term Debt,5220000000.0,6564000000.0,6552000000.0,6592000000.0,
Current Liabilities,3412000000.0,1889000000.0,3167000000.0,1797000000.0,
Other Current Liabilities,125000000.0,102000000.0,97000000.0,67000000.0,
Current Debt And Capital Lease Obligation,1350000000.0,3000000.0,1352000000.0,,604000000.0
Current Debt,1350000000.0,3000000.0,1352000000.0,,604000000.0
Other Current Borrowings,1350000000.0,,1350000000.0,,604000000.0
Line Of Credit,0.0,3000000.0,2000000.0,0.0,
Pensionand Other Post Retirement Benefit Plans Current,441000000.0,382000000.0,300000000.0,392000000.0,
Payables And Accrued Expenses,1496000000.0,1402000000.0,1418000000.0,1338000000.0,
Current Accrued Expenses,746000000.0,683000000.0,682000000.0,710000000.0,
Payables,750000000.0,719000000.0,736000000.0,628000000.0,
Dividends Payable,224000000.0,198000000.0,174000000.0,154000000.0,
Total Tax Payable,93000000.0,110000000.0,157000000.0,38000000.0,
Income Tax Payable,93000000.0,110000000.0,157000000.0,38000000.0,
Accounts Payable,433000000.0,411000000.0,405000000.0,436000000.0,
Total Assets,14237000000.0,14286000000.0,14925000000.0,13900000000.0,
Total Non Current Assets,8251000000.0,7943000000.0,7419000000.0,6970000000.0,
Other Non Current Assets,250000000.0,206000000.0,147000000.0,111000000.0,
