,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,6351000000.0,5059000000.0,7804000000.0,8648000000.0,
Repurchase Of Capital Stock,-1295000000.0,-1227000000.0,-3795000000.0,-2299000000.0,
Repayment Of Debt,-660000000.0,-2498000000.0,-753000000.0,-48000000.0,
Issuance Of Debt,223000000.0,2000000.0,7000000.0,4000000.0,
Capital Expenditure,-2207000000.0,-2202000000.0,-1777000000.0,-1885000000.0,
Interest Paid Supplemental Data,604000000.0,662000000.0,563000000.0,544000000.0,
Income Tax Paid Supplemental Data,1723000000.0,1475000000.0,1864000000.0,1941000000.0,
End Cash Position,7616000000.0,6896000000.0,9882000000.0,9799000000.0,
Beginning Cash Position,6896000000.0,9882000000.0,9799000000.0,6838000000.0,
Effect Of Exchange Rate Changes,-96000000.0,-23000000.0,-122000000.0,-70000000.0,
Changes In Cash,816000000.0,-2963000000.0,205000000.0,3031000000.0,
Financing Cash Flow,-5404000000.0,-7091000000.0,-7636000000.0,-5494000000.0,
Cash Flow From Continuing Financing Activities,-5404000000.0,-7091000000.0,-7636000000.0,-5494000000.0,
Net Other Financing Charges,,,,,-11000000.0
Proceeds From Stock Option Exercised,264000000.0,167000000.0,167000000.0,255000000.0,
Cash Dividends Paid,-3836000000.0,-3556000000.0,-3309000000.0,-3202000000.0,
Common Stock Dividend Paid,-3836000000.0,-3556000000.0,-3309000000.0,-3202000000.0,
Net Common Stock Issuance,-1295000000.0,-1227000000.0,-3795000000.0,-2299000000.0,
Common Stock Payments,-1295000000.0,-1227000000.0,-3795000000.0,-2299000000.0,
Net Issuance Payments Of Debt,-537000000.0,-2475000000.0,-699000000.0,-248000000.0,
Net Short Term Debt Issuance,-100000000.0,21000000.0,47000000.0,-204000000.0,
Net Long Term Debt Issuance,-437000000.0,-2496000000.0,-746000000.0,-44000000.0,
Long Term Debt Payments,-660000000.0,-2498000000.0,-753000000.0,-48000000.0,
Long Term Debt Issuance,223000000.0,2000000.0,7000000.0,4000000.0,
Investing Cash Flow,-2338000000.0,-3133000000.0,-1740000000.0,-2008000000.0,
Cash Flow From Continuing Investing Activities,-2338000000.0,-3133000000.0,-1740000000.0,-2008000000.0,
Net Other Investing Changes,9000000.0,22000000.0,22000000.0,26000000.0,
Net Investment Purchase And Sale,-141000000.0,-116000000.0,-33000000.0,-96000000.0,
Sale Of Investment,28000000.0,43000000.0,152000000.0,77000000.0,
Purchase Of Investment,-169000000.0,-159000000.0,-185000000.0,-173000000.0,
Net Business Purchase And Sale,1000000.0,-837000000.0,48000000.0,-53000000.0,
Sale Of Business,1000000.0,40000000.0,48000000.0,134000000.0,
Purchase Of Business,0.0,-877000000.0,0.0,-187000000.0,
Net PPE Purchase And Sale,-2207000000.0,-2202000000.0,-1777000000.0,-1885000000.0,
Purchase Of PPE,-2207000000.0,-2202000000.0,-1777000000.0,-1885000000.0,
Operating Cash Flow,8558000000.0,7261000000.0,9581000000.0,10533000000.0,
Cash Flow From Continuing Operating Activities,8558000000.0,7261000000.0,9581000000.0,10533000000.0,
Change In Working Capital,-9217000000.0,-2475000000.0,-1519000000.0,-771000000.0,
Change In Other Working Capital,,-585000000.0,-383000000.0,-908000000.0,
Change In Payables And Accrued Expense,-7672000000.0,-1345000000.0,37000000.0,1288000000.0,
Change In Payable,-7672000000.0,-1345000000.0,37000000.0,1288000000.0,
Change In Account Payable,356000000.0,-760000000.0,420000000.0,1288000000.0,
Change In Tax Payable,-8028000000.0,-585000000.0,-383000000.0,-908000000.0,
Change In Income Tax Payable,-8028000000.0,-585000000.0,-383000000.0,-908000000.0,
Change In Prepaid Assets,-796000000.0,-542000000.0,-75000000.0,-312000000.0,
Change In Inventory,-58000000.0,-232000000.0,-1413000000.0,-456000000.0,
Change In Receivables,-691000000.0,-356000000.0,-68000000.0,-383000000.0,
Changes In Account Receivables,-691000000.0,-356000000.0,-68000000.0,-383000000.0,
Stock Based Compensation,673000000.0,644000000.0,685000000.0,640000000.0,
Depreciation Amortization Depletion,3218000000.0,3243000000.0,3267000000.0,3538000000.0,
Depreciation And Amortization,3218000000.0,3243000000.0,3267000000.0,3538000000.0,
Amortization Cash Flow,1878000000.0,1966000000.0,2013000000.0,2047000000.0,
Amortization Of Intangibles,1878000000.0,1966000000.0,2013000000.0,2047000000.0,
Depreciation,1340000000.0,1277000000.0,1254000000.0,1491000000.0,
Operating Gains Losses,482000000.0,126000000.0,215000000.0,55000000.0,
Gain Loss On Investment Securities,482000000.0,126000000.0,215000000.0,55000000.0,
Net Income From Continuing Operations,13402000000.0,5723000000.0,6933000000.0,7071000000.0,
