,2024-10-31,2023-10-31,2022-10-31,2021-10-31,2020-10-31
Free Cash Flow,3122066000.0,3556171000.0,3776094000.0,2391393000.0,
Repurchase Of Capital Stock,-615590000.0,-2963955000.0,-2577015000.0,-3105144000.0,
Repayment Of Debt,-10683891000.0,-4805588000.0,-919116000.0,-3991982000.0,
Issuance Of Debt,11272295000.0,5287124000.0,696130000.0,4339640000.0,
Capital Expenditure,-730463000.0,-1261463000.0,-699308000.0,-343676000.0,
Interest Paid Supplemental Data,268192000.0,206415000.0,172957000.0,,
Income Tax Paid Supplemental Data,414838000.0,987225000.0,821683000.0,,
End Cash Position,1991342000.0,958061000.0,1470572000.0,1977964000.0,
Beginning Cash Position,958061000.0,1470572000.0,1977964000.0,1055860000.0,
Effect Of Exchange Rate Changes,0.0,0.0,-34706000.0,3174000.0,
Changes In Cash,1033281000.0,-512511000.0,-472686000.0,918930000.0,
Financing Cash Flow,-1714390000.0,-4063760000.0,-4290720000.0,-3959664000.0,
Cash Flow From Continuing Financing Activities,-1714390000.0,-4063760000.0,-4290720000.0,-3959664000.0,
Net Other Financing Charges,-12960000.0,-20843000.0,19946000.0,-155939000.0,
Proceeds From Stock Option Exercised,121215000.0,118608000.0,33887000.0,63105000.0,
Cash Dividends Paid,-1795459000.0,-1679106000.0,-1544552000.0,-1109344000.0,
Common Stock Dividend Paid,-1795459000.0,-1679106000.0,-1544552000.0,-1109344000.0,
Net Preferred Stock Issuance,,,,-500000000.0,0.0
Preferred Stock Payments,,,,-500000000.0,0.0
Net Common Stock Issuance,-615590000.0,-2963955000.0,-2577015000.0,-3105144000.0,
Common Stock Payments,-615590000.0,-2963955000.0,-2577015000.0,-3105144000.0,
Net Issuance Payments Of Debt,588404000.0,481536000.0,-222986000.0,347658000.0,
Net Short Term Debt Issuance,514000.0,547224000.0,0.0,0.0,
Short Term Debt Payments,-10183925000.0,-4739900000.0,-400000000.0,-400000000.0,
Short Term Debt Issuance,10184439000.0,5287124000.0,400000000.0,400000000.0,
Net Long Term Debt Issuance,587890000.0,-65688000.0,-222986000.0,347658000.0,
Long Term Debt Payments,-499966000.0,-65688000.0,-519116000.0,-3591982000.0,
Long Term Debt Issuance,1087856000.0,0.0,296130000.0,3939640000.0,
Investing Cash Flow,-1104858000.0,-1266385000.0,-657368000.0,2143525000.0,
Cash Flow From Continuing Investing Activities,-1104858000.0,-1266385000.0,-657368000.0,2143525000.0,
Net Other Investing Changes,-4773000.0,-4922000.0,41940000.0,36651000.0,
Net Investment Purchase And Sale,-369622000.0,0.0,0.0,30125000.0,
Sale Of Investment,69279000.0,0.0,0.0,30125000.0,
Purchase Of Investment,-438901000.0,0.0,0.0,,
Net Business Purchase And Sale,,0.0,0.0,2450550000.0,0.0
Sale Of Business,,0.0,0.0,2450550000.0,0.0
Purchase Of Business,,,,-24950000.0,-14196000.0
Net PPE Purchase And Sale,-730463000.0,-1261463000.0,-699308000.0,-343676000.0,
Sale Of PPE,,,,35714000.0,0.0
Purchase Of PPE,-730463000.0,-1261463000.0,-699308000.0,-343676000.0,
Operating Cash Flow,3852529000.0,4817634000.0,4475402000.0,2735069000.0,
Cash Flow From Continuing Operating Activities,3852529000.0,4817634000.0,4475402000.0,2735069000.0,
Change In Working Capital,194743000.0,-645590000.0,-883665000.0,-108055000.0,
Change In Other Working Capital,,,,-1000.0,
Change In Other Current Liabilities,-194000.0,50289000.0,-84765000.0,-31638000.0,
Change In Other Current Assets,-34521000.0,-25819000.0,397000.0,-39329000.0,
Change In Payables And Accrued Expense,-42110000.0,-763032000.0,79920000.0,201647000.0,
Change In Payable,-42110000.0,-763032000.0,79920000.0,201647000.0,
Change In Account Payable,-133758000.0,-499316000.0,171772000.0,208444000.0,
Change In Tax Payable,91648000.0,-263716000.0,-91852000.0,-6797000.0,
Change In Income Tax Payable,91648000.0,-263716000.0,-91852000.0,-6797000.0,
Change In Prepaid Assets,-53004000.0,4543000.0,-64584000.0,-59117000.0,
Change In Inventory,191170000.0,-242299000.0,-470725000.0,-65114000.0,
Change In Receivables,133402000.0,330728000.0,-343908000.0,-114504000.0,
Changes In Account Receivables,133402000.0,330728000.0,-343908000.0,-114504000.0,
Other Non Cash Items,23050000.0,8665000.0,224322000.0,326229000.0,
Stock Based Compensation,262710000.0,299823000.0,323487000.0,243611000.0,
Asset Impairment Charge,0.0,0.0,91953000.0,0.0,
Deferred Tax,-367563000.0,-452946000.0,-326755000.0,-406922000.0,
Deferred Income Tax,-367563000.0,-452946000.0,-326755000.0,-406922000.0,
Depreciation Amortization Depletion,2104316000.0,2293103000.0,2297499000.0,1074634000.0,
Depreciation And Amortization,2104316000.0,2293103000.0,2297499000.0,1074634000.0,
Amortization Cash Flow,1741545000.0,1958399000.0,2014161000.0,843359000.0,
Amortization Of Intangibles,1741545000.0,1958399000.0,2014161000.0,843359000.0,
Depreciation,362771000.0,334704000.0,283338000.0,231275000.0,
Operating Gains Losses,,,,215150000.0,
Gain Loss On Sale Of PPE,,,,-13557000.0,0.0
Net Income From Continuing Operations,1635273000.0,3314579000.0,2748561000.0,1390422000.0,
