,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,3273000000.0,6243000000.0,4134000000.0,6223000000.0,
Repurchase Of Capital Stock,-7137000000.0,-2961000000.0,-5200000000.0,-2592000000.0,
Repayment Of Debt,-2048000000.0,-2349000000.0,-9760000000.0,-8641000000.0,
Issuance Of Debt,661000000.0,742000000.0,97000000.0,4445000000.0,
Issuance Of Capital Stock,,,,0.0,0.0
Interest Paid Supplemental Data,858000000.0,1059000000.0,1127000000.0,1348000000.0,
Income Tax Paid Supplemental Data,708000000.0,984000000.0,746000000.0,862000000.0,
End Cash Position,1372000000.0,1573000000.0,1571000000.0,2427000000.0,
Other Cash Adjustment Outside Changein Cash,0.0,11000000.0,-95000000.0,0.0,
Beginning Cash Position,1573000000.0,1571000000.0,1877000000.0,3230000000.0,
Effect Of Exchange Rate Changes,-83000000.0,-13000000.0,-117000000.0,-67000000.0,
Changes In Cash,-118000000.0,4000000.0,-94000000.0,-736000000.0,
Financing Cash Flow,-5063000000.0,782000000.0,-602000000.0,-3679000000.0,
Cash From Discontinued Financing Activities,3880000000.0,3530000000.0,13903000000.0,,
Cash Flow From Continuing Financing Activities,-8943000000.0,-2748000000.0,-14505000000.0,-3679000000.0,
Net Other Financing Charges,605000000.0,2846000000.0,1369000000.0,4221000000.0,
Cash Dividends Paid,-1024000000.0,-1026000000.0,-1011000000.0,-1112000000.0,
Preferred Stock Dividend Paid,-22000000.0,-29000000.0,-29000000.0,-29000000.0,
Common Stock Dividend Paid,-1002000000.0,-997000000.0,-982000000.0,-1083000000.0,
Net Preferred Stock Issuance,-485000000.0,0.0,0.0,0.0,
Preferred Stock Payments,-485000000.0,0.0,0.0,,
Preferred Stock Issuance,,,,0.0,0.0
Net Common Stock Issuance,-6652000000.0,-2961000000.0,-5200000000.0,-2592000000.0,
Common Stock Payments,-6652000000.0,-2961000000.0,-5200000000.0,-2592000000.0,
Net Issuance Payments Of Debt,-1387000000.0,-1607000000.0,-9663000000.0,-4196000000.0,
Net Long Term Debt Issuance,-1387000000.0,-1607000000.0,-9663000000.0,-4196000000.0,
Long Term Debt Payments,-2048000000.0,-2349000000.0,-9760000000.0,-8641000000.0,
Long Term Debt Issuance,661000000.0,742000000.0,97000000.0,4445000000.0,
Investing Cash Flow,1672000000.0,-7021000000.0,-3626000000.0,-3280000000.0,
Cash From Discontinued Investing Activities,-4171000000.0,-4534000000.0,-6539000000.0,,
Cash Flow From Continuing Investing Activities,5843000000.0,-2487000000.0,2913000000.0,-3280000000.0,
Net Other Investing Changes,-66000000.0,-1754000000.0,-1097000000.0,-995000000.0,
Net Investment Purchase And Sale,4785000000.0,-3545000000.0,2736000000.0,-6222000000.0,
Sale Of Investment,30137000000.0,25645000000.0,23620000000.0,73184000000.0,
Purchase Of Investment,-25352000000.0,-29190000000.0,-20884000000.0,-79406000000.0,
Net Business Purchase And Sale,587000000.0,2568000000.0,0.0,4683000000.0,
Sale Of Business,587000000.0,2568000000.0,0.0,4683000000.0,
Purchase Of Business,,,,,0.0
Operating Cash Flow,3273000000.0,6243000000.0,4134000000.0,6223000000.0,
Cash From Discontinued Operating Activities,-104000000.0,-710000000.0,-488000000.0,,
Cash Flow From Continuing Operating Activities,3377000000.0,6953000000.0,4622000000.0,6223000000.0,
Change In Working Capital,-2357000000.0,-1364000000.0,-5280000000.0,-2220000000.0,
Change In Other Working Capital,94000000.0,2174000000.0,144000000.0,-679000000.0,
Other Non Cash Items,14000000.0,-37000000.0,303000000.0,-1038000000.0,
Unrealized Gain Loss On Investment Securities,-571000000.0,1075000000.0,2123000000.0,-873000000.0,
Asset Impairment Charge,27000000.0,21000000.0,2000000.0,46000000.0,
Depreciation And Amortization,3597000000.0,3841000000.0,3861000000.0,4542000000.0,
Operating Gains Losses,-33000000.0,676000000.0,723000000.0,-5140000000.0,
Earnings Losses From Equity Investments,-54000000.0,-15000000.0,-67000000.0,3000000.0,
Gain Loss On Investment Securities,637000000.0,662000000.0,637000000.0,-2099000000.0,
Gain Loss On Sale Of Business,-616000000.0,29000000.0,153000000.0,-3044000000.0,
Net Income From Continuing Operations,2700000000.0,2741000000.0,2890000000.0,10906000000.0,
