,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,12139000000.0,16996000000.0,19224000000.0,13095000000.0,
Repurchase Of Capital Stock,-6020000000.0,-3650000000.0,-3502000000.0,-9252000000.0,
Repayment Of Debt,-10759000000.0,-10703000000.0,-18906000000.0,-11662000000.0,
Issuance Of Debt,12602000000.0,15674000000.0,23230000000.0,7788000000.0,
Issuance Of Capital Stock,100000000.0,28000000.0,56000000.0,1648000000.0,
Capital Expenditure,-1911000000.0,-1563000000.0,-1855000000.0,-1550000000.0,
End Cash Position,40640000000.0,46596000000.0,33914000000.0,22028000000.0,
Beginning Cash Position,46596000000.0,33914000000.0,22028000000.0,32965000000.0,
Effect Of Exchange Rate Changes,-40000000.0,177000000.0,-13000000.0,-120000000.0,
Changes In Cash,-5916000000.0,12505000000.0,11899000000.0,-10817000000.0,
Financing Cash Flow,4436000000.0,18379000000.0,24509000000.0,-14933000000.0,
Cash Flow From Continuing Financing Activities,4436000000.0,18379000000.0,24509000000.0,-14933000000.0,
Cash Dividends Paid,-1999000000.0,-1780000000.0,-1565000000.0,-1448000000.0,
Common Stock Dividend Paid,-1999000000.0,-1780000000.0,-1565000000.0,-1448000000.0,
Net Preferred Stock Issuance,,0.0,0.0,-16000000.0,0.0
Preferred Stock Payments,,0.0,0.0,-1600000000.0,0.0
Preferred Stock Issuance,,0.0,0.0,1584000000.0,0.0
Net Common Stock Issuance,-5920000000.0,-3622000000.0,-3446000000.0,-7588000000.0,
Common Stock Payments,-6020000000.0,-3650000000.0,-3502000000.0,-7652000000.0,
Common Stock Issuance,100000000.0,28000000.0,56000000.0,64000000.0,
Net Issuance Payments Of Debt,2050000000.0,4866000000.0,3618000000.0,-3413000000.0,
Net Short Term Debt Issuance,207000000.0,-105000000.0,-706000000.0,461000000.0,
Net Long Term Debt Issuance,1843000000.0,4971000000.0,4324000000.0,-3874000000.0,
Long Term Debt Payments,-10759000000.0,-10703000000.0,-18906000000.0,-11662000000.0,
Long Term Debt Issuance,12602000000.0,15674000000.0,23230000000.0,7788000000.0,
Investing Cash Flow,-24402000000.0,-24433000000.0,-33689000000.0,-10529000000.0,
Cash Flow From Continuing Investing Activities,-24402000000.0,-24433000000.0,-33689000000.0,-10529000000.0,
Net Other Investing Changes,,,,,135000000.0
Net Investment Purchase And Sale,628000000.0,2318000000.0,-2257000000.0,18577000000.0,
Sale Of Investment,2221000000.0,3890000000.0,1918000000.0,20094000000.0,
Purchase Of Investment,-1593000000.0,-1572000000.0,-4175000000.0,-1517000000.0,
Net Business Purchase And Sale,140000000.0,-64000000.0,-15000000.0,1000000.0,
Sale Of Business,594000000.0,0.0,0.0,,
Purchase Of Business,-454000000.0,-64000000.0,-15000000.0,,
Net PPE Purchase And Sale,-1911000000.0,-1563000000.0,-1855000000.0,-1550000000.0,
Purchase Of PPE,-1911000000.0,-1563000000.0,-1855000000.0,-1550000000.0,
Operating Cash Flow,14050000000.0,18559000000.0,21079000000.0,14645000000.0,
Cash Flow From Continuing Operating Activities,14050000000.0,18559000000.0,21079000000.0,14645000000.0,
Change In Working Capital,-1890000000.0,3821000000.0,10206000000.0,6457000000.0,
Change In Other Current Assets,1007000000.0,-1244000000.0,1391000000.0,1068000000.0,
Change In Payables And Accrued Expense,-2897000000.0,5065000000.0,8815000000.0,5389000000.0,
Change In Payable,-2897000000.0,5065000000.0,8815000000.0,5389000000.0,
Change In Account Payable,-2897000000.0,5065000000.0,8815000000.0,5389000000.0,
Other Non Cash Items,-564000000.0,669000000.0,365000000.0,-772000000.0,
Stock Based Compensation,504000000.0,450000000.0,375000000.0,330000000.0,
Deferred Tax,-990000000.0,-1329000000.0,-1189000000.0,294000000.0,
Deferred Income Tax,-990000000.0,-1329000000.0,-1189000000.0,294000000.0,
Depreciation Amortization Depletion,1676000000.0,1651000000.0,1626000000.0,1695000000.0,
Depreciation And Amortization,1676000000.0,1651000000.0,1626000000.0,1695000000.0,
Net Income From Continuing Operations,10129000000.0,8374000000.0,7514000000.0,8060000000.0,
