,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,1765389000.0,1947310000.0,603369000.0,1085533000.0,
Repurchase Of Capital Stock,-1287998000.0,-686859000.0,-1405200000.0,-1355722000.0,
Repayment Of Debt,-9418050000.0,-9212960000.0,-9350000000.0,-2486351000.0,
Issuance Of Debt,10830000000.0,8754960000.0,10405000000.0,3810000000.0,
Issuance Of Capital Stock,428224000.0,113742000.0,49404000.0,48781000.0,
Capital Expenditure,-175176000.0,-153822000.0,-151428000.0,-111530000.0,
Interest Paid Supplemental Data,496098000.0,448384000.0,229641000.0,132504000.0,
Income Tax Paid Supplemental Data,374039000.0,408340000.0,358231000.0,229721000.0,
End Cash Position,4456345000.0,3141535000.0,2289180000.0,2250695000.0,
Beginning Cash Position,3141535000.0,2289180000.0,2250695000.0,1476619000.0,
Effect Of Exchange Rate Changes,-223267000.0,30157000.0,-36739000.0,-50984000.0,
Changes In Cash,1538077000.0,822198000.0,75224000.0,825060000.0,
Financing Cash Flow,404989000.0,-898211000.0,-311228000.0,343928000.0,
Cash Flow From Continuing Financing Activities,404989000.0,-898211000.0,-311228000.0,343928000.0,
Net Other Financing Charges,-6474000.0,-2662000.0,-10626000.0,-39731000.0,
Interest Paid Cff,,,,,-2637000.0
Cash Dividends Paid,,,,,0.0
Net Common Stock Issuance,-859774000.0,-573117000.0,-1355796000.0,-1306941000.0,
Common Stock Payments,-1287998000.0,-686859000.0,-1405200000.0,-1355722000.0,
Common Stock Issuance,428224000.0,113742000.0,49404000.0,48781000.0,
Net Issuance Payments Of Debt,1271237000.0,-322432000.0,1055194000.0,1690600000.0,
Net Short Term Debt Issuance,-140713000.0,135568000.0,194000.0,366951000.0,
Short Term Debt Payments,,,,-51049000.0,-1768922000.0
Short Term Debt Issuance,,,,418000000.0,1243500000.0
Net Long Term Debt Issuance,1411950000.0,-458000000.0,1055000000.0,1323649000.0,
Long Term Debt Payments,-9418050000.0,-9212960000.0,-9350000000.0,-2486351000.0,
Long Term Debt Issuance,10830000000.0,8754960000.0,10405000000.0,3810000000.0,
Investing Cash Flow,-807477000.0,-380723000.0,-368345000.0,-715931000.0,
Cash Flow From Continuing Investing Activities,-807477000.0,-380723000.0,-368345000.0,-715931000.0,
Net Other Investing Changes,4117000.0,4401000.0,,-2281000.0,
Net Investment Purchase And Sale,,,0.0,0.0,52963000.0
Sale Of Investment,,,0.0,0.0,52963000.0
Net Business Purchase And Sale,-636418000.0,-231302000.0,-216917000.0,-602120000.0,
Sale Of Business,185506000.0,197025000.0,0.0,0.0,
Purchase Of Business,-821924000.0,-428327000.0,-216917000.0,-602120000.0,
Net PPE Purchase And Sale,-175176000.0,-153822000.0,-151428000.0,-111530000.0,
Purchase Of PPE,-175176000.0,-153822000.0,-151428000.0,-111530000.0,
Operating Cash Flow,1940565000.0,2101132000.0,754797000.0,1197063000.0,
Cash Flow From Continuing Operating Activities,1940565000.0,2101132000.0,754797000.0,1197063000.0,
Change In Working Capital,447854000.0,593904000.0,-752496000.0,-77878000.0,
Change In Other Working Capital,-15414000.0,-33278000.0,-11260000.0,-15360000.0,
Change In Other Current Assets,-32189000.0,54180000.0,-41068000.0,47055000.0,
Change In Payables And Accrued Expense,663222000.0,713976000.0,-83951000.0,480506000.0,
Change In Payable,663222000.0,713976000.0,-83951000.0,480506000.0,
Change In Account Payable,663222000.0,713976000.0,-83951000.0,480506000.0,
Change In Prepaid Assets,9166000.0,69287000.0,-17543000.0,141058000.0,
Change In Receivables,-176931000.0,-210261000.0,-598674000.0,-731137000.0,
Other Non Cash Items,9022000.0,7886000.0,9412000.0,6038000.0,
Stock Based Compensation,116724000.0,116086000.0,121416000.0,80071000.0,
Provisionand Write Offof Assets,103133000.0,125152000.0,131096000.0,37919000.0,
Asset Impairment Charge,90000000.0,0.0,0.0,,-30008000.0
Deferred Tax,-64718000.0,-46678000.0,-33174000.0,11026000.0,
Deferred Income Tax,-64718000.0,-46678000.0,-33174000.0,11026000.0,
Depreciation Amortization Depletion,351088000.0,336604000.0,322282000.0,284196000.0,
Depreciation And Amortization,351088000.0,336604000.0,322282000.0,284196000.0,
Amortization Cash Flow,230982000.0,226621000.0,230272000.0,208625000.0,
Amortization Of Intangibles,230982000.0,226621000.0,230272000.0,208625000.0,
Depreciation,120106000.0,109983000.0,92010000.0,75571000.0,
Operating Gains Losses,-116270000.0,-13712000.0,1934000.0,16194000.0,
Gain Loss On Investment Securities,,,1382000.0,-9000.0,-30008000.0
Gain Loss On Sale Of Business,-121310000.0,-13712000.0,0.0,0.0,
Net Income From Continuing Operations,1003732000.0,981890000.0,954327000.0,839497000.0,
