,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,1827000000.0,2013000000.0,2236000000.0,2216000000.0,
Repurchase Of Capital Stock,-605000000.0,-1064000000.0,-1422000000.0,-771000000.0,
Repayment Of Debt,-373000000.0,-25000000.0,-686000000.0,-53000000.0,
Issuance Of Debt,600000000.0,0.0,650000000.0,0.0,
Capital Expenditure,-297000000.0,-317000000.0,-332000000.0,-279000000.0,
Interest Paid Supplemental Data,53000000.0,40000000.0,15000000.0,7000000.0,
Income Tax Paid Supplemental Data,1120000000.0,1245000000.0,813000000.0,625000000.0,
End Cash Position,2231000000.0,2717000000.0,2294000000.0,1792000000.0,
Beginning Cash Position,2717000000.0,2294000000.0,1792000000.0,2680000000.0,
Effect Of Exchange Rate Changes,-49000000.0,33000000.0,-21000000.0,-16000000.0,
Changes In Cash,-437000000.0,390000000.0,523000000.0,-872000000.0,
Financing Cash Flow,-915000000.0,-1609000000.0,-1939000000.0,-1203000000.0,
Cash Flow From Continuing Financing Activities,-915000000.0,-1609000000.0,-1939000000.0,-1203000000.0,
Net Other Financing Charges,,,-3000000.0,,
Proceeds From Stock Option Exercised,63000000.0,71000000.0,86000000.0,130000000.0,
Cash Dividends Paid,-600000000.0,-591000000.0,-564000000.0,-509000000.0,
Common Stock Dividend Paid,-600000000.0,-591000000.0,-564000000.0,-509000000.0,
Net Common Stock Issuance,-605000000.0,-1064000000.0,-1422000000.0,-771000000.0,
Common Stock Payments,-605000000.0,-1064000000.0,-1422000000.0,-771000000.0,
Net Issuance Payments Of Debt,227000000.0,-25000000.0,-36000000.0,-53000000.0,
Net Short Term Debt Issuance,,,0.0,0.0,0.0
Short Term Debt Payments,,,0.0,0.0,-1740000000.0
Short Term Debt Issuance,,,0.0,0.0,1740000000.0
Net Long Term Debt Issuance,227000000.0,-25000000.0,-36000000.0,-53000000.0,
Long Term Debt Payments,-373000000.0,-25000000.0,-686000000.0,-53000000.0,
Long Term Debt Issuance,600000000.0,0.0,650000000.0,0.0,
Investing Cash Flow,-1646000000.0,-331000000.0,-106000000.0,-2164000000.0,
Cash Flow From Continuing Investing Activities,-1646000000.0,-331000000.0,-106000000.0,-2164000000.0,
Net Investment Purchase And Sale,266000000.0,395000000.0,565000000.0,-915000000.0,
Sale Of Investment,268000000.0,836000000.0,2382000000.0,1378000000.0,
Purchase Of Investment,-2000000.0,-441000000.0,-1817000000.0,-2293000000.0,
Net Business Purchase And Sale,-1615000000.0,-409000000.0,-339000000.0,-970000000.0,
Sale Of Business,0.0,0.0,28000000.0,0.0,
Purchase Of Business,-1615000000.0,-409000000.0,-367000000.0,-970000000.0,
Net PPE Purchase And Sale,-297000000.0,-317000000.0,-332000000.0,-279000000.0,
Purchase Of PPE,-297000000.0,-317000000.0,-332000000.0,-279000000.0,
Operating Cash Flow,2124000000.0,2330000000.0,2568000000.0,2495000000.0,
Cash Flow From Continuing Operating Activities,2124000000.0,2330000000.0,2568000000.0,2495000000.0,
Change In Working Capital,-510000000.0,-189000000.0,-324000000.0,-488000000.0,
Change In Other Working Capital,44000000.0,-4000000.0,-26000000.0,19000000.0,
Change In Other Current Liabilities,-96000000.0,-242000000.0,-392000000.0,-413000000.0,
Change In Other Current Assets,-386000000.0,123000000.0,343000000.0,348000000.0,
Change In Payables And Accrued Expense,-23000000.0,-23000000.0,-11000000.0,-35000000.0,
Change In Payable,-23000000.0,-23000000.0,-11000000.0,-35000000.0,
Change In Account Payable,-23000000.0,-23000000.0,-11000000.0,-35000000.0,
Change In Receivables,-49000000.0,-43000000.0,-238000000.0,-407000000.0,
Changes In Account Receivables,-49000000.0,-43000000.0,-238000000.0,-407000000.0,
Other Non Cash Items,32000000.0,1000000.0,45000000.0,-1000000.0,
Stock Based Compensation,175000000.0,176000000.0,261000000.0,246000000.0,
Deferred Tax,-355000000.0,-339000000.0,-273000000.0,27000000.0,
Deferred Income Tax,-355000000.0,-339000000.0,-273000000.0,27000000.0,
Depreciation Amortization Depletion,542000000.0,555000000.0,569000000.0,574000000.0,
Depreciation And Amortization,542000000.0,555000000.0,569000000.0,574000000.0,
Net Income From Continuing Operations,2240000000.0,2126000000.0,2290000000.0,2137000000.0,
