,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,580846000.0,1152939000.0,594643000.0,944400000.0,
Repurchase Of Capital Stock,-500000000.0,0.0,-585000000.0,-21637000.0,
Repayment Of Debt,,,,0.0,0.0
Issuance Of Debt,,,,0.0,0.0
Capital Expenditure,-167533000.0,-183406000.0,-211082000.0,-171465000.0,
Interest Paid Supplemental Data,126434000.0,126704000.0,112469000.0,102139000.0,
Income Tax Paid Supplemental Data,907791000.0,332192000.0,354468000.0,233631000.0,
End Cash Position,1844877000.0,415861000.0,380868000.0,385504000.0,
Beginning Cash Position,415861000.0,380868000.0,385504000.0,513075000.0,
Effect Of Exchange Rate Changes,-6348000.0,-6666000.0,-9173000.0,-803000.0,
Changes In Cash,1435364000.0,41659000.0,4537000.0,-126768000.0,
Financing Cash Flow,-1271673000.0,-568056000.0,-260265000.0,-249880000.0,
Cash From Discontinued Financing Activities,,,,,0.0
Cash Flow From Continuing Financing Activities,-1271673000.0,-568056000.0,-260265000.0,-249880000.0,
Net Other Financing Charges,-20919000.0,-16269000.0,-17605000.0,-46347000.0,
Cash Dividends Paid,-283117000.0,-284297000.0,-287551000.0,-286896000.0,
Common Stock Dividend Paid,-283117000.0,-284297000.0,-287551000.0,-286896000.0,
Net Common Stock Issuance,-500000000.0,0.0,-585000000.0,-21637000.0,
Common Stock Payments,-500000000.0,0.0,-585000000.0,-21637000.0,
Net Issuance Payments Of Debt,-467637000.0,-267490000.0,629891000.0,105000000.0,
Net Short Term Debt Issuance,-467637000.0,-267490000.0,629891000.0,105000000.0,
Net Long Term Debt Issuance,,,,0.0,0.0
Long Term Debt Payments,,,,0.0,0.0
Long Term Debt Issuance,,,,0.0,0.0
Investing Cash Flow,1958658000.0,-726630000.0,-540923000.0,-992753000.0,
Cash From Discontinued Investing Activities,1985641000.0,-8915000.0,-20079000.0,,0.0
Cash Flow From Continuing Investing Activities,-26983000.0,-717715000.0,-520844000.0,-992753000.0,
Net Other Investing Changes,6972000.0,-686000.0,3093000.0,8735000.0,
Net Business Purchase And Sale,133578000.0,-533623000.0,-312855000.0,-837093000.0,
Sale Of Business,768847000.0,0.0,0.0,274982000.0,
Purchase Of Business,-635269000.0,-533623000.0,-312855000.0,-1112075000.0,
Net PPE Purchase And Sale,-167533000.0,-183406000.0,-211082000.0,-164395000.0,
Sale Of PPE,,4234000.0,6061000.0,7070000.0,7207000.0
Purchase Of PPE,-167533000.0,-183406000.0,-211082000.0,-171465000.0,
Operating Cash Flow,748379000.0,1336345000.0,805725000.0,1115865000.0,
Cash From Discontinued Operating Activities,-339454000.0,116799000.0,58971000.0,,0.0
Cash Flow From Continuing Operating Activities,1087833000.0,1219546000.0,746754000.0,1115865000.0,
Change In Working Capital,-12737000.0,45129000.0,-518252000.0,-69726000.0,
Change In Other Working Capital,,4222000.0,-34803000.0,65482000.0,12277000.0
Change In Payables And Accrued Expense,53677000.0,-207749000.0,-137611000.0,443740000.0,
Change In Accrued Expense,67846000.0,-76730000.0,-92446000.0,126216000.0,
Change In Payable,-14169000.0,-131019000.0,-45165000.0,317524000.0,
Change In Account Payable,9076000.0,-114198000.0,17268000.0,229334000.0,
Change In Tax Payable,-23245000.0,-16821000.0,-62433000.0,88190000.0,
Change In Income Tax Payable,-23245000.0,-16821000.0,-62433000.0,88190000.0,
Change In Prepaid Assets,-26938000.0,10738000.0,-5348000.0,-14303000.0,
Change In Inventory,4418000.0,141747000.0,-190731000.0,-297623000.0,
Change In Receivables,-43894000.0,100393000.0,-184562000.0,-201540000.0,
Changes In Account Receivables,-43894000.0,100393000.0,-184562000.0,-201540000.0,
Other Non Cash Items,-1282685000.0,-127260000.0,-106562000.0,-21751000.0,
Stock Based Compensation,40359000.0,30766000.0,30075000.0,31111000.0,
Provisionand Write Offof Assets,5329000.0,2644000.0,5499000.0,5053000.0,
Deferred Tax,-89657000.0,-99286000.0,-28138000.0,-48322000.0,
Deferred Income Tax,-89657000.0,-99286000.0,-28138000.0,-48322000.0,
Depreciation Amortization Depletion,337842000.0,305046000.0,295660000.0,290123000.0,
Depreciation And Amortization,337842000.0,305046000.0,295660000.0,290123000.0,
Amortization Cash Flow,183393000.0,153775000.0,151938000.0,142814000.0,
Amortization Of Intangibles,183393000.0,153775000.0,151938000.0,142814000.0,
Depreciation,154449000.0,151271000.0,143722000.0,147309000.0,
Operating Gains Losses,-607744000.0,5679000.0,3096000.0,-194441000.0,
Pension And Employee Benefit Expense,-9946000.0,5679000.0,3096000.0,11897000.0,
Gain Loss On Sale Of PPE,,,,0.0,0.0
Gain Loss On Sale Of Business,-597798000.0,0.0,0.0,-206338000.0,
Net Income From Continuing Operations,2697126000.0,1056828000.0,1065376000.0,1123818000.0,
