,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,630700000.0,511900000.0,304700000.0,53300000.0,
Repurchase Of Capital Stock,-750000000.0,-688700000.0,-557700000.0,0.0,
Repayment Of Debt,0.0,-787300000.0,0.0,0.0,
Issuance Of Debt,0.0,1230600000.0,0.0,0.0,
Issuance Of Capital Stock,28200000.0,26600000.0,22500000.0,20300000.0,
Capital Expenditure,-358800000.0,-236600000.0,-364800000.0,-389200000.0,
Interest Paid Supplemental Data,11400000.0,12400000.0,12200000.0,11600000.0,
Income Tax Paid Supplemental Data,198000000.0,212300000.0,114200000.0,16800000.0,
End Cash Position,607300000.0,567500000.0,643300000.0,1053600000.0,
Beginning Cash Position,567500000.0,643300000.0,1053600000.0,818200000.0,
Effect Of Exchange Rate Changes,-7400000.0,1500000.0,-5800000.0,-1400000.0,
Changes In Cash,47200000.0,-77300000.0,-404500000.0,236800000.0,
Financing Cash Flow,-734800000.0,-318600000.0,-552500000.0,10400000.0,
Cash Flow From Continuing Financing Activities,-734800000.0,-318600000.0,-552500000.0,10400000.0,
Net Other Financing Charges,-13000000.0,-99800000.0,-17300000.0,-9900000.0,
Proceeds From Stock Option Exercised,,,,,0.0
Net Common Stock Issuance,-721800000.0,-662100000.0,-535200000.0,20300000.0,
Common Stock Payments,-750000000.0,-688700000.0,-557700000.0,0.0,
Common Stock Issuance,28200000.0,26600000.0,22500000.0,20300000.0,
Net Issuance Payments Of Debt,0.0,443300000.0,0.0,0.0,
Net Long Term Debt Issuance,0.0,443300000.0,0.0,0.0,
Long Term Debt Payments,0.0,-787300000.0,0.0,0.0,
Long Term Debt Issuance,0.0,1230600000.0,0.0,0.0,
Investing Cash Flow,-207500000.0,-507200000.0,-521500000.0,-216100000.0,
Cash Flow From Continuing Investing Activities,-207500000.0,-507200000.0,-521500000.0,-216100000.0,
Net Other Investing Changes,-15500000.0,1900000.0,200000.0,10100000.0,
Net Investment Purchase And Sale,166800000.0,-272500000.0,-153000000.0,193200000.0,
Sale Of Investment,2824400000.0,2947400000.0,2127800000.0,2666300000.0,
Purchase Of Investment,-2657600000.0,-3219900000.0,-2280800000.0,-2473100000.0,
Net Business Purchase And Sale,0.0,0.0,-3900000.0,-30200000.0,
Purchase Of Business,0.0,0.0,-3900000.0,-30200000.0,
Net PPE Purchase And Sale,-358800000.0,-236600000.0,-364800000.0,-389200000.0,
Purchase Of PPE,-358800000.0,-236600000.0,-364800000.0,-389200000.0,
Operating Cash Flow,989500000.0,748500000.0,669500000.0,442500000.0,
Cash Flow From Continuing Operating Activities,989500000.0,748500000.0,669500000.0,442500000.0,
Change In Working Capital,108800000.0,3200000.0,26700000.0,-132000000.0,
Change In Other Working Capital,-14500000.0,-7100000.0,5300000.0,8600000.0,
Change In Payables And Accrued Expense,151700000.0,503700000.0,303600000.0,68400000.0,
Change In Accrued Expense,-60000000.0,37200000.0,8500000.0,10400000.0,
Change In Payable,211700000.0,466500000.0,295100000.0,58000000.0,
Change In Account Payable,211700000.0,466500000.0,295100000.0,58000000.0,
Change In Prepaid Assets,-5800000.0,19300000.0,-131600000.0,-21300000.0,
Change In Inventory,12400000.0,-252600000.0,49300000.0,-112200000.0,
Change In Receivables,-35000000.0,-260100000.0,-199900000.0,-75500000.0,
Changes In Account Receivables,-35000000.0,-260100000.0,-199900000.0,-75500000.0,
Other Non Cash Items,-39800000.0,-78000000.0,40800000.0,137900000.0,
Stock Based Compensation,170400000.0,150800000.0,126500000.0,113400000.0,
Unrealized Gain Loss On Investment Securities,,,,-11600000.0,0.0
Deferred Tax,-43800000.0,-55000000.0,-21600000.0,15800000.0,
Deferred Income Tax,-43800000.0,-55000000.0,-21600000.0,15800000.0,
Depreciation Amortization Depletion,217700000.0,186000000.0,155900000.0,102000000.0,
Depreciation And Amortization,217700000.0,186000000.0,155900000.0,102000000.0,
Amortization Cash Flow,36500000.0,38600000.0,11800000.0,,
Amortization Of Intangibles,36500000.0,38600000.0,11800000.0,,
Depreciation,181200000.0,147400000.0,144100000.0,,
Operating Gains Losses,,-1900000.0,-200000.0,-11500000.0,5900000.0
Gain Loss On Investment Securities,,-1900000.0,-200000.0,-11600000.0,
Net Income From Continuing Operations,576200000.0,541500000.0,341200000.0,216900000.0,
