,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-1157000000.0,-2338000000.0,-233000000.0,-1220000000.0,
Repurchase Of Capital Stock,0.0,-1000000000.0,0.0,0.0,
Repayment Of Debt,-477000000.0,-1460000000.0,-406000000.0,-1960000000.0,
Issuance Of Debt,3475000000.0,2250000000.0,1350000000.0,2804000000.0,
Issuance Of Capital Stock,,0.0,0.0,775000000.0,640000000.0
Capital Expenditure,-4771000000.0,-4494000000.0,-4168000000.0,-3953000000.0,
Interest Paid Supplemental Data,1072000000.0,987000000.0,900000000.0,924000000.0,
Income Tax Paid Supplemental Data,7000000.0,397000000.0,47000000.0,9000000.0,
End Cash Position,1333000000.0,1195000000.0,1530000000.0,1146000000.0,
Beginning Cash Position,1195000000.0,1530000000.0,1146000000.0,1436000000.0,
Changes In Cash,138000000.0,-335000000.0,384000000.0,-290000000.0,
Financing Cash Flow,1797000000.0,-1488000000.0,1014000000.0,461000000.0,
Cash Flow From Continuing Financing Activities,1797000000.0,-1488000000.0,1014000000.0,461000000.0,
Net Other Financing Charges,-43000000.0,-36000000.0,-50000000.0,194000000.0,
Proceeds From Stock Option Exercised,60000000.0,56000000.0,57000000.0,60000000.0,
Cash Dividends Paid,-1100000000.0,-1096000000.0,-1089000000.0,-1030000000.0,
Common Stock Dividend Paid,-1100000000.0,-1096000000.0,-1089000000.0,-1030000000.0,
Net Common Stock Issuance,0.0,-1000000000.0,0.0,775000000.0,
Common Stock Payments,0.0,-1000000000.0,0.0,0.0,
Common Stock Issuance,,0.0,0.0,775000000.0,640000000.0
Net Issuance Payments Of Debt,2880000000.0,588000000.0,2096000000.0,462000000.0,
Net Short Term Debt Issuance,-118000000.0,-202000000.0,1152000000.0,-382000000.0,
Net Long Term Debt Issuance,2998000000.0,790000000.0,944000000.0,844000000.0,
Long Term Debt Payments,-477000000.0,-1460000000.0,-406000000.0,-1960000000.0,
Long Term Debt Issuance,3475000000.0,2250000000.0,1350000000.0,2804000000.0,
Investing Cash Flow,-5273000000.0,-1003000000.0,-4565000000.0,-3484000000.0,
Cash Flow From Continuing Investing Activities,-5273000000.0,-1003000000.0,-4565000000.0,-3484000000.0,
Net Other Investing Changes,-502000000.0,-436000000.0,-397000000.0,-343000000.0,
Net Business Purchase And Sale,0.0,3927000000.0,0.0,812000000.0,
Sale Of Business,0.0,3927000000.0,0.0,812000000.0,
Purchase Of Business,,,-64000000.0,-30000000.0,-27000000.0
Net PPE Purchase And Sale,,,,,-3909000000.0
Purchase Of PPE,,,,,-3909000000.0
Capital Expenditure Reported,-4771000000.0,-4494000000.0,-4168000000.0,-3953000000.0,
Operating Cash Flow,3614000000.0,2156000000.0,3935000000.0,2733000000.0,
Cash Flow From Continuing Operating Activities,3614000000.0,2156000000.0,3935000000.0,2733000000.0,
Dividend Received Cfo,35000000.0,31000000.0,20000000.0,18000000.0,
Change In Working Capital,-921000000.0,-1655000000.0,-109000000.0,-662000000.0,
Change In Other Working Capital,-606000000.0,-1183000000.0,-233000000.0,197000000.0,
Change In Other Current Liabilities,-101000000.0,213000000.0,1000000.0,-81000000.0,
Change In Payables And Accrued Expense,22000000.0,-305000000.0,607000000.0,2000000.0,
Change In Accrued Expense,28000000.0,-7000000.0,42000000.0,4000000.0,
Change In Interest Payable,28000000.0,-7000000.0,42000000.0,4000000.0,
Change In Payable,-6000000.0,-298000000.0,565000000.0,-2000000.0,
Change In Account Payable,-1000000.0,-285000000.0,558000000.0,44000000.0,
Change In Tax Payable,-5000000.0,-13000000.0,7000000.0,-46000000.0,
Change In Income Tax Payable,-5000000.0,-13000000.0,7000000.0,-46000000.0,
Change In Prepaid Assets,25000000.0,-200000000.0,26000000.0,-24000000.0,
Change In Inventory,-16000000.0,38000000.0,-111000000.0,-82000000.0,
Change In Receivables,-245000000.0,-218000000.0,-399000000.0,-674000000.0,
Changes In Account Receivables,-263000000.0,-275000000.0,-296000000.0,-411000000.0,
Other Non Cash Items,47000000.0,-46000000.0,114000000.0,-371000000.0,
Asset Impairment Charge,,0.0,0.0,443000000.0,320000000.0
Deferred Tax,416000000.0,132000000.0,435000000.0,133000000.0,
Deferred Income Tax,416000000.0,132000000.0,435000000.0,133000000.0,
Depreciation Amortization Depletion,2155000000.0,2031000000.0,2056000000.0,2032000000.0,
Depreciation And Amortization,2155000000.0,2031000000.0,2056000000.0,2032000000.0,
Operating Gains Losses,62000000.0,-853000000.0,-181000000.0,-53000000.0,
Gain Loss On Investment Securities,,12000000.0,-181000000.0,-53000000.0,57000000.0
Gain Loss On Sale Of Business,62000000.0,-865000000.0,0.0,0.0,
Net Income From Continuing Operations,1820000000.0,2516000000.0,1600000000.0,1193000000.0,
