,2024-09-30,2023-09-30,2022-09-30,2021-09-30,2020-09-30
Free Cash Flow,2913000000.0,274000000.0,2623000000.0,3171000000.0,
Repurchase Of Capital Stock,-643000000.0,-2214000000.0,-500000000.0,-500000000.0,
Repayment Of Debt,-889000000.0,-3637000000.0,-1687000000.0,-883000000.0,
Issuance Of Debt,322000000.0,395000000.0,5378000000.0,71000000.0,
Capital Expenditure,-419000000.0,-363000000.0,-299000000.0,-404000000.0,
End Cash Position,3588000000.0,8051000000.0,1804000000.0,2354000000.0,
Beginning Cash Position,8051000000.0,1804000000.0,2354000000.0,3315000000.0,
Effect Of Exchange Rate Changes,20000000.0,18000000.0,-186000000.0,6000000.0,
Changes In Cash,-4483000000.0,6229000000.0,-364000000.0,-967000000.0,
Financing Cash Flow,-2455000000.0,-6823000000.0,2048000000.0,-2422000000.0,
Cash Flow From Continuing Financing Activities,-2455000000.0,-6823000000.0,2048000000.0,-2422000000.0,
Net Other Financing Charges,-44000000.0,-169000000.0,80000000.0,100000000.0,
Cash Dividends Paid,-1201000000.0,-1198000000.0,-1223000000.0,-1210000000.0,
Common Stock Dividend Paid,-1201000000.0,-1198000000.0,-1223000000.0,-1210000000.0,
Net Common Stock Issuance,-643000000.0,-2214000000.0,-500000000.0,-500000000.0,
Common Stock Payments,-643000000.0,-2214000000.0,-500000000.0,-500000000.0,
Net Issuance Payments Of Debt,-567000000.0,-3242000000.0,3691000000.0,-812000000.0,
Net Short Term Debt Issuance,-20000000.0,-1583000000.0,1238000000.0,-504000000.0,
Short Term Debt Payments,-342000000.0,-1978000000.0,-1165000000.0,-575000000.0,
Short Term Debt Issuance,322000000.0,395000000.0,2403000000.0,71000000.0,
Net Long Term Debt Issuance,-547000000.0,-1659000000.0,2453000000.0,-308000000.0,
Long Term Debt Payments,-547000000.0,-1659000000.0,-522000000.0,-308000000.0,
Long Term Debt Issuance,0.0,0.0,2975000000.0,0.0,
Investing Cash Flow,-5360000000.0,12415000000.0,-5334000000.0,-2120000000.0,
Cash From Discontinued Investing Activities,3436000000.0,12530000000.0,350000000.0,-129000000.0,
Cash Flow From Continuing Investing Activities,-8796000000.0,-115000000.0,-5684000000.0,-1991000000.0,
Net Other Investing Changes,-114000000.0,777000000.0,-138000000.0,-25000000.0,
Net Investment Purchase And Sale,79000000.0,176000000.0,438000000.0,0.0,
Sale Of Investment,79000000.0,176000000.0,438000000.0,0.0,
Net Business Purchase And Sale,-8342000000.0,-705000000.0,-5685000000.0,-1562000000.0,
Sale Of Business,0.0,0.0,17000000.0,30000000.0,
Purchase Of Business,-8342000000.0,-705000000.0,-5702000000.0,-1592000000.0,
Capital Expenditure Reported,-419000000.0,-363000000.0,-299000000.0,-404000000.0,
Operating Cash Flow,3332000000.0,637000000.0,2922000000.0,3575000000.0,
Cash From Discontinued Operating Activities,15000000.0,-2073000000.0,874000000.0,1117000000.0,
Cash Flow From Continuing Operating Activities,3317000000.0,2710000000.0,2048000000.0,2458000000.0,
Change In Working Capital,-151000000.0,-148000000.0,-312000000.0,167000000.0,
Change In Other Current Assets,-149000000.0,-1000000.0,-56000000.0,-91000000.0,
Change In Payables And Accrued Expense,-25000000.0,204000000.0,221000000.0,287000000.0,
Change In Accrued Expense,-9000000.0,221000000.0,74000000.0,180000000.0,
Change In Payable,-16000000.0,-17000000.0,147000000.0,107000000.0,
Change In Account Payable,-16000000.0,-17000000.0,147000000.0,107000000.0,
Change In Inventory,122000000.0,-160000000.0,-334000000.0,-11000000.0,
Change In Receivables,-99000000.0,-191000000.0,-143000000.0,-18000000.0,
Other Non Cash Items,-169000000.0,-429000000.0,4000000.0,-71000000.0,
Stock Based Compensation,260000000.0,250000000.0,125000000.0,197000000.0,
Asset Impairment Charge,231000000.0,0.0,0.0,,
Depreciation Amortization Depletion,1689000000.0,1051000000.0,842000000.0,762000000.0,
Depreciation And Amortization,1689000000.0,1051000000.0,842000000.0,762000000.0,
Amortization Cash Flow,1366000000.0,764000000.0,530000000.0,470000000.0,
Amortization Of Intangibles,1366000000.0,764000000.0,530000000.0,470000000.0,
Depreciation,323000000.0,287000000.0,312000000.0,499000000.0,
Operating Gains Losses,83000000.0,-275000000.0,-494000000.0,-13000000.0,
Pension And Employee Benefit Expense,-117000000.0,-114000000.0,-41000000.0,-13000000.0,
Gain Loss On Investment Securities,200000000.0,-161000000.0,-453000000.0,,
Gain Loss On Sale Of Business,,,-939000000.0,0.0,0.0
Net Income From Continuing Operations,1605000000.0,2261000000.0,1883000000.0,1416000000.0,
