,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,1866916000.0,1386480000.0,1215307000.0,948777000.0,
Repurchase Of Capital Stock,0.0,-5377000.0,-67508000.0,0.0,
Repayment Of Debt,-8724444000.0,-7088984000.0,-4207700000.0,-5500290000.0,
Issuance Of Debt,9985933000.0,8663003000.0,5584111000.0,5706981000.0,
Issuance Of Capital Stock,365000.0,0.0,0.0,273189000.0,
Capital Expenditure,-20514000.0,-15994000.0,-22832000.0,-3659000.0,
Interest Paid Supplemental Data,499417000.0,338552000.0,197069000.0,152170000.0,
Income Tax Paid Supplemental Data,33772000.0,22753000.0,18957000.0,26252000.0,
End Cash Position,143303000.0,105083000.0,97735000.0,76194000.0,
Beginning Cash Position,105083000.0,97735000.0,76194000.0,128009000.0,
Changes In Cash,38220000.0,7348000.0,21541000.0,-51815000.0,
Financing Cash Flow,-202290000.0,423130000.0,431861000.0,-166711000.0,
Cash Flow From Continuing Financing Activities,-202290000.0,423130000.0,431861000.0,-166711000.0,
Net Other Financing Charges,-89141000.0,-99171000.0,-71731000.0,-50169000.0,
Proceeds From Stock Option Exercised,,0.0,0.0,4572000.0,4759000.0
Cash Dividends Paid,-1375003000.0,-1046341000.0,-805311000.0,-600994000.0,
Common Stock Dividend Paid,-1375003000.0,-1046341000.0,-805311000.0,-600994000.0,
Net Preferred Stock Issuance,0.0,-5377000.0,-4500000.0,0.0,
Preferred Stock Payments,0.0,-5377000.0,-4500000.0,0.0,
Net Common Stock Issuance,365000.0,0.0,-63008000.0,273189000.0,
Common Stock Payments,0.0,0.0,-63008000.0,0.0,
Common Stock Issuance,365000.0,0.0,0.0,273189000.0,
Net Issuance Payments Of Debt,1261489000.0,1574019000.0,1376411000.0,206691000.0,
Net Long Term Debt Issuance,1261489000.0,1574019000.0,1376411000.0,206691000.0,
Long Term Debt Payments,-8724444000.0,-7088984000.0,-4207700000.0,-5500290000.0,
Long Term Debt Issuance,9985933000.0,8663003000.0,5584111000.0,5706981000.0,
Investing Cash Flow,-1646920000.0,-1818256000.0,-1648459000.0,-837540000.0,
Cash Flow From Continuing Investing Activities,-1646920000.0,-1818256000.0,-1648459000.0,-837540000.0,
Net Other Investing Changes,-685677000.0,-20812000.0,-35561000.0,-94017000.0,
Net Investment Purchase And Sale,,,0.0,0.0,-300000000.0
Purchase Of Investment,,,0.0,0.0,-300000000.0
Net Investment Properties Purchase And Sale,-654225000.0,-418760000.0,-1314143000.0,-716796000.0,
Sale Of Investment Properties,124928000.0,2132000.0,39367000.0,572728000.0,
Purchase Of Investment Properties,-779153000.0,-420892000.0,-1353510000.0,-1289524000.0,
Net Business Purchase And Sale,-286504000.0,-1362690000.0,-275923000.0,-23068000.0,
Sale Of Business,15413000.0,0.0,342000.0,31534000.0,
Purchase Of Business,-301917000.0,-1362690000.0,-276265000.0,-54602000.0,
Net PPE Purchase And Sale,-20514000.0,-15994000.0,-22832000.0,-3659000.0,
Purchase Of PPE,-20514000.0,-15994000.0,-22832000.0,-3659000.0,
Operating Cash Flow,1887430000.0,1402474000.0,1238139000.0,952436000.0,
Cash Flow From Continuing Operating Activities,1887430000.0,1402474000.0,1238139000.0,952436000.0,
Dividend Received Cfo,30745000.0,20060000.0,13162000.0,7035000.0,
Change In Working Capital,57756000.0,-558000.0,38007000.0,-20565000.0,
Change In Other Working Capital,,,,,-42000.0
Change In Other Current Liabilities,68835000.0,-3082000.0,8285000.0,-9494000.0,
Change In Other Current Assets,-12043000.0,-32507000.0,695000.0,-22022000.0,
Change In Payables And Accrued Expense,964000.0,35031000.0,29027000.0,10951000.0,
Other Non Cash Items,28829000.0,-172000.0,-29639000.0,-23963000.0,
Stock Based Compensation,22906000.0,26638000.0,21386000.0,17303000.0,
Asset Impairment Charge,51763000.0,0.0,0.0,,
Depreciation Amortization Depletion,783023000.0,506053000.0,288316000.0,241879000.0,
Depreciation And Amortization,783023000.0,506053000.0,288316000.0,241879000.0,
Operating Gains Losses,12176000.0,,-14249000.0,-147011000.0,-18075000.0
Earnings Losses From Equity Investments,-13730000.0,0.0,0.0,-6251000.0,
Gain Loss On Investment Securities,25906000.0,,-14249000.0,-140760000.0,-18075000.0
Net Income From Continuing Operations,900232000.0,850453000.0,921156000.0,877758000.0,
