,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,1358000000.0,1298000000.0,626000000.0,3559000000.0,
Repurchase Of Capital Stock,-4045000000.0,-522000000.0,-1938000000.0,-2114000000.0,
Repayment Of Debt,-33175000000.0,-94444000000.0,-74304000000.0,-53440000000.0,
Issuance Of Debt,25430000000.0,93087000000.0,75293000000.0,54073000000.0,
Capital Expenditure,-817000000.0,-780000000.0,-996000000.0,-1251000000.0,
Interest Paid Supplemental Data,396000000.0,696000000.0,417000000.0,491000000.0,
Income Tax Paid Supplemental Data,488000000.0,402000000.0,963000000.0,440000000.0,
End Cash Position,1946000000.0,4414000000.0,4813000000.0,4283000000.0,
Beginning Cash Position,4414000000.0,4813000000.0,4283000000.0,4030000000.0,
Effect Of Exchange Rate Changes,-63000000.0,110000000.0,-463000000.0,-248000000.0,
Changes In Cash,-2405000000.0,-509000000.0,993000000.0,501000000.0,
Cash Flow From Discontinued Operation,-208000000.0,1674000000.0,1670000000.0,,
Financing Cash Flow,-12550000000.0,-3252000000.0,-2073000000.0,-2538000000.0,
Cash Flow From Continuing Financing Activities,-12550000000.0,-3252000000.0,-2073000000.0,-2538000000.0,
Net Other Financing Charges,37000000.0,-183000000.0,-43000000.0,-217000000.0,
Proceeds From Stock Option Exercised,3000000.0,41000000.0,57000000.0,121000000.0,
Cash Dividends Paid,-800000000.0,-1231000000.0,-1138000000.0,-961000000.0,
Common Stock Dividend Paid,-800000000.0,-1231000000.0,-1138000000.0,-961000000.0,
Net Common Stock Issuance,-4045000000.0,-522000000.0,-1938000000.0,-2114000000.0,
Common Stock Payments,-4045000000.0,-522000000.0,-1938000000.0,-2114000000.0,
Net Issuance Payments Of Debt,-7745000000.0,-1357000000.0,989000000.0,633000000.0,
Net Long Term Debt Issuance,-7745000000.0,-1357000000.0,989000000.0,633000000.0,
Long Term Debt Payments,-33175000000.0,-94444000000.0,-74304000000.0,-53440000000.0,
Long Term Debt Issuance,25430000000.0,93087000000.0,75293000000.0,54073000000.0,
Investing Cash Flow,8178000000.0,-1009000000.0,-226000000.0,-1771000000.0,
Cash Flow From Continuing Investing Activities,8178000000.0,-1009000000.0,-226000000.0,-1771000000.0,
Net Other Investing Changes,-44000000.0,-24000000.0,-6000000.0,-99000000.0,
Interest Received Cfi,-122000000.0,-28000000.0,0.0,,
Net Investment Purchase And Sale,-8000000.0,-20000000.0,726000000.0,-24000000.0,
Sale Of Investment,,0.0,726000000.0,0.0,552000000.0
Purchase Of Investment,-8000000.0,-20000000.0,,-24000000.0,0.0
Net Business Purchase And Sale,9169000000.0,-157000000.0,50000000.0,-397000000.0,
Sale Of Business,12833000000.0,45000000.0,50000000.0,370000000.0,
Purchase Of Business,-3664000000.0,-202000000.0,0.0,-767000000.0,
Net Intangibles Purchase And Sale,-720000000.0,-665000000.0,-769000000.0,-931000000.0,
Purchase Of Intangibles,-720000000.0,-665000000.0,-769000000.0,-931000000.0,
Net PPE Purchase And Sale,-97000000.0,-115000000.0,-227000000.0,-320000000.0,
Purchase Of PPE,-97000000.0,-115000000.0,-227000000.0,-320000000.0,
Operating Cash Flow,2175000000.0,2078000000.0,1622000000.0,4810000000.0,
Cash Flow From Continuing Operating Activities,2175000000.0,2078000000.0,1622000000.0,4810000000.0,
Change In Working Capital,-787000000.0,-115000000.0,-726000000.0,-464000000.0,
Change In Other Working Capital,-476000000.0,-392000000.0,-391000000.0,223000000.0,
Change In Payables And Accrued Expense,72000000.0,91000000.0,-16000000.0,391000000.0,
Change In Payable,72000000.0,91000000.0,-16000000.0,391000000.0,
Change In Account Payable,72000000.0,91000000.0,-16000000.0,391000000.0,
Change In Prepaid Assets,-205000000.0,-155000000.0,-72000000.0,-526000000.0,
Change In Receivables,-178000000.0,341000000.0,-247000000.0,-552000000.0,
Changes In Account Receivables,-94000000.0,341000000.0,-247000000.0,,-75000000.0
Other Non Cash Items,20000000.0,29000000.0,31000000.0,30000000.0,
Stock Based Compensation,186000000.0,120000000.0,189000000.0,383000000.0,
Asset Impairment Charge,52000000.0,113000000.0,103000000.0,202000000.0,
Deferred Tax,-204000000.0,-415000000.0,-388000000.0,-81000000.0,
Deferred Income Tax,-204000000.0,-415000000.0,-388000000.0,-81000000.0,
Depreciation Amortization Depletion,1737000000.0,1744000000.0,1878000000.0,4015000000.0,
Depreciation And Amortization,1737000000.0,1744000000.0,1878000000.0,4015000000.0,
Operating Gains Losses,381000000.0,97000000.0,-49000000.0,301000000.0,
Earnings Losses From Equity Investments,145000000.0,0.0,0.0,,
Gain Loss On Sale Of Business,62000000.0,97000000.0,-49000000.0,-227000000.0,
Net Income From Continuing Operations,790000000.0,505000000.0,584000000.0,424000000.0,
