,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,757000000.0,692000000.0,1243000000.0,1481000000.0,
Repurchase Of Capital Stock,-23000000.0,-218000000.0,-1284000000.0,-839000000.0,
Repayment Of Debt,-141000000.0,-780000000.0,-1106000000.0,-7185000000.0,
Issuance Of Debt,102000000.0,783000000.0,1011000000.0,1512000000.0,
Capital Expenditure,-921000000.0,-1141000000.0,-931000000.0,-549000000.0,
End Cash Position,1170000000.0,1113000000.0,804000000.0,1295000000.0,
Beginning Cash Position,1113000000.0,804000000.0,1295000000.0,595000000.0,
Effect Of Exchange Rate Changes,-38000000.0,10000000.0,-3000000.0,-9000000.0,
Changes In Cash,95000000.0,299000000.0,-488000000.0,709000000.0,
Other Cash Adjustment Inside Changein Cash,,,0.0,0.0,-2000000.0
Financing Cash Flow,-775000000.0,-866000000.0,-2054000000.0,-7375000000.0,
Cash Flow From Continuing Financing Activities,-775000000.0,-866000000.0,-2054000000.0,-7375000000.0,
Net Other Financing Charges,-70000000.0,-9000000.0,-2000000.0,-83000000.0,
Cash Dividends Paid,-643000000.0,-642000000.0,-673000000.0,-780000000.0,
Common Stock Dividend Paid,-643000000.0,-642000000.0,-673000000.0,-780000000.0,
Net Common Stock Issuance,-23000000.0,-218000000.0,-1284000000.0,-839000000.0,
Common Stock Payments,-23000000.0,-218000000.0,-1284000000.0,-839000000.0,
Net Issuance Payments Of Debt,-39000000.0,3000000.0,-95000000.0,-5673000000.0,
Net Short Term Debt Issuance,,-8000000.0,1000000.0,65000000.0,35000000.0
Net Long Term Debt Issuance,-39000000.0,3000000.0,-95000000.0,-5673000000.0,
Long Term Debt Payments,-141000000.0,-780000000.0,-1106000000.0,-7185000000.0,
Long Term Debt Issuance,102000000.0,783000000.0,1011000000.0,1512000000.0,
Investing Cash Flow,-808000000.0,-668000000.0,-608000000.0,6054000000.0,
Cash Flow From Continuing Investing Activities,-808000000.0,-668000000.0,-608000000.0,6054000000.0,
Net Other Investing Changes,22000000.0,-3000000.0,-1000000.0,-3000000.0,
Net Investment Purchase And Sale,0.0,0.0,311000000.0,0.0,
Sale Of Investment,0.0,0.0,311000000.0,0.0,
Net Business Purchase And Sale,0.0,472000000.0,0.0,6505000000.0,
Sale Of Business,0.0,472000000.0,0.0,6585000000.0,
Purchase Of Business,,0.0,0.0,-80000000.0,-65000000.0
Net PPE Purchase And Sale,-830000000.0,-1137000000.0,-918000000.0,-448000000.0,
Sale Of PPE,91000000.0,4000000.0,13000000.0,101000000.0,
Purchase Of PPE,-921000000.0,-1141000000.0,-931000000.0,-549000000.0,
Capital Expenditure Reported,,,,-549000000.0,-751000000.0
Operating Cash Flow,1678000000.0,1833000000.0,2174000000.0,2030000000.0,
Cash Flow From Continuing Operating Activities,1678000000.0,1833000000.0,2174000000.0,2030000000.0,
Dividend Received Cfo,0.0,13000000.0,204000000.0,159000000.0,
Change In Working Capital,-10000000.0,-2000000.0,-145000000.0,-426000000.0,
Change In Other Working Capital,7000000.0,43000000.0,28000000.0,-5000000.0,
Change In Payables And Accrued Expense,-124000000.0,-421000000.0,151000000.0,487000000.0,
Change In Accrued Expense,16000000.0,-19000000.0,41000000.0,-32000000.0,
Change In Interest Payable,16000000.0,-19000000.0,41000000.0,-32000000.0,
Change In Payable,-140000000.0,-402000000.0,110000000.0,519000000.0,
Change In Account Payable,-140000000.0,-402000000.0,110000000.0,519000000.0,
Change In Inventory,12000000.0,73000000.0,-162000000.0,-263000000.0,
Change In Receivables,95000000.0,303000000.0,-162000000.0,-645000000.0,
Changes In Account Receivables,59000000.0,255000000.0,-59000000.0,-596000000.0,
Other Non Cash Items,351000000.0,119000000.0,197000000.0,666000000.0,
Unrealized Gain Loss On Investment Securities,0.0,0.0,-65000000.0,32000000.0,
Deferred Tax,-473000000.0,-156000000.0,-773000000.0,-291000000.0,
Deferred Income Tax,-473000000.0,-156000000.0,-773000000.0,-291000000.0,
Depreciation Amortization Depletion,1305000000.0,1432000000.0,1040000000.0,1210000000.0,
Depreciation And Amortization,1305000000.0,1432000000.0,1040000000.0,1210000000.0,
Depreciation,,1432000000.0,1040000000.0,1210000000.0,1287000000.0
Operating Gains Losses,-52000000.0,139000000.0,212000000.0,-1074000000.0,
Pension And Employee Benefit Expense,1000000.0,94000000.0,-116000000.0,-112000000.0,
Earnings Losses From Equity Investments,5000000.0,-108000000.0,-291000000.0,-313000000.0,
Gain Loss On Investment Securities,,,,32000000.0,
Gain Loss On Sale Of PPE,-58000000.0,0.0,0.0,-86000000.0,
Gain Loss On Sale Of Business,0.0,153000000.0,619000000.0,-563000000.0,
Net Income From Continuing Operations,557000000.0,288000000.0,1504000000.0,1754000000.0,
