,2024-10-31,2023-10-31,2022-10-31,2021-10-31,2020-10-31
Free Cash Flow,898000000.0,1211000000.0,959000000.0,1148000000.0,
Repurchase Of Capital Stock,-443000000.0,-702000000.0,-849000000.0,-673000000.0,
Repayment Of Debt,-624000000.0,0.0,0.0,0.0,
Issuance Of Debt,599000000.0,0.0,0.0,0.0,
Capital Expenditure,-154000000.0,-197000000.0,-185000000.0,-174000000.0,
Interest Paid Supplemental Data,75000000.0,75000000.0,75000000.0,75000000.0,
Income Tax Paid Supplemental Data,146000000.0,343000000.0,191000000.0,130000000.0,
End Cash Position,1814000000.0,2488000000.0,2057000000.0,2068000000.0,
Beginning Cash Position,2488000000.0,2057000000.0,2068000000.0,1767000000.0,
Effect Of Exchange Rate Changes,6000000.0,-2000000.0,-43000000.0,3000000.0,
Changes In Cash,-680000000.0,433000000.0,32000000.0,298000000.0,
Financing Cash Flow,-913000000.0,-687000000.0,-861000000.0,-671000000.0,
Cash Flow From Continuing Financing Activities,-913000000.0,-687000000.0,-861000000.0,-671000000.0,
Net Other Financing Charges,-511000000.0,-52000000.0,-75000000.0,-57000000.0,
Proceeds From Stock Option Exercised,66000000.0,67000000.0,63000000.0,59000000.0,
Net Common Stock Issuance,-443000000.0,-702000000.0,-849000000.0,-673000000.0,
Common Stock Payments,-443000000.0,-702000000.0,-849000000.0,-673000000.0,
Net Issuance Payments Of Debt,-25000000.0,0.0,0.0,0.0,
Net Short Term Debt Issuance,,,,,0.0
Short Term Debt Issuance,,,,,0.0
Net Long Term Debt Issuance,-25000000.0,0.0,0.0,0.0,
Long Term Debt Payments,-624000000.0,0.0,0.0,0.0,
Long Term Debt Issuance,599000000.0,0.0,0.0,0.0,
Investing Cash Flow,-819000000.0,-288000000.0,-251000000.0,-353000000.0,
Cash Flow From Continuing Investing Activities,-819000000.0,-288000000.0,-251000000.0,-353000000.0,
Net Other Investing Changes,27000000.0,1000000.0,,-1000000.0,32000000.0
Net Investment Purchase And Sale,-11000000.0,-7000000.0,-33000000.0,-1000000.0,
Sale Of Investment,,,,0.0,0.0
Purchase Of Investment,-11000000.0,-7000000.0,-33000000.0,-1000000.0,
Net Business Purchase And Sale,-681000000.0,-85000000.0,-33000000.0,-178000000.0,
Purchase Of Business,-681000000.0,-85000000.0,-33000000.0,-178000000.0,
Net PPE Purchase And Sale,-154000000.0,-197000000.0,-185000000.0,-174000000.0,
Purchase Of PPE,-154000000.0,-197000000.0,-185000000.0,-174000000.0,
Operating Cash Flow,1052000000.0,1408000000.0,1144000000.0,1322000000.0,
Cash Flow From Continuing Operating Activities,1052000000.0,1408000000.0,1144000000.0,1322000000.0,
Change In Working Capital,-271000000.0,-126000000.0,-404000000.0,36000000.0,
Change In Other Working Capital,-161000000.0,107000000.0,37000000.0,157000000.0,
Change In Payables And Accrued Expense,56000000.0,-102000000.0,42000000.0,87000000.0,
Change In Payable,56000000.0,-102000000.0,42000000.0,87000000.0,
Change In Account Payable,26000000.0,-62000000.0,56000000.0,53000000.0,
Change In Tax Payable,30000000.0,-40000000.0,-14000000.0,34000000.0,
Change In Income Tax Payable,30000000.0,-40000000.0,-14000000.0,34000000.0,
Change In Prepaid Assets,14000000.0,7000000.0,-124000000.0,-43000000.0,
Change In Inventory,-49000000.0,-148000000.0,-125000000.0,-43000000.0,
Change In Receivables,-131000000.0,10000000.0,-234000000.0,-122000000.0,
Changes In Account Receivables,71000000.0,14000000.0,-204000000.0,-122000000.0,
Other Non Cash Items,34000000.0,133000000.0,69000000.0,33000000.0,
Stock Based Compensation,137000000.0,135000000.0,125000000.0,103000000.0,
Unrealized Gain Loss On Investment Securities,,-5000000.0,31000000.0,0.0,-11000000.0
Asset Impairment Charge,,,,,0.0
Deferred Tax,268000000.0,-3000000.0,7000000.0,-53000000.0,
Deferred Income Tax,268000000.0,-3000000.0,7000000.0,-53000000.0,
Depreciation Amortization Depletion,270000000.0,212000000.0,223000000.0,293000000.0,
Depreciation And Amortization,270000000.0,212000000.0,223000000.0,293000000.0,
Amortization Cash Flow,144000000.0,92000000.0,106000000.0,176000000.0,
Amortization Of Intangibles,144000000.0,92000000.0,106000000.0,176000000.0,
Depreciation,126000000.0,120000000.0,117000000.0,117000000.0,
Operating Gains Losses,,,,16000000.0,
Pension And Employee Benefit Expense,,0.0,0.0,16000000.0,0.0
Net Income From Continuing Operations,614000000.0,1057000000.0,1124000000.0,894000000.0,
