,2024-06-30,2023-06-30,2022-06-30,2021-06-30,2020-06-30
Free Cash Flow,4255599000.0,4677370000.0,2553640000.0,3239067000.0,
Repurchase Of Capital Stock,-2842807000.0,-2017012000.0,-3865663000.0,-2697704000.0,
Repayment Of Debt,-256104000.0,-23206000.0,-11889000.0,-862060000.0,
Issuance Of Debt,,,0.0,0.0,3224651000.0
Issuance Of Capital Stock,15553000.0,11111000.0,5682000.0,24123000.0,
Capital Expenditure,-396670000.0,-501568000.0,-546034000.0,-349096000.0,
Interest Paid Supplemental Data,173094000.0,174745000.0,175528000.0,203932000.0,
Income Tax Paid Supplemental Data,991821000.0,809748000.0,807669000.0,518567000.0,
End Cash Position,5850803000.0,5587372000.0,3773535000.0,4670750000.0,
Beginning Cash Position,5587372000.0,3773535000.0,4670750000.0,5169083000.0,
Effect Of Exchange Rate Changes,-22374000.0,128000.0,-30227000.0,7215000.0,
Changes In Cash,285805000.0,1813709000.0,-866988000.0,-505548000.0,
Financing Cash Flow,-3995850000.0,-2830667000.0,-4578937000.0,-4166982000.0,
Cash Flow From Continuing Financing Activities,-3995850000.0,-2830667000.0,-4578937000.0,-4166982000.0,
Net Other Financing Charges,-13543000.0,-3552000.0,45000.0,-2113000.0,
Proceeds From Stock Option Exercised,119966000.0,109899000.0,108178000.0,97764000.0,
Cash Dividends Paid,-1018915000.0,-907907000.0,-815290000.0,-726992000.0,
Common Stock Dividend Paid,-1018915000.0,-907907000.0,-815290000.0,-726992000.0,
Net Common Stock Issuance,-2827254000.0,-2005901000.0,-3859981000.0,-2673581000.0,
Common Stock Payments,-2842807000.0,-2017012000.0,-3865663000.0,-2697704000.0,
Common Stock Issuance,15553000.0,11111000.0,5682000.0,24123000.0,
Net Issuance Payments Of Debt,-256104000.0,-23206000.0,-11889000.0,-862060000.0,
Net Short Term Debt Issuance,,,,0.0,1250000000.0
Short Term Debt Payments,,,,0.0,-1250000000.0
Short Term Debt Issuance,,,,0.0,1250000000.0
Net Long Term Debt Issuance,-256104000.0,-23206000.0,-11889000.0,-862060000.0,
Long Term Debt Payments,-256104000.0,-23206000.0,-11889000.0,-862060000.0,
Long Term Debt Issuance,,,0.0,0.0,3224651000.0
Investing Cash Flow,-370614000.0,-534562000.0,612275000.0,73271000.0,
Cash Flow From Continuing Investing Activities,-370614000.0,-534562000.0,612275000.0,73271000.0,
Net Other Investing Changes,-11710000.0,-11171000.0,-7575000.0,-42155000.0,
Net Investment Purchase And Sale,37766000.0,98132000.0,1165884000.0,464522000.0,
Sale Of Investment,37766000.0,98132000.0,1733703000.0,3853910000.0,
Purchase Of Investment,0.0,0.0,-567819000.0,-3389388000.0,
Net Business Purchase And Sale,0.0,-119955000.0,0.0,0.0,
Purchase Of Business,0.0,-119955000.0,0.0,0.0,
Capital Expenditure Reported,-396670000.0,-501568000.0,-546034000.0,-349096000.0,
Operating Cash Flow,4652269000.0,5178938000.0,3099674000.0,3588163000.0,
Cash Flow From Continuing Operating Activities,4652269000.0,5178938000.0,3099674000.0,3588163000.0,
Change In Working Capital,360478000.0,158738000.0,-1796226000.0,-678741000.0,
Change In Other Working Capital,-277440000.0,163467000.0,604573000.0,508008000.0,
Change In Payables And Accrued Expense,-178713000.0,-631033000.0,291346000.0,593959000.0,
Change In Accrued Expense,-304652000.0,-108833000.0,123462000.0,409344000.0,
Change In Payable,125939000.0,-522200000.0,167884000.0,184615000.0,
Change In Account Payable,125939000.0,-522200000.0,167884000.0,184615000.0,
Change In Prepaid Assets,-15535000.0,136016000.0,-53121000.0,-59189000.0,
Change In Inventory,528723000.0,-961968000.0,-1351344000.0,-792591000.0,
Change In Receivables,303443000.0,1452256000.0,-1287680000.0,-928928000.0,
Changes In Account Receivables,303443000.0,1452256000.0,-1287680000.0,-928928000.0,
Other Non Cash Items,10243000.0,52298000.0,-44751000.0,-17392000.0,
Stock Based Compensation,293058000.0,286600000.0,259064000.0,220164000.0,
Asset Impairment Charge,,,,,0.0
Deferred Tax,-198981000.0,-172061000.0,-257438000.0,-151477000.0,
Deferred Income Tax,-198981000.0,-172061000.0,-257438000.0,-151477000.0,
Depreciation Amortization Depletion,359699000.0,342432000.0,333739000.0,307151000.0,
Depreciation And Amortization,359699000.0,342432000.0,333739000.0,307151000.0,
Net Income From Continuing Operations,3827772000.0,4510931000.0,4605286000.0,3908458000.0,
