,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,907000000.0,1170000000.0,616000000.0,802000000.0,
Repurchase Of Capital Stock,-751000000.0,-353000000.0,-914000000.0,-1026000000.0,
Repayment Of Debt,-3000000.0,-282000000.0,-310000000.0,-1329000000.0,
Issuance Of Debt,0.0,77000000.0,500000000.0,1481000000.0,
Capital Expenditure,-168000000.0,-243000000.0,-224000000.0,-128000000.0,
End Cash Position,634000000.0,634000000.0,452000000.0,926000000.0,
Beginning Cash Position,634000000.0,452000000.0,926000000.0,1326000000.0,
Effect Of Exchange Rate Changes,-9000000.0,6000000.0,-18000000.0,-20000000.0,
Changes In Cash,9000000.0,176000000.0,-456000000.0,-380000000.0,
Financing Cash Flow,-1017000000.0,-854000000.0,-1066000000.0,-1298000000.0,
Cash Flow From Continuing Financing Activities,-1019000000.0,-855000000.0,-1066000000.0,-1298000000.0,
Net Other Financing Charges,-88000000.0,-77000000.0,-85000000.0,-218000000.0,
Proceeds From Stock Option Exercised,79000000.0,38000000.0,1000000.0,5000000.0,
Cash Dividends Paid,-254000000.0,-257000000.0,-258000000.0,-211000000.0,
Common Stock Dividend Paid,-254000000.0,-257000000.0,-258000000.0,-211000000.0,
Net Common Stock Issuance,-751000000.0,-353000000.0,-914000000.0,-1026000000.0,
Common Stock Payments,-751000000.0,-353000000.0,-914000000.0,-1026000000.0,
Net Issuance Payments Of Debt,-3000000.0,-205000000.0,190000000.0,152000000.0,
Net Short Term Debt Issuance,0.0,0.0,0.0,155000000.0,
Short Term Debt Payments,0.0,-77000000.0,0.0,-1326000000.0,
Short Term Debt Issuance,0.0,77000000.0,0.0,1481000000.0,
Net Long Term Debt Issuance,-3000000.0,-205000000.0,190000000.0,-3000000.0,
Long Term Debt Payments,-3000000.0,-205000000.0,-310000000.0,-3000000.0,
Long Term Debt Issuance,0.0,0.0,500000000.0,0.0,
Investing Cash Flow,-50000000.0,-383000000.0,-230000000.0,-12000000.0,
Cash Flow From Continuing Investing Activities,-50000000.0,-383000000.0,-230000000.0,-12000000.0,
Net Other Investing Changes,-4000000.0,-4000000.0,-6000000.0,-3000000.0,
Net Investment Purchase And Sale,,2000000.0,1000000.0,171000000.0,3000000.0
Sale Of Investment,,2000000.0,1000000.0,171000000.0,3000000.0
Net Business Purchase And Sale,122000000.0,-136000000.0,0.0,-52000000.0,
Sale Of Business,126000000.0,0.0,0.0,5000000.0,
Purchase Of Business,-4000000.0,-136000000.0,0.0,-57000000.0,
Net PPE Purchase And Sale,,,1000000.0,0.0,1000000.0
Sale Of PPE,,,1000000.0,0.0,1000000.0
Capital Expenditure Reported,-168000000.0,-243000000.0,-224000000.0,-128000000.0,
Operating Cash Flow,1075000000.0,1413000000.0,840000000.0,930000000.0,
Cash Flow From Continuing Operating Activities,1075000000.0,1414000000.0,840000000.0,930000000.0,
Dividend Paid Cfo,,0.0,0.0,-6000000.0,-10000000.0
Change In Working Capital,-130000000.0,241000000.0,-283000000.0,-224000000.0,
Change In Payables And Accrued Expense,-95000000.0,-34000000.0,-225000000.0,190000000.0,
Change In Inventory,4000000.0,233000000.0,-43000000.0,-350000000.0,
Change In Receivables,-39000000.0,42000000.0,-15000000.0,-64000000.0,
Other Non Cash Items,6000000.0,26000000.0,-2000000.0,13000000.0,
Stock Based Compensation,39000000.0,31000000.0,49000000.0,61000000.0,
Asset Impairment Charge,0.0,15000000.0,26000000.0,45000000.0,
Deferred Tax,63000000.0,-3000000.0,2000000.0,-53000000.0,
Deferred Income Tax,63000000.0,-3000000.0,2000000.0,-53000000.0,
Depreciation Amortization Depletion,150000000.0,149000000.0,145000000.0,151000000.0,
Depreciation And Amortization,150000000.0,149000000.0,145000000.0,151000000.0,
Amortization Cash Flow,,34000000.0,33000000.0,,
Amortization Of Intangibles,,34000000.0,33000000.0,,
Depreciation,,115000000.0,112000000.0,,
Operating Gains Losses,73000000.0,-6000000.0,-2000000.0,465000000.0,
Pension And Employee Benefit Expense,-7000000.0,-6000000.0,-3000000.0,312000000.0,
Gain Loss On Investment Securities,,,5000000.0,-25000000.0,-3000000.0
Gain Loss On Sale Of Business,80000000.0,0.0,1000000.0,18000000.0,
Net Income From Continuing Operations,874000000.0,960000000.0,905000000.0,478000000.0,
