,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,13586000000.0,10892000000.0,10098000000.0,8649000000.0
Repurchase Of Capital Stock,-11035000000.0,-9032000000.0,-8753000000.0,-5904000000.0
Repayment Of Debt,-1336000000.0,0.0,-724000000.0,-650000000.0
Issuance Of Debt,3960000000.0,1554000000.0,1123000000.0,2024000000.0
Capital Expenditure,-1194000000.0,-1088000000.0,-1097000000.0,-814000000.0
Interest Paid Supplemental Data,571000000.0,477000000.0,414000000.0,
Income Tax Paid Supplemental Data,3252000000.0,2746000000.0,2506000000.0,
End Cash Position,10808000000.0,10465000000.0,9196000000.0,9902000000.0
Beginning Cash Position,10465000000.0,9196000000.0,9902000000.0,12419000000.0
Effect Of Exchange Rate Changes,-199000000.0,128000000.0,-103000000.0,-153000000.0
Changes In Cash,542000000.0,1141000000.0,-603000000.0,-2364000000.0
Financing Cash Flow,-10836000000.0,-9488000000.0,-10328000000.0,-6555000000.0
Cash Flow From Continuing Financing Activities,-10836000000.0,-9488000000.0,-10328000000.0,-6555000000.0
Net Other Financing Charges,-201000000.0,-89000000.0,-161000000.0,-345000000.0
Proceeds From Stock Option Exercised,224000000.0,237000000.0,90000000.0,61000000.0
Cash Dividends Paid,-2448000000.0,-2158000000.0,-1903000000.0,-1741000000.0
Common Stock Dividend Paid,-2448000000.0,-2158000000.0,-1903000000.0,-1741000000.0
Net Common Stock Issuance,-11035000000.0,-9032000000.0,-8753000000.0,-5904000000.0
Common Stock Payments,-11035000000.0,-9032000000.0,-8753000000.0,-5904000000.0
Net Issuance Payments Of Debt,2624000000.0,1554000000.0,399000000.0,1374000000.0
Net Long Term Debt Issuance,2624000000.0,1554000000.0,399000000.0,1374000000.0
Long Term Debt Payments,-1336000000.0,0.0,-724000000.0,-650000000.0
Long Term Debt Issuance,3960000000.0,1554000000.0,1123000000.0,2024000000.0
Investing Cash Flow,-3402000000.0,-1351000000.0,-1470000000.0,-5272000000.0
Cash Flow From Continuing Investing Activities,-3402000000.0,-1351000000.0,-1470000000.0,-5272000000.0
Net Other Investing Changes,-3000000.0,-6000000.0,-3000000.0,33000000.0
Net Investment Purchase And Sale,306000000.0,-257000000.0,-57000000.0,-55000000.0
Sale Of Investment,964000000.0,479000000.0,537000000.0,856000000.0
Purchase Of Investment,-658000000.0,-736000000.0,-594000000.0,-911000000.0
Net Business Purchase And Sale,-2511000000.0,0.0,-313000000.0,-4436000000.0
Purchase Of Business,-2511000000.0,0.0,-313000000.0,-4436000000.0
Net PPE Purchase And Sale,-474000000.0,-371000000.0,-442000000.0,-407000000.0
Purchase Of PPE,-474000000.0,-371000000.0,-442000000.0,-407000000.0
Capital Expenditure Reported,-720000000.0,-717000000.0,-655000000.0,-407000000.0
Operating Cash Flow,14780000000.0,11980000000.0,11195000000.0,9463000000.0
Cash Flow From Continuing Operating Activities,14780000000.0,11980000000.0,11195000000.0,9463000000.0
Change In Working Capital,-1040000000.0,-1943000000.0,-904000000.0,-916000000.0
Change In Other Working Capital,131000000.0,922000000.0,-6000000.0,431000000.0
Change In Other Current Liabilities,922000000.0,282000000.0,201000000.0,-568000000.0
Change In Other Current Assets,-593000000.0,40000000.0,48000000.0,390000000.0
Change In Payables And Accrued Expense,1704000000.0,-32000000.0,1497000000.0,1402000000.0
Change In Accrued Expense,1792000000.0,196000000.0,1428000000.0,1354000000.0
Change In Payable,-88000000.0,-228000000.0,69000000.0,48000000.0
Change In Account Payable,75000000.0,-99000000.0,190000000.0,100000000.0
Change In Tax Payable,-163000000.0,-129000000.0,-121000000.0,-52000000.0
Change In Income Tax Payable,-163000000.0,-129000000.0,-121000000.0,-52000000.0
Change In Prepaid Assets,-3225000000.0,-2438000000.0,-2175000000.0,-2087000000.0
Change In Receivables,21000000.0,-717000000.0,-469000000.0,-484000000.0
Changes In Account Receivables,186000000.0,-546000000.0,-481000000.0,-397000000.0
Other Non Cash Items,2021000000.0,1644000000.0,1630000000.0,1407000000.0
Stock Based Compensation,526000000.0,460000000.0,295000000.0,273000000.0
Deferred Tax,-527000000.0,-236000000.0,-651000000.0,-69000000.0
Deferred Income Tax,-527000000.0,-236000000.0,-651000000.0,-69000000.0
Depreciation Amortization Depletion,897000000.0,799000000.0,750000000.0,726000000.0
Depreciation And Amortization,897000000.0,799000000.0,750000000.0,726000000.0
Operating Gains Losses,29000000.0,61000000.0,145000000.0,-645000000.0
Gain Loss On Investment Securities,29000000.0,61000000.0,145000000.0,-645000000.0
Net Income From Continuing Operations,12874000000.0,11195000000.0,9930000000.0,8687000000.0
