,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,2521000000.0,1880000000.0,1191000000.0,1866000000.0,
Repurchase Of Capital Stock,-1383000000.0,-561000000.0,-1070000000.0,-750000000.0,
Repayment Of Debt,0.0,-500000000.0,-626000000.0,-500000000.0,
Issuance Of Debt,496000000.0,0.0,988000000.0,1672000000.0,
Capital Expenditure,-317000000.0,-271000000.0,-283000000.0,-139000000.0,
End Cash Position,2408000000.0,2130000000.0,1769000000.0,1811000000.0,
Beginning Cash Position,2130000000.0,1769000000.0,1811000000.0,2597000000.0,
Effect Of Exchange Rate Changes,-58000000.0,41000000.0,-46000000.0,-50000000.0,
Changes In Cash,336000000.0,320000000.0,4000000.0,-736000000.0,
Financing Cash Flow,-1446000000.0,-1584000000.0,-1208000000.0,-122000000.0,
Cash Flow From Continuing Financing Activities,-1446000000.0,-1584000000.0,-1208000000.0,-122000000.0,
Net Other Financing Charges,-12000000.0,-9000000.0,-11000000.0,-36000000.0,
Proceeds From Stock Option Exercised,73000000.0,50000000.0,26000000.0,-45000000.0,
Cash Dividends Paid,-620000000.0,-564000000.0,-515000000.0,-463000000.0,
Common Stock Dividend Paid,-620000000.0,-564000000.0,-515000000.0,-463000000.0,
Net Common Stock Issuance,-1383000000.0,-561000000.0,-1070000000.0,-750000000.0,
Common Stock Payments,-1383000000.0,-561000000.0,-1070000000.0,-750000000.0,
Net Issuance Payments Of Debt,496000000.0,-500000000.0,362000000.0,1172000000.0,
Net Short Term Debt Issuance,,,0.0,0.0,-3000000.0
Short Term Debt Payments,,,0.0,0.0,-792000000.0
Short Term Debt Issuance,,,0.0,0.0,789000000.0
Net Long Term Debt Issuance,496000000.0,-500000000.0,362000000.0,1172000000.0,
Long Term Debt Payments,0.0,-500000000.0,-626000000.0,-500000000.0,
Long Term Debt Issuance,496000000.0,0.0,988000000.0,1672000000.0,
Investing Cash Flow,-1056000000.0,-247000000.0,-262000000.0,-2619000000.0,
Cash Flow From Continuing Investing Activities,-1056000000.0,-247000000.0,-262000000.0,-2619000000.0,
Net Investment Purchase And Sale,-516000000.0,19000000.0,190000000.0,-37000000.0,
Sale Of Investment,135000000.0,162000000.0,436000000.0,182000000.0,
Purchase Of Investment,-651000000.0,-143000000.0,-246000000.0,-219000000.0,
Net Business Purchase And Sale,-223000000.0,5000000.0,-169000000.0,-2443000000.0,
Sale Of Business,2000000.0,13000000.0,2000000.0,2000000.0,
Purchase Of Business,-225000000.0,-8000000.0,-171000000.0,-2445000000.0,
Capital Expenditure Reported,-317000000.0,-271000000.0,-283000000.0,-139000000.0,
Operating Cash Flow,2838000000.0,2151000000.0,1474000000.0,2005000000.0,
Cash Flow From Continuing Operating Activities,2838000000.0,2151000000.0,1474000000.0,2005000000.0,
Change In Working Capital,150000000.0,-38000000.0,-452000000.0,-413000000.0,
Change In Other Working Capital,154000000.0,24000000.0,20000000.0,65000000.0,
Change In Other Current Liabilities,11000000.0,-176000000.0,-49000000.0,-250000000.0,
Change In Other Current Assets,-53000000.0,50000000.0,-271000000.0,-38000000.0,
Change In Payables And Accrued Expense,225000000.0,76000000.0,-161000000.0,80000000.0,
Change In Receivables,-187000000.0,-12000000.0,9000000.0,-270000000.0,
Changes In Account Receivables,-187000000.0,-12000000.0,9000000.0,-270000000.0,
Other Non Cash Items,32000000.0,35000000.0,29000000.0,-36000000.0,
Stock Based Compensation,220000000.0,193000000.0,169000000.0,175000000.0,
Provisionand Write Offof Assets,15000000.0,22000000.0,25000000.0,13000000.0,
Asset Impairment Charge,,35000000.0,29000000.0,0.0,36000000.0
Deferred Tax,-62000000.0,-38000000.0,48000000.0,-218000000.0,
Deferred Income Tax,-62000000.0,-38000000.0,48000000.0,-218000000.0,
Depreciation Amortization Depletion,431000000.0,373000000.0,331000000.0,257000000.0,
Depreciation And Amortization,431000000.0,373000000.0,331000000.0,257000000.0,
Amortization Cash Flow,198000000.0,198000000.0,200000000.0,,
Amortization Of Intangibles,198000000.0,198000000.0,200000000.0,,
Depreciation,233000000.0,175000000.0,131000000.0,,
Operating Gains Losses,-7000000.0,-4000000.0,-50000000.0,13000000.0,
Net Foreign Currency Exchange Gain Loss,0.0,0.0,20000000.0,0.0,
Gain Loss On Sale Of Business,-7000000.0,-4000000.0,0.0,0.0,
Net Income From Continuing Operations,2059000000.0,1608000000.0,1374000000.0,2214000000.0,
