,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-2100000000.0,-36948000000.0,-9475000000.0,31663000000.0,
Repurchase Of Capital Stock,-4199000000.0,-6178000000.0,-10871000000.0,-12075000000.0,
Repayment Of Debt,-80230000000.0,-64805000000.0,-34898000000.0,-70124000000.0,
Issuance Of Debt,108365000000.0,78424000000.0,72460000000.0,90273000000.0,
Issuance Of Capital Stock,995000000.0,0.0,994000000.0,1275000000.0,
Capital Expenditure,-3462000000.0,-3412000000.0,-3078000000.0,-2308000000.0,
Interest Paid Supplemental Data,46359000000.0,41940000000.0,9819000000.0,1303000000.0,
Income Tax Paid Supplemental Data,1885000000.0,2035000000.0,4147000000.0,4231000000.0,
End Cash Position,105386000000.0,89232000000.0,128127000000.0,127725000000.0,
Beginning Cash Position,89232000000.0,128127000000.0,127725000000.0,105654000000.0,
Effect Of Exchange Rate Changes,-2504000000.0,451000000.0,-4283000000.0,-3550000000.0,
Changes In Cash,18658000000.0,-39346000000.0,4685000000.0,25621000000.0,
Financing Cash Flow,46756000000.0,-2726000000.0,22714000000.0,41547000000.0,
Cash Flow From Continuing Financing Activities,46756000000.0,-2726000000.0,22714000000.0,41547000000.0,
Net Other Financing Charges,4008000000.0,671000000.0,-1229000000.0,-528000000.0,
Cash Dividends Paid,-6138000000.0,-5763000000.0,-5401000000.0,-4171000000.0,
Net Preferred Stock Issuance,995000000.0,0.0,994000000.0,1275000000.0,
Preferred Stock Issuance,995000000.0,0.0,994000000.0,1275000000.0,
Net Common Stock Issuance,-4199000000.0,-6178000000.0,-10871000000.0,-12075000000.0,
Common Stock Payments,-4199000000.0,-6178000000.0,-10871000000.0,-12075000000.0,
Net Issuance Payments Of Debt,28135000000.0,13619000000.0,37562000000.0,20149000000.0,
Net Long Term Debt Issuance,28135000000.0,13619000000.0,37562000000.0,20149000000.0,
Long Term Debt Payments,-80230000000.0,-64805000000.0,-34898000000.0,-70124000000.0,
Long Term Debt Issuance,108365000000.0,78424000000.0,72460000000.0,90273000000.0,
Investing Cash Flow,-29460000000.0,-3084000000.0,-11632000000.0,-49897000000.0,
Cash Flow From Continuing Investing Activities,-29460000000.0,-3084000000.0,-11632000000.0,-49897000000.0,
Net Other Investing Changes,-1485000000.0,-923000000.0,-347000000.0,-832000000.0,
Net Investment Purchase And Sale,-1895000000.0,5310000000.0,15445000000.0,-8003000000.0,
Sale Of Investment,37292000000.0,28388000000.0,45278000000.0,61568000000.0,
Purchase Of Investment,-39187000000.0,-23078000000.0,-29833000000.0,-69571000000.0,
Net Business Purchase And Sale,,0.0,0.0,-2648000000.0,3807000000.0
Sale Of Business,,,0.0,0.0,3807000000.0
Purchase Of Business,,0.0,0.0,-2648000000.0,0.0
Net PPE Purchase And Sale,-3462000000.0,-3412000000.0,-3078000000.0,-2308000000.0,
Purchase Of PPE,,,-3078000000.0,-2308000000.0,-1444000000.0
Operating Cash Flow,1362000000.0,-33536000000.0,-6397000000.0,33971000000.0,
Cash Flow From Continuing Operating Activities,1362000000.0,-33536000000.0,-6397000000.0,33971000000.0,
Change In Working Capital,-19370000000.0,-49108000000.0,-23498000000.0,12689000000.0,
Change In Other Working Capital,31897000000.0,-49365000000.0,-39703000000.0,-3679000000.0,
Change In Payables And Accrued Expense,-25550000000.0,-3629000000.0,-4897000000.0,7758000000.0,
Change In Payable,-25550000000.0,-3629000000.0,-4897000000.0,7758000000.0,
Change In Account Payable,,-3629000000.0,-4897000000.0,7758000000.0,10187000000.0
Change In Receivables,-5308000000.0,602000000.0,14664000000.0,774000000.0,
Changes In Account Receivables,,602000000.0,14664000000.0,774000000.0,-29774000000.0
Other Non Cash Items,4000000.0,308000000.0,618000000.0,-147000000.0,
Stock Based Compensation,1622000000.0,1709000000.0,1875000000.0,2085000000.0,
Deferred Tax,152000000.0,-463000000.0,-849000000.0,4000000.0,
Deferred Income Tax,152000000.0,-463000000.0,-849000000.0,4000000.0,
Depreciation Amortization Depletion,5161000000.0,4256000000.0,3998000000.0,4216000000.0,
Depreciation And Amortization,5161000000.0,4256000000.0,3998000000.0,4216000000.0,
Net Income From Continuing Operations,13529000000.0,9230000000.0,11179000000.0,15120000000.0,
