,2024-10-31,2023-10-31,2022-10-31,2021-10-31,2020-10-31
Free Cash Flow,491783000.0,606699000.0,461703000.0,507624000.0,
Repurchase Of Capital Stock,-33339000.0,-89708000.0,-262869000.0,-60970000.0,
Repayment Of Debt,-324834000.0,-1209393000.0,-102414000.0,-305454000.0,
Issuance Of Debt,783039000.0,2178596000.0,63067000.0,9414000.0,
Issuance Of Capital Stock,31067000.0,21373000.0,12124000.0,31780000.0,
Capital Expenditure,-64410000.0,-34583000.0,-51428000.0,-38303000.0,
Interest Paid Supplemental Data,85966000.0,54710000.0,22975000.0,,
Income Tax Paid Supplemental Data,160122000.0,112912000.0,141212000.0,,
End Cash Position,115952000.0,115679000.0,163457000.0,299972000.0,
Beginning Cash Position,115679000.0,163457000.0,299972000.0,208293000.0,
Effect Of Exchange Rate Changes,-6017000.0,-2693000.0,-10879000.0,1834000.0,
Changes In Cash,6290000.0,-45085000.0,-125636000.0,89845000.0,
Financing Cash Flow,294495000.0,750512000.0,-416006000.0,-422913000.0,
Cash Flow From Continuing Financing Activities,294495000.0,750512000.0,-416006000.0,-422913000.0,
Cash Dividends Paid,-161438000.0,-150356000.0,-125914000.0,-97683000.0,
Common Stock Dividend Paid,-161438000.0,-150356000.0,-125914000.0,-97683000.0,
Net Common Stock Issuance,-2272000.0,-68335000.0,-250745000.0,-29190000.0,
Common Stock Payments,-33339000.0,-89708000.0,-262869000.0,-60970000.0,
Common Stock Issuance,31067000.0,21373000.0,12124000.0,31780000.0,
Net Issuance Payments Of Debt,458205000.0,969203000.0,-39347000.0,-296040000.0,
Net Short Term Debt Issuance,,,,,0.0
Short Term Debt Payments,,,,,0.0
Short Term Debt Issuance,,,,,0.0
Net Long Term Debt Issuance,458205000.0,969203000.0,-39347000.0,-296040000.0,
Long Term Debt Payments,-324834000.0,-1209393000.0,-102414000.0,-305454000.0,
Long Term Debt Issuance,783039000.0,2178596000.0,63067000.0,9414000.0,
Investing Cash Flow,-844398000.0,-1436879000.0,-222761000.0,-33169000.0,
Cash Flow From Continuing Investing Activities,-844398000.0,-1436879000.0,-222761000.0,-33169000.0,
Net Other Investing Changes,9933000.0,20383000.0,,4971000.0,-2000000.0
Net Business Purchase And Sale,-789996000.0,-1422780000.0,-171613000.0,0.0,
Purchase Of Business,-789996000.0,-1422780000.0,-171613000.0,0.0,
Net PPE Purchase And Sale,-64335000.0,-34482000.0,-51148000.0,-38140000.0,
Sale Of PPE,75000.0,101000.0,280000.0,163000.0,
Purchase Of PPE,-64410000.0,-34583000.0,-51428000.0,-38303000.0,
Operating Cash Flow,556193000.0,641282000.0,513131000.0,545927000.0,
Cash Flow From Continuing Operating Activities,556193000.0,641282000.0,513131000.0,545927000.0,
Change In Working Capital,-53149000.0,25786000.0,-163069000.0,-44680000.0,
Change In Other Working Capital,-59420000.0,26578000.0,-37073000.0,-37524000.0,
Change In Payables And Accrued Expense,-49789000.0,-26718000.0,17751000.0,62357000.0,
Change In Accrued Expense,8187000.0,-28620000.0,925000.0,32929000.0,
Change In Payable,-57976000.0,1902000.0,16826000.0,29428000.0,
Change In Account Payable,-38591000.0,-15820000.0,10671000.0,20769000.0,
Change In Tax Payable,-19385000.0,17722000.0,6155000.0,8659000.0,
Change In Income Tax Payable,-19385000.0,17722000.0,6155000.0,8659000.0,
Change In Prepaid Assets,-4543000.0,-14677000.0,-1708000.0,-5209000.0,
Change In Inventory,46615000.0,22418000.0,-69132000.0,-50584000.0,
Change In Receivables,13988000.0,18185000.0,-72907000.0,-13720000.0,
Other Non Cash Items,3396000.0,8136000.0,1259000.0,4907000.0,
Stock Based Compensation,18957000.0,22710000.0,30748000.0,22757000.0,
Provisionand Write Offof Assets,619000.0,283000.0,1259000.0,32000.0,
Asset Impairment Charge,,,0.0,0.0,87371000.0
Deferred Tax,-18557000.0,-16116000.0,-10732000.0,4071000.0,
Deferred Income Tax,-18557000.0,-16116000.0,-10732000.0,4071000.0,
Depreciation Amortization Depletion,136175000.0,111898000.0,99923000.0,103883000.0,
Depreciation And Amortization,136175000.0,111898000.0,99923000.0,103883000.0,
Amortization Cash Flow,76972000.0,59719000.0,50825000.0,50551000.0,
Amortization Of Intangibles,76972000.0,59719000.0,50825000.0,50551000.0,
Depreciation,59203000.0,52179000.0,49098000.0,53332000.0,
Operating Gains Losses,1468000.0,1092000.0,40640000.0,589000.0,
Pension And Employee Benefit Expense,0.0,0.0,41221000.0,0.0,
Gain Loss On Sale Of PPE,1468000.0,1092000.0,-581000.0,589000.0,
Net Income From Continuing Operations,467284000.0,487493000.0,513103000.0,454368000.0,
