,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,3375000000.0,2701000000.0,2173000000.0,1799000000.0,
Repurchase Of Capital Stock,-696000000.0,-538000000.0,0.0,0.0,
Repayment Of Debt,0.0,0.0,-94000000.0,-61000000.0,
Issuance Of Debt,,,0.0,0.0,1482000000.0
Capital Expenditure,-892000000.0,-697000000.0,-550000000.0,-392000000.0,
Interest Paid Supplemental Data,23000000.0,23000000.0,24000000.0,41000000.0,
Income Tax Paid Supplemental Data,230000000.0,127000000.0,45000000.0,36000000.0,
End Cash Position,2310000000.0,1904000000.0,1475000000.0,1732000000.0,
Beginning Cash Position,1904000000.0,1475000000.0,1732000000.0,1679000000.0,
Effect Of Exchange Rate Changes,-17000000.0,1000000.0,-53000000.0,-25000000.0,
Changes In Cash,423000000.0,428000000.0,-204000000.0,78000000.0,
Financing Cash Flow,-1343000000.0,-803000000.0,-344000000.0,-506000000.0,
Cash Flow From Continuing Financing Activities,-1343000000.0,-803000000.0,-344000000.0,-506000000.0,
Net Other Financing Charges,-884000000.0,-459000000.0,-427000000.0,-612000000.0,
Proceeds From Stock Option Exercised,237000000.0,194000000.0,177000000.0,167000000.0,
Net Common Stock Issuance,-696000000.0,-538000000.0,0.0,0.0,
Common Stock Payments,-696000000.0,-538000000.0,0.0,0.0,
Net Issuance Payments Of Debt,0.0,0.0,-94000000.0,-61000000.0,
Net Long Term Debt Issuance,0.0,0.0,-94000000.0,-61000000.0,
Long Term Debt Payments,0.0,0.0,-94000000.0,-61000000.0,
Long Term Debt Issuance,,,0.0,0.0,1482000000.0
Investing Cash Flow,-2501000000.0,-2167000000.0,-2583000000.0,-1607000000.0,
Cash Flow From Continuing Investing Activities,-2501000000.0,-2167000000.0,-2583000000.0,-1607000000.0,
Net Other Investing Changes,-36000000.0,-4000000.0,18000000.0,7000000.0,
Net Investment Purchase And Sale,-1460000000.0,-1187000000.0,-1960000000.0,-437000000.0,
Sale Of Investment,3752000000.0,3522000000.0,2245000000.0,2119000000.0,
Purchase Of Investment,-5212000000.0,-4709000000.0,-4205000000.0,-2556000000.0,
Net Business Purchase And Sale,-113000000.0,-279000000.0,-91000000.0,-785000000.0,
Purchase Of Business,-113000000.0,-279000000.0,-91000000.0,-785000000.0,
Net Intangibles Purchase And Sale,-40000000.0,-3000000.0,0.0,-7000000.0,
Purchase Of Intangibles,-40000000.0,-3000000.0,0.0,-7000000.0,
Net PPE Purchase And Sale,-852000000.0,-694000000.0,-550000000.0,-392000000.0,
Purchase Of PPE,-852000000.0,-694000000.0,-550000000.0,-392000000.0,
Operating Cash Flow,4267000000.0,3398000000.0,2723000000.0,2191000000.0,
Cash Flow From Continuing Operating Activities,4267000000.0,3398000000.0,2723000000.0,2191000000.0,
Change In Working Capital,-65000000.0,-101000000.0,174000000.0,58000000.0,
Change In Other Working Capital,466000000.0,368000000.0,338000000.0,395000000.0,
Change In Payables And Accrued Expense,55000000.0,34000000.0,215000000.0,157000000.0,
Change In Accrued Expense,107000000.0,176000000.0,43000000.0,102000000.0,
Change In Payable,-52000000.0,-142000000.0,172000000.0,55000000.0,
Change In Account Payable,-52000000.0,-142000000.0,172000000.0,55000000.0,
Change In Prepaid Assets,-332000000.0,-203000000.0,-39000000.0,-93000000.0,
Change In Receivables,-254000000.0,-300000000.0,-340000000.0,-401000000.0,
Changes In Account Receivables,-254000000.0,-300000000.0,-340000000.0,-401000000.0,
Other Non Cash Items,499000000.0,459000000.0,375000000.0,334000000.0,
Stock Based Compensation,1746000000.0,1604000000.0,1401000000.0,1131000000.0,
Deferred Tax,98000000.0,-857000000.0,15000000.0,-34000000.0,
Deferred Income Tax,98000000.0,-857000000.0,15000000.0,-34000000.0,
Depreciation Amortization Depletion,564000000.0,562000000.0,433000000.0,472000000.0,
Depreciation And Amortization,564000000.0,562000000.0,433000000.0,472000000.0,
Operating Gains Losses,,,,3000000.0,47000000.0
Net Income From Continuing Operations,1425000000.0,1731000000.0,325000000.0,230000000.0,
