,2024-07-31,2023-07-31,2022-07-31,2021-07-31,2020-07-31
Free Cash Flow,3100800000.0,2631200000.0,1791900000.0,1387000000.0,
Repurchase Of Capital Stock,-566700000.0,-272700000.0,-892300000.0,-1178100000.0,
Repayment Of Debt,-1033700000.0,-1692000000.0,-600000.0,-900000.0,
Issuance Of Debt,,,0.0,0.0,1979100000.0
Capital Expenditure,-156800000.0,-146300000.0,-192800000.0,-116000000.0,
Interest Paid Supplemental Data,5600000.0,20200000.0,20200000.0,20000000.0,
Income Tax Paid Supplemental Data,342300000.0,147100000.0,34600000.0,24900000.0,
End Cash Position,1546800000.0,1142200000.0,2124800000.0,1880100000.0,
Beginning Cash Position,1142200000.0,2124800000.0,1880100000.0,2961700000.0,
Changes In Cash,404600000.0,-982600000.0,244700000.0,-1081600000.0,
Financing Cash Flow,-1343100000.0,-1726300000.0,-806600000.0,-1104000000.0,
Cash Flow From Continuing Financing Activities,-1343100000.0,-1726300000.0,-806600000.0,-1104000000.0,
Net Other Financing Charges,-26600000.0,-20400000.0,-50300000.0,-29000000.0,
Proceeds From Stock Option Exercised,283900000.0,258800000.0,136600000.0,104000000.0,
Net Common Stock Issuance,-566700000.0,-272700000.0,-892300000.0,-1178100000.0,
Common Stock Payments,-566700000.0,-272700000.0,-892300000.0,-1178100000.0,
Net Issuance Payments Of Debt,-1033700000.0,-1692000000.0,-600000.0,-900000.0,
Net Short Term Debt Issuance,-1033700000.0,-1692000000.0,-600000.0,-900000.0,
Short Term Debt Payments,-1033700000.0,-1692000000.0,-600000.0,-900000.0,
Net Long Term Debt Issuance,-1033700000.0,-1692000000.0,-600000.0,-900000.0,
Long Term Debt Payments,-1033700000.0,-1692000000.0,-600000.0,-900000.0,
Long Term Debt Issuance,,,0.0,0.0,1979100000.0
Investing Cash Flow,-1509900000.0,-2033800000.0,-933400000.0,-1480600000.0,
Cash Flow From Continuing Investing Activities,-1509900000.0,-2033800000.0,-933400000.0,-1480600000.0,
Net Investment Purchase And Sale,-742500000.0,-1683000000.0,-703600000.0,-587300000.0,
Sale Of Investment,2808800000.0,3777400000.0,1568100000.0,1371600000.0,
Purchase Of Investment,-3551300000.0,-5460400000.0,-2271700000.0,-1958900000.0,
Net Business Purchase And Sale,-610600000.0,-204500000.0,-37000000.0,-777300000.0,
Purchase Of Business,-610600000.0,-204500000.0,-37000000.0,-777300000.0,
Net PPE Purchase And Sale,-156800000.0,-146300000.0,-192800000.0,-116000000.0,
Purchase Of PPE,-156800000.0,-146300000.0,-192800000.0,-116000000.0,
Capital Expenditure Reported,,,,,-214400000.0
Operating Cash Flow,3257600000.0,2777500000.0,1984700000.0,1503000000.0,
Cash Flow From Continuing Operating Activities,3257600000.0,2777500000.0,1984700000.0,1503000000.0,
Change In Working Capital,910300000.0,550800000.0,523900000.0,348600000.0,
Change In Other Working Capital,1691300000.0,1869800000.0,1511200000.0,755300000.0,
Change In Payables And Accrued Expense,373300000.0,10600000.0,54800000.0,64800000.0,
Change In Accrued Expense,388300000.0,9600000.0,-14500000.0,76600000.0,
Change In Payable,-15000000.0,1000000.0,69300000.0,-11800000.0,
Change In Account Payable,-15000000.0,1000000.0,69300000.0,-11800000.0,
Change In Prepaid Assets,-134100000.0,-270600000.0,-110000000.0,-26500000.0,
Change In Receivables,-1020200000.0,-1059000000.0,-932100000.0,-445000000.0,
Changes In Account Receivables,-154300000.0,-320300000.0,-902000000.0,-172400000.0,
Other Non Cash Items,449500000.0,420100000.0,369300000.0,440800000.0,
Stock Based Compensation,1075400000.0,1074500000.0,1011100000.0,894500000.0,
Asset Impairment Charge,,,,,-3100000.0
Amortization Of Securities,-60100000.0,-52200000.0,13500000.0,13100000.0,
Deferred Tax,-2033700000.0,12500000.0,-3100000.0,,
Deferred Income Tax,-2033700000.0,12500000.0,-3100000.0,,
Depreciation Amortization Depletion,283300000.0,282200000.0,282600000.0,260400000.0,
Depreciation And Amortization,283300000.0,282200000.0,282600000.0,260400000.0,
Depreciation,,,,304900000.0,253500000.0
Operating Gains Losses,55300000.0,49900000.0,54400000.0,44500000.0,
Gain Loss On Sale Of PPE,55300000.0,49900000.0,54400000.0,44500000.0,
Net Income From Continuing Operations,2577600000.0,439700000.0,-267000000.0,-498900000.0,
