,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,14834000000.0,10391000000.0,6557000000.0,7518200000.0,
Repurchase Of Capital Stock,-634000000.0,-141000000.0,-99000000.0,-223000000.0,
Repayment Of Debt,,0.0,0.0,-520000000.0,0.0
Issuance Of Debt,0.0,496000000.0,1486000000.0,0.0,
Issuance Of Capital Stock,,,,,0.0
Capital Expenditure,-285000000.0,-252000000.0,-292000000.0,-243500000.0,
Interest Paid Supplemental Data,276000000.0,265000000.0,229000000.0,224000000.0,
Income Tax Paid Supplemental Data,2585000000.0,821000000.0,719000000.0,842400000.0,
End Cash Position,154000000.0,100000000.0,221000000.0,202100000.0,
Beginning Cash Position,100000000.0,221000000.0,202000000.0,76500000.0,
Changes In Cash,54000000.0,-121000000.0,19000000.0,125600000.0,
Financing Cash Flow,-1316000000.0,78000000.0,1126000000.0,-4516300000.0,
Cash Flow From Continuing Financing Activities,-1316000000.0,78000000.0,1126000000.0,-4516300000.0,
Net Other Financing Charges,,,,,-243000000.0
Proceeds From Stock Option Exercised,,,0.0,0.0,7300000.0
Cash Dividends Paid,-682000000.0,-277000000.0,-261000000.0,-3773300000.0,
Preferred Stock Dividend Paid,-8000000.0,-43000000.0,-27000000.0,-26800000.0,
Common Stock Dividend Paid,-674000000.0,-234000000.0,-234000000.0,-3746500000.0,
Net Preferred Stock Issuance,-500000000.0,0.0,0.0,,0.0
Preferred Stock Payments,-500000000.0,0.0,0.0,,
Preferred Stock Issuance,,,,,0.0
Net Common Stock Issuance,-134000000.0,-141000000.0,-99000000.0,-223000000.0,
Common Stock Payments,-134000000.0,-141000000.0,-99000000.0,-223000000.0,
Net Issuance Payments Of Debt,0.0,496000000.0,1486000000.0,-520000000.0,
Net Long Term Debt Issuance,,496000000.0,1486000000.0,-520000000.0,986300000.0
Long Term Debt Payments,,0.0,0.0,-520000000.0,0.0
Long Term Debt Issuance,0.0,496000000.0,1486000000.0,0.0,
Investing Cash Flow,-13749000000.0,-10842000000.0,-7956000000.0,-3119800000.0,
Cash Flow From Continuing Investing Activities,-13749000000.0,-10842000000.0,-7956000000.0,-3119800000.0,
Net Other Investing Changes,171000000.0,-11000000.0,-178000000.0,47900000.0,
Net Investment Purchase And Sale,-13712000000.0,-10626000000.0,-7521000000.0,-2677200000.0,
Sale Of Investment,34234000000.0,15237000000.0,21015000000.0,31338400000.0,
Purchase Of Investment,-47946000000.0,-25863000000.0,-28536000000.0,-34015600000.0,
Net Business Purchase And Sale,,0.0,0.0,-313200000.0,0.0
Purchase Of Business,,0.0,0.0,-313200000.0,0.0
Net PPE Purchase And Sale,-208000000.0,-205000000.0,-257000000.0,-177300000.0,
Sale Of PPE,77000000.0,47000000.0,35000000.0,66200000.0,
Purchase Of PPE,-285000000.0,-252000000.0,-292000000.0,-243500000.0,
Operating Cash Flow,15119000000.0,10643000000.0,6849000000.0,7761700000.0,
Cash Flow From Continuing Operating Activities,15119000000.0,10643000000.0,6849000000.0,7761700000.0,
Change In Working Capital,6514000000.0,6610000000.0,3587000000.0,5355200000.0,
Change In Other Working Capital,-659000000.0,-60000000.0,-589000000.0,-59900000.0,
Change In Payables And Accrued Expense,1236000000.0,700000000.0,199000000.0,399700000.0,
Change In Payable,1236000000.0,700000000.0,199000000.0,399700000.0,
Change In Account Payable,1236000000.0,700000000.0,199000000.0,399700000.0,
Change In Prepaid Assets,-99000000.0,46000000.0,162000000.0,-74900000.0,
Change In Receivables,-2082000000.0,-803000000.0,-1869000000.0,-1655500000.0,
Changes In Account Receivables,-2082000000.0,-803000000.0,-1869000000.0,-1655500000.0,
Stock Based Compensation,122000000.0,121000000.0,123000000.0,100700000.0,
Asset Impairment Charge,0.0,0.0,225000000.0,0.0,
Amortization Of Securities,-30000000.0,41000000.0,-25000000.0,130300000.0,
Depreciation And Amortization,284000000.0,285000000.0,306000000.0,337400000.0,
Amortization Cash Flow,,14200000.0,31000000.0,57700000.0,56900000.0
Amortization Of Intangibles,,14200000.0,31000000.0,57700000.0,56900000.0
Depreciation,284000000.0,285000000.0,306000000.0,279700000.0,
Operating Gains Losses,-251000000.0,-317000000.0,1911000000.0,-1512800000.0,
Gain Loss On Investment Securities,-264000000.0,-353000000.0,1912000000.0,-1509200000.0,
Gain Loss On Sale Of PPE,13000000.0,36000000.0,-1000000.0,-3600000.0,
Net Income From Continuing Operations,8480000000.0,3903000000.0,722000000.0,3350900000.0,
