,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,692300000.0,543200000.0,278100000.0,553000000.0,
Repurchase Of Capital Stock,-150000000.0,0.0,-52700000.0,-150000000.0,
Repayment Of Debt,-362500000.0,-332500000.0,-88300000.0,-103800000.0,
Issuance Of Debt,18800000.0,0.0,1515800000.0,159400000.0,
Issuance Of Capital Stock,18400000.0,9600000.0,,22200000.0,32900000.0
Capital Expenditure,-74400000.0,-76000000.0,-85200000.0,-60200000.0,
Interest Paid Supplemental Data,145600000.0,146400000.0,57000000.0,29900000.0,
Income Tax Paid Supplemental Data,121000000.0,120000000.0,122600000.0,71800000.0,
End Cash Position,118700000.0,170300000.0,108900000.0,94500000.0,
Other Cash Adjustment Outside Changein Cash,,,,,0.0
Beginning Cash Position,170300000.0,108900000.0,94500000.0,82100000.0,
Effect Of Exchange Rate Changes,6000000.0,-4300000.0,1200000.0,12100000.0,
Changes In Cash,-57600000.0,65700000.0,13200000.0,300000.0,
Financing Cash Flow,-636700000.0,-468100000.0,1232700000.0,-222200000.0,
Cash Flow From Continuing Financing Activities,-636700000.0,-468100000.0,1232700000.0,-222200000.0,
Net Other Financing Charges,-9100000.0,,-3500000.0,-17000000.0,
Proceeds From Stock Option Exercised,18400000.0,9600000.0,-2700000.0,22200000.0,
Cash Dividends Paid,-152300000.0,-145200000.0,-138600000.0,-133000000.0,
Common Stock Dividend Paid,-152300000.0,-145200000.0,-138600000.0,-133000000.0,
Net Common Stock Issuance,-150000000.0,0.0,-52700000.0,-150000000.0,
Common Stock Payments,-150000000.0,0.0,-52700000.0,-150000000.0,
Common Stock Issuance,18400000.0,9600000.0,,22200000.0,32900000.0
Net Issuance Payments Of Debt,-343700000.0,-332500000.0,1427500000.0,55600000.0,
Net Long Term Debt Issuance,-343700000.0,-332500000.0,1427500000.0,55600000.0,
Long Term Debt Payments,-362500000.0,-332500000.0,-88300000.0,-103800000.0,
Long Term Debt Issuance,18800000.0,0.0,1515800000.0,159400000.0,
Investing Cash Flow,-187600000.0,-85400000.0,-1582800000.0,-390700000.0,
Cash From Discontinued Investing Activities,,,,,0.0
Cash Flow From Continuing Investing Activities,-187600000.0,-85400000.0,-1582800000.0,-390700000.0,
Net Other Investing Changes,,4100000.0,300000.0,2700000.0,2200000.0
Net Investment Purchase And Sale,-5800000.0,-18500000.0,78900000.0,0.0,
Sale Of Investment,,,78900000.0,0.0,
Net Business Purchase And Sale,-108000000.0,-600000.0,-1580900000.0,-337100000.0,
Sale Of Business,,0.0,0.0,1400000.0,0.0
Purchase Of Business,-108000000.0,-600000.0,-1580900000.0,-338500000.0,
Net PPE Purchase And Sale,600000.0,5600000.0,4100000.0,3900000.0,
Sale Of PPE,600000.0,5600000.0,4100000.0,3900000.0,
Capital Expenditure Reported,-74400000.0,-76000000.0,-85200000.0,-60200000.0,
Operating Cash Flow,766700000.0,619200000.0,363300000.0,613200000.0,
Cash From Discontinued Operating Activities,-200000.0,-1600000.0,-1000000.0,-400000.0,
Cash Flow From Continuing Operating Activities,766900000.0,620800000.0,364300000.0,613600000.0,
Change In Working Capital,-5400000.0,-58600000.0,-215100000.0,-33100000.0,
Change In Other Working Capital,-9500000.0,19900000.0,-31400000.0,12200000.0,
Change In Other Current Liabilities,-48700000.0,-59500000.0,46300000.0,116200000.0,
Change In Other Current Assets,14100000.0,-29100000.0,-16500000.0,-12300000.0,
Change In Payables And Accrued Expense,-3700000.0,-75100000.0,-56900000.0,114200000.0,
Change In Payable,-3700000.0,-75100000.0,-56900000.0,114200000.0,
Change In Account Payable,-3700000.0,-75100000.0,-56900000.0,114200000.0,
Change In Inventory,53600000.0,109600000.0,-187000000.0,-121400000.0,
Change In Receivables,-11200000.0,-24400000.0,30400000.0,-142000000.0,
Changes In Account Receivables,-11200000.0,-24400000.0,30400000.0,-142000000.0,
Other Non Cash Items,-12000000.0,-8700000.0,200000.0,-9400000.0,
Stock Based Compensation,39700000.0,29100000.0,24900000.0,29800000.0,
Asset Impairment Charge,17600000.0,7900000.0,25600000.0,0.0,
Deferred Tax,-11400000.0,-92500000.0,-44800000.0,-9000000.0,
Deferred Income Tax,-11400000.0,-92500000.0,-44800000.0,-9000000.0,
Depreciation Amortization Depletion,114600000.0,114800000.0,106600000.0,77500000.0,
Depreciation And Amortization,114600000.0,114800000.0,106600000.0,77500000.0,
Amortization Cash Flow,54300000.0,55300000.0,52500000.0,26300000.0,
Amortization Of Intangibles,54300000.0,55300000.0,52500000.0,26300000.0,
Depreciation,60300000.0,59500000.0,54100000.0,51200000.0,
Operating Gains Losses,-1800000.0,5900000.0,-16300000.0,1800000.0,
Pension And Employee Benefit Expense,100000.0,12100000.0,-12200000.0,2800000.0,
Earnings Losses From Equity Investments,-1900000.0,-2800000.0,-1800000.0,-300000.0,
Gain Loss On Sale Of Business,,0.0,-200000.0,-1400000.0,100000.0
Net Income From Continuing Operations,625600000.0,622900000.0,483200000.0,556000000.0,
