,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,1452000000.0,2151000000.0,2814000000.0,2958000000.0,
Repurchase Of Capital Stock,-848000000.0,-252000000.0,-230000000.0,-967000000.0,
Repayment Of Debt,-100000000.0,-2000000000.0,0.0,-1779000000.0,
Issuance Of Debt,3740000000.0,2000000000.0,0.0,647000000.0,
Issuance Of Capital Stock,489000000.0,0.0,0.0,390000000.0,
Capital Expenditure,-146000000.0,-157000000.0,-288000000.0,-72000000.0,
Interest Paid Supplemental Data,2219000000.0,1441000000.0,303000000.0,,
Income Tax Paid Supplemental Data,64000000.0,376000000.0,336000000.0,,
End Cash Position,10712000000.0,6801000000.0,11227000000.0,29411000000.0,
Beginning Cash Position,6801000000.0,11227000000.0,29411000000.0,17956000000.0,
Changes In Cash,3911000000.0,-4426000000.0,-18184000000.0,11455000000.0,
Financing Cash Flow,2575000000.0,-5127000000.0,-8345000000.0,11290000000.0,
Cash Flow From Continuing Financing Activities,2575000000.0,-5127000000.0,-8345000000.0,11290000000.0,
Net Other Financing Charges,-27000000.0,-35000000.0,-24000000.0,-19000000.0,
Cash Dividends Paid,-994000000.0,-885000000.0,-762000000.0,-716000000.0,
Preferred Stock Dividend Paid,-104000000.0,-98000000.0,-99000000.0,-108000000.0,
Common Stock Dividend Paid,-890000000.0,-787000000.0,-663000000.0,-608000000.0,
Net Preferred Stock Issuance,-11000000.0,0.0,0.0,-110000000.0,
Preferred Stock Payments,-500000000.0,0.0,0.0,-500000000.0,
Preferred Stock Issuance,489000000.0,0.0,0.0,390000000.0,
Net Common Stock Issuance,-348000000.0,-252000000.0,-230000000.0,-467000000.0,
Common Stock Payments,-348000000.0,-252000000.0,-230000000.0,-467000000.0,
Net Issuance Payments Of Debt,4140000000.0,0.0,0.0,-1234000000.0,
Net Short Term Debt Issuance,500000000.0,0.0,0.0,-102000000.0,
Net Long Term Debt Issuance,3640000000.0,0.0,0.0,-1132000000.0,
Long Term Debt Payments,-100000000.0,-2000000000.0,0.0,-1779000000.0,
Long Term Debt Issuance,3740000000.0,2000000000.0,0.0,647000000.0,
Investing Cash Flow,-262000000.0,-1607000000.0,-12941000000.0,-2865000000.0,
Cash Flow From Continuing Investing Activities,-262000000.0,-1607000000.0,-12941000000.0,-2865000000.0,
Net Other Investing Changes,-158000000.0,-191000000.0,-94000000.0,-93000000.0,
Net Investment Purchase And Sale,-1281000000.0,437000000.0,-3151000000.0,-2207000000.0,
Sale Of Investment,8331000000.0,3047000000.0,5840000000.0,6153000000.0,
Purchase Of Investment,-9612000000.0,-2610000000.0,-8991000000.0,-8360000000.0,
Net Business Purchase And Sale,,0.0,0.0,-1182000000.0,-381000000.0
Sale Of Business,,,,,0.0
Purchase Of Business,,0.0,0.0,-1182000000.0,-381000000.0
Net Intangibles Purchase And Sale,-146000000.0,-157000000.0,-288000000.0,-72000000.0,
Purchase Of Intangibles,-146000000.0,-157000000.0,-288000000.0,-72000000.0,
Operating Cash Flow,1598000000.0,2308000000.0,3102000000.0,3030000000.0,
Cash Flow From Continuing Operating Activities,1598000000.0,2308000000.0,3102000000.0,3030000000.0,
Change In Working Capital,-1027000000.0,-574000000.0,-274000000.0,-294000000.0,
Change In Other Current Liabilities,3000000.0,-659000000.0,2092000000.0,-76000000.0,
Change In Other Current Assets,-199000000.0,-109000000.0,-124000000.0,13000000.0,
Change In Receivables,-831000000.0,194000000.0,-2242000000.0,-231000000.0,
Changes In Account Receivables,-831000000.0,194000000.0,-2242000000.0,-231000000.0,
Other Non Cash Items,-79000000.0,31000000.0,514000000.0,1047000000.0,
Deferred Tax,21000000.0,32000000.0,22000000.0,165000000.0,
Deferred Income Tax,21000000.0,32000000.0,22000000.0,165000000.0,
Depreciation Amortization Depletion,144000000.0,236000000.0,353000000.0,371000000.0,
Depreciation And Amortization,144000000.0,236000000.0,353000000.0,371000000.0,
Operating Gains Losses,159000000.0,-44000000.0,-29000000.0,-256000000.0,
Gain Loss On Investment Securities,208000000.0,5000000.0,1000000.0,-3000000.0,
Gain Loss On Sale Of Business,,,,,0.0
Net Income From Continuing Operations,1893000000.0,2074000000.0,2245000000.0,2521000000.0,
