,2024-09-30,2023-09-30,2022-09-30,2021-09-30,2020-09-30
Free Cash Flow,639100000.0,1214100000.0,682000000.0,1140700000.0,
Repurchase Of Capital Stock,-594900000.0,-311500000.0,-301300000.0,-299700000.0,
Repayment Of Debt,0.0,-875500000.0,-210000000.0,-2500000.0,
Issuance Of Debt,674000000.0,0.0,59600000.0,1972900000.0,
Capital Expenditure,-224700000.0,-160500000.0,-141100000.0,-120300000.0,
End Cash Position,471000000.0,1080400000.0,507900000.0,679400000.0,
Beginning Cash Position,1080400000.0,507900000.0,679400000.0,730400000.0,
Effect Of Exchange Rate Changes,12100000.0,19200000.0,-52600000.0,16800000.0,
Changes In Cash,-621500000.0,553300000.0,-118900000.0,-67800000.0,
Financing Cash Flow,-502800000.0,-1675600000.0,-934200000.0,1297800000.0,
Cash Flow From Continuing Financing Activities,-502800000.0,-1675600000.0,-934200000.0,1297800000.0,
Net Other Financing Charges,-50300000.0,-34700000.0,-21000000.0,-30400000.0,
Proceeds From Stock Option Exercised,39400000.0,88500000.0,57900000.0,154600000.0,
Cash Dividends Paid,-571000000.0,-542400000.0,-519400000.0,-497100000.0,
Common Stock Dividend Paid,-571000000.0,-542400000.0,-519400000.0,-497100000.0,
Net Common Stock Issuance,-594900000.0,-311500000.0,-301300000.0,-299700000.0,
Common Stock Payments,-594900000.0,-311500000.0,-301300000.0,-299700000.0,
Net Issuance Payments Of Debt,674000000.0,-875500000.0,-150400000.0,1970400000.0,
Net Short Term Debt Issuance,674000000.0,-275700000.0,-150400000.0,484800000.0,
Short Term Debt Payments,0.0,-275700000.0,-210000000.0,-2500000.0,
Short Term Debt Issuance,674000000.0,0.0,59600000.0,487300000.0,
Net Long Term Debt Issuance,0.0,-599800000.0,0.0,1485600000.0,
Long Term Debt Payments,0.0,-599800000.0,0.0,0.0,
Long Term Debt Issuance,,0.0,0.0,1485600000.0,0.0
Investing Cash Flow,-982500000.0,854300000.0,-7800000.0,-2626600000.0,
Cash Flow From Continuing Investing Activities,-982500000.0,854300000.0,-7800000.0,-2626600000.0,
Net Other Investing Changes,1200000.0,-100000.0,-500000.0,-4200000.0,
Net Investment Purchase And Sale,-9800000.0,1183300000.0,150400000.0,-13600000.0,
Sale Of Investment,200000.0,1210400000.0,210200000.0,0.0,
Purchase Of Investment,-10000000.0,-27100000.0,-59800000.0,-13600000.0,
Net Business Purchase And Sale,-749200000.0,-168400000.0,-16600000.0,-2488500000.0,
Purchase Of Business,-749200000.0,-168400000.0,-16600000.0,-2488500000.0,
Net PPE Purchase And Sale,,,600000.0,400000.0,14900000.0
Sale Of PPE,,,600000.0,400000.0,14900000.0
Capital Expenditure Reported,-224700000.0,-160500000.0,-141100000.0,-120300000.0,
Operating Cash Flow,863800000.0,1374600000.0,823100000.0,1261000000.0,
Cash Flow From Continuing Operating Activities,863800000.0,1374600000.0,823100000.0,1261000000.0,
Change In Working Capital,-421700000.0,-120100000.0,-529700000.0,164900000.0,
Change In Other Working Capital,-667700000.0,474300000.0,6700000.0,321000000.0,
Change In Payables And Accrued Expense,-290700000.0,70200000.0,172000000.0,184800000.0,
Change In Payable,-290700000.0,70200000.0,172000000.0,184800000.0,
Change In Account Payable,-290700000.0,70200000.0,172000000.0,184800000.0,
Change In Inventory,131500000.0,-295900000.0,-292800000.0,-202800000.0,
Change In Receivables,405200000.0,-368700000.0,-415600000.0,-138100000.0,
Other Non Cash Items,,-25900000.0,-53600000.0,-63800000.0,-62100000.0
Stock Based Compensation,99800000.0,88300000.0,68100000.0,51700000.0,
Unrealized Gain Loss On Investment Securities,-100000.0,-279300000.0,136900000.0,-397400000.0,
Asset Impairment Charge,0.0,157500000.0,0.0,0.0,
Deferred Tax,-68100000.0,-100100000.0,-33600000.0,-184100000.0,
Deferred Income Tax,-68100000.0,-100100000.0,-33600000.0,-184100000.0,
Depreciation Amortization Depletion,317400000.0,250400000.0,238900000.0,189800000.0,
Depreciation And Amortization,317400000.0,250400000.0,238900000.0,189800000.0,
Amortization Cash Flow,155000000.0,116600000.0,112300000.0,65900000.0,
Amortization Of Intangibles,155000000.0,116600000.0,112300000.0,65900000.0,
Depreciation,162400000.0,133800000.0,126600000.0,123900000.0,
Operating Gains Losses,-10800000.0,99900000.0,23400000.0,155600000.0,
Pension And Employee Benefit Expense,-10400000.0,99400000.0,22800000.0,155100000.0,
Gain Loss On Investment Securities,,,,-28000000.0,22000000.0
Gain Loss On Sale Of PPE,-400000.0,500000.0,600000.0,500000.0,
Net Income From Continuing Operations,947300000.0,1278000000.0,919100000.0,1344300000.0,
