,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,3059071000.0,3137510000.0,3116580000.0,3109467000.0,
Repurchase Of Capital Stock,-60679000.0,-162740000.0,-189355000.0,-4866000.0,
Repayment Of Debt,-2969288000.0,-2658525000.0,-3721864000.0,-10076809000.0,
Issuance Of Debt,1095546000.0,3629840000.0,3449403000.0,9251217000.0,
Issuance Of Capital Stock,,0.0,0.0,338121000.0,1556148000.0
Capital Expenditure,-755584000.0,-793283000.0,-650024000.0,-527935000.0,
End Cash Position,1400345000.0,1168991000.0,621628000.0,533936000.0,
Beginning Cash Position,1168991000.0,621628000.0,533936000.0,1011613000.0,
Changes In Cash,231354000.0,547363000.0,87692000.0,-477677000.0,
Financing Cash Flow,-4991622000.0,-2020249000.0,-3052348000.0,-3562315000.0,
Cash Flow From Continuing Financing Activities,-4991622000.0,-2020249000.0,-3052348000.0,-3562315000.0,
Net Other Financing Charges,-11242000.0,-32143000.0,1940000.0,-379278000.0,
Cash Dividends Paid,-3045959000.0,-2796681000.0,-2592472000.0,-2690700000.0,
Preferred Stock Dividend Paid,-2646773000.0,-2441133000.0,-2265922000.0,-2353679000.0,
Common Stock Dividend Paid,-399186000.0,-355548000.0,-326550000.0,-337021000.0,
Net Preferred Stock Issuance,-7500000.0,-2500000.0,0.0,0.0,
Preferred Stock Payments,-7500000.0,-2500000.0,0.0,0.0,
Net Common Stock Issuance,-53179000.0,-160240000.0,-189355000.0,333255000.0,
Common Stock Payments,-53179000.0,-160240000.0,-189355000.0,-4866000.0,
Common Stock Issuance,,0.0,0.0,338121000.0,1556148000.0
Net Issuance Payments Of Debt,-1873742000.0,971315000.0,-272461000.0,-825592000.0,
Net Long Term Debt Issuance,-1873742000.0,971315000.0,-272461000.0,-825592000.0,
Long Term Debt Payments,-2969288000.0,-2658525000.0,-3721864000.0,-10076809000.0,
Long Term Debt Issuance,1095546000.0,3629840000.0,3449403000.0,9251217000.0,
Investing Cash Flow,1408321000.0,-1363181000.0,-626564000.0,-552764000.0,
Cash Flow From Continuing Investing Activities,1408321000.0,-1363181000.0,-626564000.0,-552764000.0,
Net Other Investing Changes,31079000.0,8365000.0,9172000.0,8379000.0,
Dividends Received Cfi,313016000.0,299140000.0,472510000.0,243279000.0,
Net Investment Purchase And Sale,1942342000.0,-727613000.0,-40054000.0,31899000.0,
Sale Of Investment,2783528000.0,304129000.0,26086000.0,65504000.0,
Purchase Of Investment,-841186000.0,-1031742000.0,-66140000.0,-33605000.0,
Net Investment Properties Purchase And Sale,46228000.0,0.0,20988000.0,5595000.0,
Sale Of Investment Properties,46228000.0,0.0,20988000.0,,
Net Business Purchase And Sale,-168760000.0,-149790000.0,-439156000.0,-313981000.0,
Purchase Of Business,-168760000.0,-149790000.0,-439156000.0,-313981000.0,
Capital Expenditure Reported,-755584000.0,-793283000.0,-650024000.0,-527935000.0,
Operating Cash Flow,3814655000.0,3930793000.0,3766604000.0,3637402000.0,
Cash Flow From Continuing Operating Activities,3814655000.0,3930793000.0,3766604000.0,3637402000.0,
Dividend Received Cfo,362734000.0,458709000.0,561583000.0,436881000.0,
Change In Working Capital,-72479000.0,258134000.0,148886000.0,391728000.0,
Change In Other Working Capital,-235884000.0,24423000.0,-104567000.0,-77592000.0,
Change In Payables And Accrued Expense,127244000.0,245513000.0,190103000.0,203968000.0,
Change In Payable,127244000.0,245513000.0,190103000.0,203968000.0,
Change In Account Payable,127244000.0,245513000.0,190103000.0,203968000.0,
Change In Receivables,36161000.0,-11802000.0,63350000.0,265352000.0,
Other Non Cash Items,76620000.0,12922000.0,19587000.0,-184236000.0,
Unrealized Gain Loss On Investment Securities,17392000.0,-11892000.0,61204000.0,8095000.0,
Depreciation Amortization Depletion,1359861000.0,1333584000.0,1292113000.0,1325895000.0,
Depreciation And Amortization,1359861000.0,1333584000.0,1292113000.0,1325895000.0,
Operating Gains Losses,-658494000.0,-737682000.0,-769154000.0,-909668000.0,
Earnings Losses From Equity Investments,-207322000.0,-375663000.0,-647977000.0,-782837000.0,
Net Foreign Currency Exchange Gain Loss,,,,-178672000.0,0.0
Gain Loss On Sale Of Business,-451172000.0,-362019000.0,-121177000.0,-178672000.0,
Net Income From Continuing Operations,2729021000.0,2617018000.0,2452385000.0,2568707000.0,
