,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,7267000000.0,6927000000.0,6911000000.0,6789000000.0,
Repurchase Of Capital Stock,-4000000000.0,-3000000000.0,-3000000000.0,-2000000000.0,
Repayment Of Debt,-3607000000.0,-7717000000.0,-4065000000.0,-11738000000.0,
Issuance Of Debt,1204000000.0,7562000000.0,4719000000.0,20649000000.0,
Capital Expenditure,-1400000000.0,-1479000000.0,-2243000000.0,-2523000000.0,
Interest Paid Supplemental Data,1570000000.0,1385000000.0,667000000.0,555000000.0,
Income Tax Paid Supplemental Data,1834000000.0,1482000000.0,1234000000.0,2182000000.0,
End Cash Position,4040000000.0,8097000000.0,8537000000.0,4491000000.0,
Beginning Cash Position,8097000000.0,8537000000.0,4491000000.0,10336000000.0,
Effect Of Exchange Rate Changes,-91000000.0,-82000000.0,-139000000.0,194000000.0,
Changes In Cash,-3966000000.0,-358000000.0,4185000000.0,-6039000000.0,
Financing Cash Flow,-6792000000.0,-3622000000.0,-2810000000.0,6581000000.0,
Cash Flow From Continuing Financing Activities,-6791000000.0,-3622000000.0,-2810000000.0,6581000000.0,
Net Other Financing Charges,194000000.0,56000000.0,-9000000.0,65000000.0,
Proceeds From Stock Option Exercised,,,,156000000.0,196000000.0
Cash Dividends Paid,-583000000.0,-523000000.0,-455000000.0,-395000000.0,
Common Stock Dividend Paid,,,,,-337000000.0
Net Common Stock Issuance,-4000000000.0,-3000000000.0,-3000000000.0,-2000000000.0,
Common Stock Payments,-4000000000.0,-3000000000.0,-3000000000.0,-2000000000.0,
Net Issuance Payments Of Debt,-2403000000.0,-155000000.0,654000000.0,8911000000.0,
Net Short Term Debt Issuance,0.0,-315000000.0,-2164000000.0,2512000000.0,
Short Term Debt Payments,0.0,-1935000000.0,-3690000000.0,0.0,
Short Term Debt Issuance,0.0,1620000000.0,1526000000.0,2512000000.0,
Net Long Term Debt Issuance,-2403000000.0,160000000.0,2818000000.0,6399000000.0,
Long Term Debt Payments,-3607000000.0,-5782000000.0,-375000000.0,-11738000000.0,
Long Term Debt Issuance,1204000000.0,5942000000.0,3193000000.0,18137000000.0,
Investing Cash Flow,-5841000000.0,-5142000000.0,-2159000000.0,-21932000000.0,
Cash Flow From Continuing Investing Activities,-5841000000.0,-5142000000.0,-2159000000.0,-21932000000.0,
Net Other Investing Changes,8000000.0,33000000.0,20000000.0,-42000000.0,
Net Investment Purchase And Sale,-1374000000.0,-123000000.0,79000000.0,8000000.0,
Sale Of Investment,2022000000.0,85000000.0,131000000.0,8000000.0,
Purchase Of Investment,-3396000000.0,-208000000.0,-52000000.0,,
Net Business Purchase And Sale,-3132000000.0,-3660000000.0,-39000000.0,-19395000000.0,
Sale Of Business,,,,0.0,0.0
Purchase Of Business,-3132000000.0,-3660000000.0,-39000000.0,-19395000000.0,
Net PPE Purchase And Sale,-1343000000.0,-1392000000.0,-2219000000.0,-2503000000.0,
Sale Of PPE,57000000.0,87000000.0,24000000.0,20000000.0,
Purchase Of PPE,-1400000000.0,-1479000000.0,-2243000000.0,-2523000000.0,
Operating Cash Flow,8667000000.0,8406000000.0,9154000000.0,9312000000.0,
Cash Flow From Continuing Operating Activities,8667000000.0,8406000000.0,9154000000.0,9312000000.0,
Change In Working Capital,-334000000.0,-495000000.0,-1008000000.0,-1514000000.0,
Change In Other Working Capital,-348000000.0,-550000000.0,-401000000.0,-724000000.0,
Change In Payables And Accrued Expense,212000000.0,-500000000.0,648000000.0,479000000.0,
Change In Payable,212000000.0,-500000000.0,648000000.0,479000000.0,
Change In Account Payable,212000000.0,-500000000.0,648000000.0,479000000.0,
Change In Inventory,-27000000.0,598000000.0,-825000000.0,-1065000000.0,
Change In Receivables,-171000000.0,-43000000.0,-430000000.0,-204000000.0,
Changes In Account Receivables,-171000000.0,-43000000.0,-430000000.0,-204000000.0,
Other Non Cash Items,463000000.0,562000000.0,509000000.0,156000000.0,
Stock Based Compensation,301000000.0,278000000.0,307000000.0,230000000.0,
Deferred Tax,-1209000000.0,-1300000000.0,-995000000.0,-647000000.0,
Deferred Income Tax,-1209000000.0,-1300000000.0,-995000000.0,-647000000.0,
Depreciation Amortization Depletion,3108000000.0,3406000000.0,3381000000.0,2592000000.0,
Depreciation And Amortization,3108000000.0,3406000000.0,3381000000.0,2592000000.0,
Amortization Cash Flow,1952000000.0,2338000000.0,2395000000.0,1761000000.0,
Amortization Of Intangibles,1952000000.0,2338000000.0,2395000000.0,1761000000.0,
Depreciation,1156000000.0,1068000000.0,986000000.0,831000000.0,
Operating Gains Losses,,,26000000.0,767000000.0,
Gain Loss On Sale Of Business,,,,0.0,0.0
Net Income From Continuing Operations,6338000000.0,5955000000.0,6960000000.0,7728000000.0,
