,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Free Cash Flow,-157800000.0,-203100000.0,99400000.0,843400000.0
Repurchase Of Capital Stock,0.0,0.0,-200000000.0,0.0
Repayment Of Debt,-1339600000.0,-1366800000.0,-200000.0,0.0
Issuance Of Debt,1348900000.0,3248900000.0,0.0,0.0
Issuance Of Capital Stock,39400000.0,65400000.0,19700000.0,14200000.0
Capital Expenditure,-141700000.0,-204200000.0,-158600000.0,-68900000.0
Interest Paid Supplemental Data,137000000.0,79000000.0,0.0,1900000.0
Income Tax Paid Supplemental Data,150200000.0,176800000.0,31000000.0,70700000.0
End Cash Position,1102000000.0,1234600000.0,2195400000.0,2060200000.0
Beginning Cash Position,1234600000.0,2195400000.0,2060200000.0,1993400000.0
Effect Of Exchange Rate Changes,3100000.0,-15900000.0,-5200000.0,18600000.0
Changes In Cash,-135700000.0,-944900000.0,140400000.0,48200000.0
Financing Cash Flow,-91400000.0,1930300000.0,-256800000.0,-57400000.0
Cash Flow From Continuing Financing Activities,-91400000.0,1930300000.0,-256800000.0,-57400000.0
Net Other Financing Charges,-140100000.0,-17200000.0,-76300000.0,-71600000.0
Net Common Stock Issuance,39400000.0,65400000.0,-180300000.0,14200000.0
Common Stock Payments,0.0,0.0,-200000000.0,0.0
Common Stock Issuance,39400000.0,65400000.0,19700000.0,14200000.0
Net Issuance Payments Of Debt,9300000.0,1882100000.0,-200000.0,0.0
Net Long Term Debt Issuance,9300000.0,1882100000.0,-200000.0,0.0
Long Term Debt Payments,-1339600000.0,-1366800000.0,-200000.0,0.0
Long Term Debt Issuance,1348900000.0,3248900000.0,0.0,0.0
Investing Cash Flow,-28200000.0,-2876300000.0,139200000.0,-806800000.0
Cash Flow From Continuing Investing Activities,-28200000.0,-2876300000.0,139200000.0,-806800000.0
Net Other Investing Changes,-16600000.0,-8100000.0,800000.0,
Net Investment Purchase And Sale,148200000.0,646900000.0,458300000.0,-635400000.0
Sale Of Investment,166700000.0,662600000.0,1226900000.0,593800000.0
Purchase Of Investment,-18500000.0,-15700000.0,-768600000.0,-1229200000.0
Net Business Purchase And Sale,-18100000.0,-3310900000.0,-161300000.0,-102500000.0
Purchase Of Business,-18100000.0,-3310900000.0,-161300000.0,-102500000.0
Net PPE Purchase And Sale,-141700000.0,-204200000.0,-158600000.0,-68900000.0
Purchase Of PPE,-141700000.0,-204200000.0,-158600000.0,-68900000.0
Operating Cash Flow,-16100000.0,1100000.0,258000000.0,912300000.0
Cash Flow From Continuing Operating Activities,-16100000.0,1100000.0,258000000.0,912300000.0
Change In Working Capital,-887100000.0,-855800000.0,-681600000.0,-25000000.0
Change In Other Working Capital,-11800000.0,-141900000.0,-30900000.0,152500000.0
Change In Other Current Assets,-603400000.0,-492800000.0,-387000000.0,-221400000.0
Change In Payables And Accrued Expense,-200900000.0,-405100000.0,-45600000.0,78700000.0
Change In Payable,-200900000.0,-405100000.0,-45600000.0,78700000.0
Change In Account Payable,-200900000.0,-405100000.0,-45600000.0,78700000.0
Change In Prepaid Assets,-154700000.0,77200000.0,-200200000.0,-82000000.0
Change In Inventory,,,4106000.0,2503000.0
Change In Receivables,83700000.0,106800000.0,-17900000.0,47200000.0
Changes In Account Receivables,83700000.0,106800000.0,-17900000.0,47200000.0
Other Non Cash Items,232200000.0,177800000.0,57200000.0,36100000.0
Stock Based Compensation,311200000.0,327300000.0,134600000.0,101800000.0
Unrealized Gain Loss On Investment Securities,8600000.0,31500000.0,-6000000.0,-41600000.0
Asset Impairment Charge,2452000000.0,79100000.0,70600000.0,39100000.0
Deferred Tax,-150400000.0,-410800000.0,8100000.0,10600000.0
Deferred Income Tax,-150400000.0,-410800000.0,8100000.0,10600000.0
Depreciation Amortization Depletion,1761600000.0,1776700000.0,257100000.0,202400000.0
Depreciation And Amortization,1761600000.0,1776700000.0,257100000.0,202400000.0
Amortization Cash Flow,1626100000.0,1686400000.0,195900000.0,146100000.0
Amortization Of Intangibles,1626100000.0,1686400000.0,195900000.0,146100000.0
Depreciation,135500000.0,90300000.0,61200000.0,56300000.0
Operating Gains Losses,,,-6015000.0,-41588000.0
Gain Loss On Investment Securities,,,-6015000.0,-41588000.0
Net Income From Continuing Operations,-3744200000.0,-1124700000.0,418000000.0,588900000.0
