,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,605161000.0,520317000.0,584058000.0,497436000.0
Repurchase Of Capital Stock,0.0,-25009000.0,-49028000.0,0.0
Repayment Of Debt,-153615000.0,-24669000.0,-2672000.0,-301096000.0
Issuance Of Debt,301697000.0,0.0,0.0,513074000.0
Issuance Of Capital Stock,0.0,0.0,629552000.0,899053000.0
Capital Expenditure,-271687000.0,-312347000.0,-236013000.0,-166524000.0
Interest Paid Supplemental Data,192101000.0,184201000.0,154911000.0,136978000.0
Income Tax Paid Supplemental Data,1044000.0,1911000.0,1145000.0,4778000.0
End Cash Position,35427000.0,34866000.0,30194000.0,28418000.0
Beginning Cash Position,34866000.0,30194000.0,28418000.0,24171000.0
Changes In Cash,561000.0,4672000.0,1776000.0,4247000.0
Financing Cash Flow,-599936000.0,-538854000.0,111233000.0,612540000.0
Cash Flow From Continuing Financing Activities,-599936000.0,-538854000.0,111233000.0,612540000.0
Net Other Financing Charges,-66510000.0,-52629000.0,-58614000.0,-90486000.0
Cash Dividends Paid,-563333000.0,-544622000.0,-488005000.0,-438005000.0
Preferred Stock Dividend Paid,-4851000.0,-4770000.0,-4381000.0,-4225000.0
Common Stock Dividend Paid,-558482000.0,-539852000.0,-483624000.0,-433780000.0
Net Common Stock Issuance,0.0,-25009000.0,580524000.0,899053000.0
Common Stock Payments,0.0,-25009000.0,-49028000.0,0.0
Common Stock Issuance,0.0,0.0,629552000.0,899053000.0
Net Issuance Payments Of Debt,29907000.0,83406000.0,77328000.0,241978000.0
Net Short Term Debt Issuance,-118175000.0,108075000.0,80000000.0,30000000.0
Net Long Term Debt Issuance,148082000.0,-24669000.0,-2672000.0,211978000.0
Long Term Debt Payments,-153615000.0,-24669000.0,-2672000.0,-301096000.0
Long Term Debt Issuance,301697000.0,0.0,0.0,513074000.0
Investing Cash Flow,-276351000.0,-289138000.0,-929528000.0,-1272253000.0
Cash Flow From Continuing Investing Activities,-276351000.0,-289138000.0,-929528000.0,-1272253000.0
Net Other Investing Changes,-32168000.0,-85310000.0,-75183000.0,111690000.0
Dividends Received Cfi,41097000.0,14399000.0,81443000.0,37362000.0
Net Investment Purchase And Sale,4624000.0,14471000.0,0.0,0.0
Sale Of Investment,4624000.0,14471000.0,0.0,0.0
Net Investment Properties Purchase And Sale,31118000.0,152044000.0,-498363000.0,-1142460000.0
Sale Of Investment Properties,98650000.0,325767000.0,40808000.0,280077000.0
Purchase Of Investment Properties,-67532000.0,-173723000.0,-539171000.0,-1422537000.0
Net Business Purchase And Sale,-49335000.0,-72395000.0,-201412000.0,-112321000.0
Sale Of Business,1000000.0,,0.0,
Purchase Of Business,-50335000.0,-72395000.0,-201412000.0,-112321000.0
Capital Expenditure Reported,-271687000.0,-312347000.0,-236013000.0,-166524000.0
Operating Cash Flow,876848000.0,832664000.0,820071000.0,663960000.0
Cash Flow From Continuing Operating Activities,876848000.0,832664000.0,820071000.0,663960000.0
Change In Working Capital,-35903000.0,-36407000.0,-3348000.0,-22007000.0
Change In Other Current Liabilities,-4759000.0,-2828000.0,-13140000.0,11447000.0
Change In Other Current Assets,-31144000.0,-33579000.0,9792000.0,-33454000.0
Other Non Cash Items,27107000.0,9089000.0,31695000.0,19182000.0
Stock Based Compensation,32625000.0,32896000.0,27505000.0,22052000.0
Provisionand Write Offof Assets,37456000.0,702000.0,140000.0,
Depreciation Amortization Depletion,695473000.0,691838000.0,679572000.0,619833000.0
Depreciation And Amortization,695473000.0,691838000.0,679572000.0,619833000.0
Operating Gains Losses,24213000.0,-339942000.0,-8072000.0,-136093000.0
Earnings Losses From Equity Investments,41080000.0,11251000.0,17422000.0,-42377000.0
Gain Loss On Investment Securities,-16867000.0,-351193000.0,-25494000.0,-136052000.0
Net Income From Continuing Operations,95877000.0,474488000.0,92579000.0,160993000.0
