,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,5894000000.0,4773000000.0,5742000000.0,6096000000.0,
Repurchase Of Capital Stock,-1505000000.0,-705000000.0,-6282000000.0,-7291000000.0,
Repayment Of Debt,-2226000000.0,-2190000000.0,-2291000000.0,-1299000000.0,
Issuance Of Debt,800000000.0,1599000000.0,6080000000.0,4201000000.0,
Capital Expenditure,-3452000000.0,-3606000000.0,-3620000000.0,-2936000000.0,
Interest Paid Supplemental Data,1260000000.0,1268000000.0,1156000000.0,1087000000.0,
Income Tax Paid Supplemental Data,1340000000.0,1486000000.0,2060000000.0,1658000000.0,
End Cash Position,1028000000.0,1074000000.0,987000000.0,983000000.0,
Beginning Cash Position,1074000000.0,987000000.0,983000000.0,1818000000.0,
Changes In Cash,-46000000.0,87000000.0,4000000.0,-835000000.0,
Financing Cash Flow,-6067000000.0,-4625000000.0,-5887000000.0,-7158000000.0,
Cash Flow From Continuing Financing Activities,-6067000000.0,-4625000000.0,-5887000000.0,-7158000000.0,
Net Other Financing Charges,77000000.0,-156000000.0,-235000000.0,31000000.0,
Cash Dividends Paid,-3213000000.0,-3173000000.0,-3159000000.0,-2800000000.0,
Common Stock Dividend Paid,-3213000000.0,-3173000000.0,-3159000000.0,-2800000000.0,
Net Common Stock Issuance,-1505000000.0,-705000000.0,-6282000000.0,-7291000000.0,
Common Stock Payments,-1505000000.0,-705000000.0,-6282000000.0,-7291000000.0,
Net Issuance Payments Of Debt,-1426000000.0,-591000000.0,3789000000.0,2902000000.0,
Net Short Term Debt Issuance,,,-205000000.0,325000000.0,-127000000.0
Net Long Term Debt Issuance,-1426000000.0,-591000000.0,3789000000.0,2902000000.0,
Long Term Debt Payments,-2226000000.0,-2190000000.0,-2291000000.0,-1299000000.0,
Long Term Debt Issuance,800000000.0,1599000000.0,6080000000.0,4201000000.0,
Investing Cash Flow,-3325000000.0,-3667000000.0,-3471000000.0,-2709000000.0,
Cash Flow From Continuing Investing Activities,-3325000000.0,-3667000000.0,-3471000000.0,-2709000000.0,
Net Other Investing Changes,127000000.0,-61000000.0,149000000.0,227000000.0,
Net Investment Purchase And Sale,,,0.0,24000000.0,5000000.0
Sale Of Investment,,,46000000.0,94000000.0,141000000.0
Purchase Of Investment,,,-46000000.0,-70000000.0,-136000000.0
Capital Expenditure Reported,-3452000000.0,-3606000000.0,-3620000000.0,-2936000000.0,
Operating Cash Flow,9346000000.0,8379000000.0,9362000000.0,9032000000.0,
Cash Flow From Continuing Operating Activities,9346000000.0,8379000000.0,9362000000.0,9032000000.0,
Change In Working Capital,186000000.0,-303000000.0,8000000.0,203000000.0,
Change In Other Working Capital,-87000000.0,129000000.0,-273000000.0,188000000.0,
Change In Other Current Assets,-69000000.0,-38000000.0,5000000.0,31000000.0,
Change In Payables And Accrued Expense,189000000.0,-215000000.0,565000000.0,184000000.0,
Change In Payable,189000000.0,-215000000.0,565000000.0,184000000.0,
Change In Account Payable,189000000.0,-215000000.0,565000000.0,184000000.0,
Change In Tax Payable,,,,188000000.0,170000000.0
Change In Income Tax Payable,,,,188000000.0,170000000.0
Change In Inventory,-26000000.0,-2000000.0,-120000000.0,17000000.0,
Change In Receivables,179000000.0,-177000000.0,-169000000.0,-217000000.0,
Changes In Account Receivables,179000000.0,-177000000.0,-169000000.0,-217000000.0,
Other Non Cash Items,-13000000.0,-132000000.0,-152000000.0,-56000000.0,
Deferred Tax,28000000.0,117000000.0,262000000.0,154000000.0,
Deferred Income Tax,28000000.0,117000000.0,262000000.0,154000000.0,
Depreciation Amortization Depletion,2398000000.0,2318000000.0,2246000000.0,2208000000.0,
Depreciation And Amortization,2398000000.0,2318000000.0,2246000000.0,2208000000.0,
Depreciation,2398000000.0,2318000000.0,2246000000.0,2208000000.0,
Operating Gains Losses,,,-176000000.0,-98000000.0,-115000000.0
Net Income From Continuing Operations,6747000000.0,6379000000.0,6998000000.0,6523000000.0,
