,2024-09-30,2023-09-30,2022-09-30,2021-09-30,2020-09-30
Free Cash Flow,18693000000.0,19696000000.0,17879000000.0,14522000000.0,
Repurchase Of Capital Stock,-16713000000.0,-12101000000.0,-11589000000.0,-8676000000.0,
Repayment Of Debt,0.0,-2250000000.0,-1000000000.0,-3000000000.0,
Issuance Of Debt,0.0,0.0,3218000000.0,0.0,
Capital Expenditure,-1257000000.0,-1059000000.0,-970000000.0,-705000000.0,
Interest Paid Supplemental Data,583000000.0,617000000.0,607000000.0,643000000.0,
Income Tax Paid Supplemental Data,5775000000.0,3433000000.0,3741000000.0,3012000000.0,
End Cash Position,19763000000.0,21990000000.0,20377000000.0,19799000000.0,
Beginning Cash Position,21990000000.0,20377000000.0,19799000000.0,19171000000.0,
Effect Of Exchange Rate Changes,382000000.0,636000000.0,-1287000000.0,-37000000.0,
Changes In Cash,-2609000000.0,977000000.0,1865000000.0,665000000.0,
Financing Cash Flow,-20633000000.0,-17772000000.0,-12696000000.0,-14410000000.0,
Cash Flow From Continuing Financing Activities,-20633000000.0,-17772000000.0,-12696000000.0,-14410000000.0,
Net Other Financing Charges,-38000000.0,70000000.0,-318000000.0,-144000000.0,
Proceeds From Stock Option Exercised,335000000.0,260000000.0,196000000.0,208000000.0,
Cash Dividends Paid,-4217000000.0,-3751000000.0,-3203000000.0,-2798000000.0,
Common Stock Dividend Paid,,-3751000000.0,-3203000000.0,-2798000000.0,-2664000000.0
Net Common Stock Issuance,-16713000000.0,-12101000000.0,-11589000000.0,-8676000000.0,
Common Stock Payments,-16713000000.0,-12101000000.0,-11589000000.0,-8676000000.0,
Net Issuance Payments Of Debt,0.0,-2250000000.0,2218000000.0,-3000000000.0,
Net Long Term Debt Issuance,0.0,-2250000000.0,2218000000.0,-3000000000.0,
Long Term Debt Payments,0.0,-2250000000.0,-1000000000.0,-3000000000.0,
Long Term Debt Issuance,0.0,0.0,3218000000.0,0.0,
Investing Cash Flow,-1926000000.0,-2006000000.0,-4288000000.0,-152000000.0,
Cash Flow From Continuing Investing Activities,-1926000000.0,-2006000000.0,-4288000000.0,-152000000.0,
Net Other Investing Changes,-93000000.0,-25000000.0,128000000.0,109000000.0,
Net Investment Purchase And Sale,339000000.0,-922000000.0,-1498000000.0,519000000.0,
Sale Of Investment,5013000000.0,3562000000.0,4585000000.0,5701000000.0,
Purchase Of Investment,-4674000000.0,-4484000000.0,-6083000000.0,-5182000000.0,
Net Business Purchase And Sale,-915000000.0,0.0,-1948000000.0,-75000000.0,
Purchase Of Business,-915000000.0,0.0,-1948000000.0,-75000000.0,
Net PPE Purchase And Sale,-1257000000.0,-1059000000.0,-970000000.0,-705000000.0,
Purchase Of PPE,-1257000000.0,-1059000000.0,-970000000.0,-705000000.0,
Operating Cash Flow,19950000000.0,20755000000.0,18849000000.0,15227000000.0,
Cash Flow From Continuing Operating Activities,19950000000.0,20755000000.0,18849000000.0,15227000000.0,
Change In Working Capital,-15432000000.0,-10022000000.0,-7657000000.0,-6702000000.0,
Change In Other Working Capital,-14067000000.0,-11014000000.0,-9351000000.0,-7510000000.0,
Change In Other Current Assets,-199000000.0,-24000000.0,-666000000.0,-147000000.0,
Change In Payables And Accrued Expense,1246000000.0,1426000000.0,2854000000.0,1766000000.0,
Change In Accrued Expense,-704000000.0,1586000000.0,1531000000.0,999000000.0,
Change In Payable,1950000000.0,-160000000.0,1323000000.0,767000000.0,
Change In Account Payable,109000000.0,34000000.0,67000000.0,88000000.0,
Change In Receivables,-2412000000.0,-410000000.0,-494000000.0,-811000000.0,
Changes In Account Receivables,-237000000.0,-250000000.0,-97000000.0,-343000000.0,
Other Non Cash Items,13761000000.0,12175000000.0,10158000000.0,8111000000.0,
Stock Based Compensation,850000000.0,765000000.0,602000000.0,542000000.0,
Deferred Tax,-100000000.0,-483000000.0,-336000000.0,873000000.0,
Deferred Income Tax,-100000000.0,-483000000.0,-336000000.0,873000000.0,
Depreciation Amortization Depletion,1034000000.0,943000000.0,861000000.0,804000000.0,
Depreciation And Amortization,1034000000.0,943000000.0,861000000.0,804000000.0,
Amortization Cash Flow,79000000.0,76000000.0,90000000.0,,
Amortization Of Intangibles,79000000.0,76000000.0,90000000.0,,
Depreciation,955000000.0,867000000.0,771000000.0,,
Operating Gains Losses,94000000.0,104000000.0,264000000.0,-712000000.0,
Earnings Losses From Equity Investments,94000000.0,104000000.0,264000000.0,-712000000.0,
Net Income From Continuing Operations,19743000000.0,17273000000.0,14957000000.0,12311000000.0,
