,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,1627000000.0,1015000000.0,889000000.0,943000000.0,
Repurchase Of Capital Stock,-1097000000.0,-409000000.0,-473000000.0,-300000000.0,
Repayment Of Debt,-2322000000.0,-5521000000.0,-6117000000.0,-5552000000.0,
Issuance Of Debt,2258000000.0,5563000000.0,6087000000.0,5391000000.0,
Capital Expenditure,-207000000.0,-186000000.0,-149000000.0,-130000000.0,
Interest Paid Supplemental Data,181000000.0,210000000.0,179000000.0,164000000.0,
Income Tax Paid Supplemental Data,237000000.0,233000000.0,157000000.0,123000000.0,
End Cash Position,715000000.0,620000000.0,541000000.0,473000000.0,
Beginning Cash Position,620000000.0,541000000.0,473000000.0,599000000.0,
Effect Of Exchange Rate Changes,-25000000.0,3000000.0,-27000000.0,-6000000.0,
Changes In Cash,120000000.0,76000000.0,95000000.0,-120000000.0,
Financing Cash Flow,-1371000000.0,-633000000.0,-708000000.0,-653000000.0,
Cash Flow From Continuing Financing Activities,-1371000000.0,-633000000.0,-708000000.0,-653000000.0,
Net Other Financing Charges,-70000000.0,-143000000.0,-94000000.0,-100000000.0,
Cash Dividends Paid,-140000000.0,-123000000.0,-111000000.0,-92000000.0,
Common Stock Dividend Paid,-140000000.0,-123000000.0,-111000000.0,-92000000.0,
Net Common Stock Issuance,-1097000000.0,-409000000.0,-473000000.0,-300000000.0,
Common Stock Payments,-1097000000.0,-409000000.0,-473000000.0,-300000000.0,
Net Issuance Payments Of Debt,-64000000.0,42000000.0,-30000000.0,-161000000.0,
Net Long Term Debt Issuance,-64000000.0,42000000.0,-30000000.0,-161000000.0,
Long Term Debt Payments,-2322000000.0,-5521000000.0,-6117000000.0,-5552000000.0,
Long Term Debt Issuance,2258000000.0,5563000000.0,6087000000.0,5391000000.0,
Investing Cash Flow,-343000000.0,-492000000.0,-235000000.0,-540000000.0,
Cash Flow From Continuing Investing Activities,-343000000.0,-492000000.0,-235000000.0,-540000000.0,
Net Business Purchase And Sale,-149000000.0,-308000000.0,-89000000.0,-435000000.0,
Sale Of Business,19000000.0,0.0,0.0,,
Purchase Of Business,-168000000.0,-308000000.0,-89000000.0,-435000000.0,
Net PPE Purchase And Sale,-194000000.0,-184000000.0,-146000000.0,-105000000.0,
Sale Of PPE,13000000.0,2000000.0,3000000.0,25000000.0,
Purchase Of PPE,-207000000.0,-186000000.0,-149000000.0,-130000000.0,
Operating Cash Flow,1834000000.0,1201000000.0,1038000000.0,1073000000.0,
Cash Flow From Continuing Operating Activities,1834000000.0,1201000000.0,1038000000.0,1073000000.0,
Change In Working Capital,187000000.0,-97000000.0,-109000000.0,-63000000.0,
Change In Other Working Capital,123000000.0,156000000.0,34000000.0,-135000000.0,
Change In Payables And Accrued Expense,215000000.0,0.0,277000000.0,189000000.0,
Change In Accrued Expense,124000000.0,57000000.0,-36000000.0,84000000.0,
Change In Payable,91000000.0,-57000000.0,313000000.0,105000000.0,
Change In Account Payable,70000000.0,-58000000.0,306000000.0,109000000.0,
Change In Tax Payable,21000000.0,1000000.0,7000000.0,-4000000.0,
Change In Income Tax Payable,21000000.0,1000000.0,7000000.0,-4000000.0,
Change In Inventory,-117000000.0,-58000000.0,-368000000.0,-41000000.0,
Change In Receivables,-34000000.0,-195000000.0,-52000000.0,-76000000.0,
Other Non Cash Items,,,,-50000000.0,-88000000.0
Stock Based Compensation,66000000.0,47000000.0,41000000.0,46000000.0,
Deferred Tax,51000000.0,-58000000.0,36000000.0,88000000.0,
Deferred Income Tax,51000000.0,-58000000.0,36000000.0,88000000.0,
Depreciation Amortization Depletion,459000000.0,477000000.0,426000000.0,441000000.0,
Depreciation And Amortization,459000000.0,477000000.0,426000000.0,441000000.0,
Amortization Cash Flow,-44000000.0,-54000000.0,-53000000.0,-50000000.0,
Amortization Of Intangibles,-44000000.0,-54000000.0,-53000000.0,-50000000.0,
Depreciation,503000000.0,531000000.0,479000000.0,491000000.0,
Operating Gains Losses,4000000.0,7000000.0,3000000.0,-4000000.0,
Gain Loss On Sale Of PPE,4000000.0,7000000.0,3000000.0,-4000000.0,
Net Income From Continuing Operations,1067000000.0,825000000.0,641000000.0,565000000.0,
