,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,592000000.0,986000000.0,2364000000.0,2569000000.0,
Repurchase Of Capital Stock,-154000000.0,-131000000.0,-543000000.0,-100000000.0,
Repayment Of Debt,0.0,-978000000.0,-1203000000.0,-375000000.0,
Issuance Of Debt,0.0,992000000.0,881000000.0,0.0,
Capital Expenditure,-416000000.0,-447000000.0,-468000000.0,-590000000.0,
Interest Paid Supplemental Data,259000000.0,283000000.0,283000000.0,315000000.0,
Income Tax Paid Supplemental Data,60000000.0,63000000.0,566000000.0,609000000.0,
End Cash Position,684000000.0,1164000000.0,1581000000.0,1999000000.0,
Beginning Cash Position,1164000000.0,1581000000.0,1999000000.0,495000000.0,
Changes In Cash,-480000000.0,-417000000.0,-418000000.0,1504000000.0,
Financing Cash Flow,-852000000.0,-1342000000.0,-2491000000.0,-1330000000.0,
Cash Flow From Continuing Financing Activities,-852000000.0,-1342000000.0,-2491000000.0,-1330000000.0,
Net Other Financing Charges,-14000000.0,-9000000.0,-9000000.0,29000000.0,
Proceeds From Stock Option Exercised,,,16000000.0,51000000.0,33000000.0
Cash Dividends Paid,-684000000.0,-1216000000.0,-1617000000.0,-884000000.0,
Common Stock Dividend Paid,-684000000.0,-1216000000.0,-1617000000.0,-884000000.0,
Net Common Stock Issuance,-154000000.0,-131000000.0,-543000000.0,-100000000.0,
Common Stock Payments,-154000000.0,-131000000.0,-543000000.0,-100000000.0,
Net Issuance Payments Of Debt,0.0,14000000.0,-322000000.0,-375000000.0,
Net Short Term Debt Issuance,,,0.0,0.0,-230000000.0
Short Term Debt Payments,,,0.0,0.0,-780000000.0
Short Term Debt Issuance,,,0.0,0.0,550000000.0
Net Long Term Debt Issuance,0.0,14000000.0,-322000000.0,-375000000.0,
Long Term Debt Payments,0.0,-978000000.0,-1203000000.0,-375000000.0,
Long Term Debt Issuance,0.0,992000000.0,881000000.0,0.0,
Investing Cash Flow,-636000000.0,-508000000.0,-759000000.0,-325000000.0,
Cash Flow From Continuing Investing Activities,-636000000.0,-508000000.0,-759000000.0,-325000000.0,
Net Other Investing Changes,31000000.0,6000000.0,4000000.0,4000000.0,
Net Investment Purchase And Sale,0.0,0.0,0.0,0.0,
Sale Of Investment,0.0,664000000.0,0.0,0.0,
Purchase Of Investment,0.0,-664000000.0,0.0,0.0,
Net Business Purchase And Sale,-251000000.0,-67000000.0,-295000000.0,,101000000.0
Sale Of Business,0.0,166000000.0,0.0,,526000000.0
Purchase Of Business,-251000000.0,-233000000.0,-295000000.0,,-425000000.0
Net PPE Purchase And Sale,,-67000000.0,-295000000.0,112000000.0,101000000.0
Sale Of PPE,,166000000.0,0.0,261000000.0,526000000.0
Purchase Of PPE,,-233000000.0,-295000000.0,-149000000.0,-425000000.0
Capital Expenditure Reported,-416000000.0,-447000000.0,-468000000.0,-441000000.0,
Operating Cash Flow,1008000000.0,1433000000.0,2832000000.0,3159000000.0,
Cash Flow From Continuing Operating Activities,1008000000.0,1433000000.0,2832000000.0,3159000000.0,
Change In Working Capital,-15000000.0,54000000.0,-112000000.0,53000000.0,
Change In Other Working Capital,14000000.0,41000000.0,-101000000.0,99000000.0,
Change In Payables And Accrued Expense,-38000000.0,35000000.0,-111000000.0,113000000.0,
Change In Prepaid Assets,19000000.0,-13000000.0,-12000000.0,-25000000.0,
Change In Inventory,-55000000.0,-13000000.0,-37000000.0,-77000000.0,
Change In Receivables,45000000.0,4000000.0,149000000.0,-57000000.0,
Other Non Cash Items,-61000000.0,-69000000.0,-69000000.0,-108000000.0,
Stock Based Compensation,43000000.0,36000000.0,33000000.0,30000000.0,
Asset Impairment Charge,,,,,0.0
Deferred Tax,-40000000.0,-4000000.0,-30000000.0,14000000.0,
Deferred Income Tax,-40000000.0,-4000000.0,-30000000.0,14000000.0,
Depreciation Amortization Depletion,502000000.0,500000000.0,480000000.0,477000000.0,
Operating Gains Losses,183000000.0,77000000.0,650000000.0,100000000.0,
Pension And Employee Benefit Expense,63000000.0,68000000.0,290000000.0,61000000.0,
Gain Loss On Investment Securities,120000000.0,93000000.0,84000000.0,71000000.0,
Gain Loss On Sale Of PPE,,-84000000.0,0.0,-32000000.0,-182000000.0
Gain Loss On Sale Of Business,0.0,-84000000.0,0.0,-32000000.0,
Net Income From Continuing Operations,396000000.0,839000000.0,1880000000.0,2607000000.0,
