,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,1142600000.0,1187100000.0,1067100000.0,1347200000.0,
Repurchase Of Capital Stock,-868000000.0,-692200000.0,-126400000.0,0.0,
Repayment Of Debt,-900000000.0,-445200000.0,-1518700000.0,-2654800000.0,
Issuance Of Debt,1436300000.0,499800000.0,458000000.0,1599800000.0,
Capital Expenditure,-356800000.0,-394500000.0,-217600000.0,-152000000.0,
End Cash Position,525500000.0,415800000.0,375700000.0,478500000.0,
Beginning Cash Position,415800000.0,375700000.0,478500000.0,802100000.0,
Effect Of Exchange Rate Changes,-17100000.0,900000.0,-14500000.0,-13200000.0,
Changes In Cash,126800000.0,39200000.0,-88300000.0,-310400000.0,
Financing Cash Flow,-484500000.0,-763500000.0,-843800000.0,-1306000000.0,
Cash From Discontinued Financing Activities,0.0,0.0,-68100000.0,0.0,
Cash Flow From Continuing Financing Activities,-484500000.0,-763500000.0,-775700000.0,-1306000000.0,
Net Other Financing Charges,-38900000.0,-26100000.0,534500000.0,-173400000.0,
Proceeds From Stock Option Exercised,82100000.0,101100000.0,78100000.0,122500000.0,
Cash Dividends Paid,-196000000.0,-200900000.0,-201200000.0,-200100000.0,
Common Stock Dividend Paid,-196000000.0,-200900000.0,-201200000.0,-200100000.0,
Net Common Stock Issuance,-868000000.0,-692200000.0,-126400000.0,0.0,
Common Stock Payments,-868000000.0,-692200000.0,-126400000.0,0.0,
Net Issuance Payments Of Debt,536300000.0,54600000.0,-1060700000.0,-1055000000.0,
Net Short Term Debt Issuance,,-325000000.0,375000000.0,0.0,
Net Long Term Debt Issuance,536300000.0,54600000.0,-1060700000.0,-1055000000.0,
Long Term Debt Payments,-900000000.0,-445200000.0,-1518700000.0,-2654800000.0,
Long Term Debt Issuance,1436300000.0,499800000.0,458000000.0,1599800000.0,
Investing Cash Flow,-888100000.0,-778900000.0,-529200000.0,-503600000.0,
Cash From Discontinued Investing Activities,0.0,0.0,-7200000.0,-60300000.0,
Cash Flow From Continuing Investing Activities,-888100000.0,-778900000.0,-522000000.0,-443300000.0,
Net Other Investing Changes,-36800000.0,28800000.0,-35700000.0,-19600000.0,
Net Investment Purchase And Sale,-218200000.0,-278300000.0,-168900000.0,-271700000.0,
Sale Of Investment,22100000.0,33400000.0,89400000.0,1900000.0,
Purchase Of Investment,-240300000.0,-311700000.0,-258300000.0,-273600000.0,
Net Business Purchase And Sale,-276300000.0,-134900000.0,-99800000.0,0.0,
Purchase Of Business,-276300000.0,-134900000.0,-99800000.0,0.0,
Net Intangibles Purchase And Sale,-153000000.0,-103400000.0,-29700000.0,-8400000.0,
Purchase Of Intangibles,-153000000.0,-103400000.0,-29700000.0,-8400000.0,
Net PPE Purchase And Sale,-203800000.0,-291100000.0,-187900000.0,-143600000.0,
Purchase Of PPE,-203800000.0,-291100000.0,-187900000.0,-143600000.0,
Operating Cash Flow,1499400000.0,1581600000.0,1284700000.0,1499200000.0,
Cash From Discontinued Operating Activities,0.0,0.0,-71500000.0,94900000.0,
Cash Flow From Continuing Operating Activities,1499400000.0,1581600000.0,1356200000.0,1404300000.0,
Change In Working Capital,-455400000.0,-396200000.0,-311400000.0,-134200000.0,
Change In Other Working Capital,-93600000.0,-48600000.0,-154100000.0,-171500000.0,
Change In Payables And Accrued Expense,-322000000.0,-55300000.0,103000000.0,86500000.0,
Change In Payable,,,,,-386200000.0
Change In Account Payable,,,,,-95100000.0
Change In Tax Payable,,,,,-291100000.0
Change In Income Tax Payable,,,,,-291100000.0
Change In Inventory,49900000.0,-240400000.0,-75600000.0,-8400000.0,
Change In Receivables,-89700000.0,-51900000.0,-184700000.0,-40800000.0,
Stock Based Compensation,101000000.0,99800000.0,105000000.0,76000000.0,
Asset Impairment Charge,0.0,0.0,292800000.0,16300000.0,
Deferred Tax,-47700000.0,-96300000.0,-64400000.0,-102100000.0,
Deferred Income Tax,-47700000.0,-96300000.0,-64400000.0,-102100000.0,
Depreciation Amortization Depletion,996300000.0,951700000.0,926400000.0,937700000.0,
Depreciation And Amortization,996300000.0,951700000.0,926400000.0,937700000.0,
Operating Gains Losses,,-2500000.0,116600000.0,165100000.0,
Gain Loss On Investment Securities,,,116600000.0,,
Gain Loss On Sale Of Business,0.0,-2500000.0,116600000.0,0.0,
Net Income From Continuing Operations,905200000.0,1025100000.0,291200000.0,445500000.0,
