Attribute,Value
Symbol,ACGL
Name,Arch Capital Group Ltd.
Industry,Insurance - Diversified
Sector,Financial Services
Country,Bermuda
Market Cap,35448074240
Description,"Arch Capital Group Ltd., together with its subsidiaries, provides insurance, reinsurance, and mortgage insurance products in the United States, Canada, Bermuda, the United Kingdom, Europe, and Australia. The Insurance segment offers commercial automobile; commercial multiperil; financial and professional line liability; admitted, excess, and surplus casualty lines; property and short-tail specialty; workers compensation; casualty; marine and aviation; excess and surplus casualty; construction and national accounts; alternative market risks and employer's liability; travel, accident, and health; contract and commercial surety coverage; and other insurance products, as well as Lloyd's syndicates; programs; and warranty and lenders solutions. Its Reinsurance segment provides reinsurance products for casualty; marine and aviation; property catastrophe; property excluding property catastrophe; and other specialty products. The Mortgage segment offers U.S. primary mortgage insurance business written predominantly on loans sold to the Federal National Mortgage Association and Federal Home Loan Mortgage Corporation; reinsurance and underwriting services related to the U.S. credit-risk transfer business and other U.S. mortgage reinsurance transactions; and international mortgage insurance and reinsurance business covering loans. It markets its products through a group of licensed independent retail and wholesale brokers. The company was formerly known as Risk Capital Holdings, Inc. Arch Capital Group Ltd. was founded in 1995 and is headquartered in Pembroke, Bermuda."
Website,https://www.archgroup.com
Full Time Employees,7200
Currency,USD
Previous Close,93.54
Open,93.63
Bid,94.54
Ask,94.69
Day's Range,93.185 - 94.7
52 Week Range,82.49 - 116.47
Volume,1113183
Avg. Volume,1700649
Market Cap (intraday),35448074240
Beta (5Y Monthly),0.55
PE Ratio (TTM),9.701538
EPS (TTM),9.75
Earnings Date,1745957100
Forward Dividend & Yield,
Ex-Dividend Date,1731888000
1y Target Est,111.85714
