Attribute,Value
Symbol,ALB
Name,Albemarle Corporation
Industry,Specialty Chemicals
Sector,Basic Materials
Country,United States
Market Cap,7084368896
Description,"Albemarle Corporation provides energy storage solutions worldwide. It operates through three segments: Energy Storage, Specialties, and Ketjen. The Energy Storage segment offers lithium compounds, including lithium carbonate, lithium hydroxide, and lithium chloride for use in lithium batteries used in consumer electronics and electric vehicles, power grids and solar panels, high performance greases, specialty glass used in consumer appliances and electronics, organic synthesis processes in the areas of steroid chemistry and vitamins, and various life science applications, as well as intermediates in the pharmaceutical industry; technical services, including handling and use of reactive lithium products; and recycling services for lithium-containing by-products. The Specialties segment provides bromine and highly specialized lithium solutions for various industries, such as energy, mobility, connectivity, and health comprising fire safety compounds; bromine-based specialty chemicals products, including elemental bromine, alkyl bromides, inorganic bromides, brominated powdered activated carbon, and various bromine fine chemicals; lithium specialties, such as butyllithium and lithium aluminum hydride; cesium products for the chemical and pharmaceutical industries; and zirconium, barium, and titanium products for pyrotechnical applications that include airbag initiators. The Ketjen segment offers clean fuels technologies, including hydroprocessing catalysts together with isomerization and akylation catalysts; fluidized catalytic cracking catalysts and additives; and performance catalyst solutions comprising organometallics and curatives. It serves grid storage, automotive, aerospace, conventional energy, electronics, construction, agriculture and food, pharmaceuticals and medical device industries. Albemarle Corporation was founded in 1887 and is headquartered in Charlotte, North Carolina."
Website,https://www.albemarle.com
Full Time Employees,8300
Currency,USD
Previous Close,60.32
Open,59.91
Bid,58.75
Ask,59.25
Day's Range,57.845 - 60.76
52 Week Range,49.43 - 131.0
Volume,3810895
Avg. Volume,3273785
Market Cap (intraday),7084368896
Beta (5Y Monthly),1.714
PE Ratio (TTM),
EPS (TTM),-11.12
Earnings Date,1746044104
Forward Dividend & Yield,1.62 (2.69)
Ex-Dividend Date,1749772800
1y Target Est,81.86115
