Attribute,Value
Symbol,AMT
Name,American Tower Corporation (REI
Industry,REIT - Specialty
Sector,Real Estate
Country,United States
Market Cap,99891281920
Description,"American Tower, one of the largest global REITs, is a leading independent owner, operator and developer of multitenant communications real estate with a portfolio of over 149,000 communications sites and a highly interconnected footprint of U.S. data center facilities."
Website,https://www.americantower.com
Full Time Employees,4691
Currency,USD
Previous Close,211.68
Open,212.96
Bid,206.0
Ask,213.24
Day's Range,211.49 - 213.46
52 Week Range,172.51 - 243.56
Volume,2812038
Avg. Volume,3313641
Market Cap (intraday),99891281920
Beta (5Y Monthly),0.878
PE Ratio (TTM),34.47173
EPS (TTM),6.19
Earnings Date,1745924400
Forward Dividend & Yield,6.8 (3.19)
Ex-Dividend Date,1749772800
1y Target Est,246.05263
