Attribute,Value
Symbol,BAC
Name,Bank of America Corporation
Industry,Banks - Diversified
Sector,Financial Services
Country,United States
Market Cap,336599711744
Description,"Bank of America Corporation, through its subsidiaries, provides various financial products and services for individual consumers, small and middle-market businesses, institutional investors, large corporations, and governments worldwide. The company operates through four segments: Consumer Banking, Global Wealth & Investment Management (GWIM), Global Banking, and Global Markets. The Consumer Banking segment offers traditional and money market savings accounts, certificates of deposit and IRAs, checking accounts, and investment accounts and products; credit and debit cards; residential mortgages and home equity loans; and direct and indirect loans, such as automotive, recreational vehicle, and consumer personal loans. The GWIM segment provides investment management, brokerage, banking, and trust and retirement products and services; wealth management solutions; and customized solutions, including specialty asset management services. The Global Banking segment offers lending products and services, including commercial loans, leases, commitment facilities, trade finance, and commercial real estate and asset-based lending; treasury solutions, such as treasury management, foreign exchange, short-term investing options, and merchant services; working capital management solutions; debt and equity underwriting and distribution, and merger-related and other advisory services; and fixed-income and equity research services. The Global Markets segment provides market-making, financing, securities clearing, settlement, and custody services; securities and derivative products; and risk management products using interest rate, equity, credit, currency and commodity derivatives, foreign exchange, fixed-income, and mortgage-related products. Bank of America Corporation was founded in 1784 and is based in Charlotte, North Carolina."
Website,https://www.bankofamerica.com
Full Time Employees,213000
Currency,USD
Previous Close,44.38
Open,44.34
Bid,44.67
Ask,44.11
Day's Range,43.655 - 44.79
52 Week Range,33.07 - 48.08
Volume,43549977
Avg. Volume,49489630
Market Cap (intraday),336599711744
Beta (5Y Monthly),1.28
PE Ratio (TTM),13.340299
EPS (TTM),3.35
Earnings Date,1752669000
Forward Dividend & Yield,1.04 (2.33)
Ex-Dividend Date,1749168000
1y Target Est,48.8913
