Attribute,Value
Symbol,BALL
Name,Ball Corporation
Industry,Packaging & Containers
Sector,Consumer Cyclical
Country,United States
Market Cap,14916764672
Description,"Ball Corporation supplies aluminum packaging products for the beverage, personal care, and household products industries in the United States, Brazil, and internationally. The company manufactures and sells aluminum beverage containers to fillers of carbonated soft drinks, beer, energy drinks, and other beverages. It manufactures and sells extruded aluminum aerosol containers, recloseable aluminum bottles, aluminum cups, and aluminum slugs. Ball Corporation was founded in 1880 and is headquartered in Westminster, Colorado."
Website,https://www.ball.com
Full Time Employees,16000
Currency,USD
Previous Close,53.37
Open,53.13
Bid,53.38
Ask,54.12
Day's Range,53.12 - 53.79
52 Week Range,43.51 - 70.73
Volume,1800528
Avg. Volume,2675557
Market Cap (intraday),14916764672
Beta (5Y Monthly),1.104
PE Ratio (TTM),30.551136
EPS (TTM),1.76
Earnings Date,1746525609
Forward Dividend & Yield,0.8 (1.49)
Ex-Dividend Date,1748822400
1y Target Est,60.70875
