Attribute,Value
Symbol,BA
Name,Boeing Company (The)
Industry,Aerospace & Defense
Sector,Industrials
Country,United States
Market Cap,155189526528
Description,"The Boeing Company, together with its subsidiaries, designs, develops, manufactures, sells, services, and supports commercial jetliners, military aircraft, satellites, missile defense, human space flight and launch systems, and services worldwide. The company operates through three segments: Commercial Airplanes; Defense, Space & Security; and Global Services. The Commercial Airplanes segment develops, produces, and markets commercial jet aircraft for passenger and cargo requirements. The Defense, Space & Security segment engages in the research, development, production, and modification of manned and unmanned military aircraft and weapons systems; strategic defense and intelligence systems, which include strategic missile and defense systems, command, control, communications, computers, intelligence, surveillance and reconnaissance, cyber and information solutions, and intelligence systems; and satellite systems, such as government and commercial satellites, and space exploration. The Global Services segment offers products and services, including supply chain and logistics management, engineering, maintenance and modifications, upgrades and conversions, spare parts, pilot and maintenance training systems and services, technical and maintenance documents, and data analytics and digital services to commercial and defense customers. The Boeing Company was incorporated in 1916 and is based in Arlington, Virginia."
Website,https://www.boeing.com
Full Time Employees,172000
Currency,USD
Previous Close,206.24
Open,205.69
Bid,202.35
Ask,203.0
Day's Range,203.02 - 206.24
52 Week Range,128.88 - 209.66
Volume,8414936
Avg. Volume,9410553
Market Cap (intraday),155189526528
Beta (5Y Monthly),1.405
PE Ratio (TTM),
EPS (TTM),-17.97
Earnings Date,1745407806
Forward Dividend & Yield,
Ex-Dividend Date,1581552000
1y Target Est,205.6748
