Attribute,Value
Symbol,CBOE
Name,"Cboe Global Markets, Inc."
Industry,Financial Data & Stock Exchanges
Sector,Financial Services
Country,United States
Market Cap,23136337920
Description,"Cboe Global Markets, Inc., through its subsidiaries, operates as an options exchange in the United States and internationally. It operates through six segments: Options, North American Equities, Europe and Asia Pacific, Futures, Global FX, and Digital. The Options segment trades in listed market indices. Its North American Equities segment trades in listed U.S. and Canadian equities. This segment also offers exchange-traded products (ETP) transaction and listing services. The Europe and Asia Pacific segment provides pan-European listed equities and derivatives transaction services, ETPs, exchange-traded commodities, and international depository receipts, as well as ETP listings and clearing services. Its Futures segment offers and trades in futures and other related products. The Global FX segment provides institutional foreign exchange (FX) trading and non-deliverable forward FX transactions services. Its Digital segment offers Cboe Digital, an operator of the United States based digital asset spot market and a regulated futures exchange; Cboe Clear Digital, a regulated clearinghouse; licensing of proprietary market data; and access and capacity services. It has strategic relationships with S&P Dow Jones Indices, LLC; Frank Russell Company; FTSE International Limited; and MSCI Inc. The company was formerly known as CBOE Holdings, Inc. and changed its name to Cboe Global Markets, Inc. in October 2017. Cboe Global Markets, Inc. was founded in 1973 and is headquartered in Chicago, Illinois."
Website,https://www.cboe.com
Full Time Employees,1685
Currency,USD
Previous Close,219.14
Open,219.45
Bid,215.0
Ask,232.05
Day's Range,217.855 - 222.17
52 Week Range,166.13 - 236.02
Volume,1156117
Avg. Volume,984666
Market Cap (intraday),23136337920
Beta (5Y Monthly),0.434
PE Ratio (TTM),28.996063
EPS (TTM),7.62
Earnings Date,1746185410
Forward Dividend & Yield,2.52 (1.14)
Ex-Dividend Date,1748563200
1y Target Est,225.4
