Attribute,Value
Symbol,CEG
Name,Constellation Energy Corporatio
Industry,Utilities - Renewable
Sector,Utilities
Country,United States
Market Cap,91241955328
Description,"Constellation Energy Corporation produces and sells energy products and services in the United States. It operates through five segments: Mid-Atlantic, Midwest, New York, ERCOT, and Other Power Regions. The company offers electricity, natural gas, energy-related products, and sustainable solutions. It has approximately 31,676 megawatts of generating capacity consisting of nuclear, wind, solar, natural gas, and hydroelectric assets. The company serves distribution utilities, municipalities, cooperatives, and commercial, industrial, public sector, and residential customers. The company was incorporated in 2021 and is headquartered in Baltimore, Maryland."
Website,https://www.constellationenergy.com
Full Time Employees,14215
Currency,USD
Previous Close,284.0122
Open,286.375
Bid,290.25
Ask,291.75
Day's Range,284.2 - 291.17
52 Week Range,155.6 - 352.0
Volume,2087353
Avg. Volume,4204265
Market Cap (intraday),91241955328
Beta (5Y Monthly),1.009
PE Ratio (TTM),30.676502
EPS (TTM),9.49
Earnings Date,1746528240
Forward Dividend & Yield,1.55 (0.53)
Ex-Dividend Date,1747353600
1y Target Est,292.75858
