Attribute,Value
Symbol,CFG
Name,"Citizens Financial Group, Inc."
Industry,Banks - Regional
Sector,Financial Services
Country,United States
Market Cap,18135199744
Description,"Citizens Financial Group, Inc. operates as the bank holding company that provides retail and commercial banking products and services to individuals, small businesses, middle-market companies, large corporations, and institutions in the United States. The company operates through two segments, Consumer Banking and Commercial Banking. The Consumer Banking segment offers deposit products, mortgage and home equity lending products, credit cards, business loans, wealth management, and investment services; and education and point-of-sale finance loans, as well as digital deposit products. This segment serves its customers through telephone service centers, as well as through its online and mobile platforms. The Commercial Banking segment provides various financial products and solutions, including lending and leasing, deposit and treasury management services, foreign exchange, and interest rate and commodity risk management solutions, as well as syndicated loans, corporate finance, mergers and acquisitions, and debt and equity capital markets services. This segment serves multi-family, office, industrial, retail, healthcare, and hospitality sectors. The company was formerly known as RBS Citizens Financial Group, Inc. and changed its name to Citizens Financial Group, Inc. in April 2014. Citizens Financial Group, Inc. was founded in 1828 and is headquartered in Providence, Rhode Island."
Website,https://www.citizensbank.com
Full Time Employees,17315
Currency,USD
Previous Close,41.72
Open,41.59
Bid,41.83
Ask,42.23
Day's Range,41.35 - 42.025
52 Week Range,32.6 - 49.25
Volume,2929267
Avg. Volume,5175871
Market Cap (intraday),18135199744
Beta (5Y Monthly),1.072
PE Ratio (TTM),13.27619
EPS (TTM),3.15
Earnings Date,1752755400
Forward Dividend & Yield,1.68 (4.02)
Ex-Dividend Date,1745971200
1y Target Est,46.55556
